Gene	Product	EnClNCTC9394 NPEQ	KlPnEcl8 NPEQ	KlPnRH201207 NPEQ	CiRoICC168 NPEQ	SaTySL1344 NPEQ	SaTySL3261 NPEQ	SaTyD23580 NPEQ	SaTyA130 NPEQ	SaEnP125109 NPEQ	SaTyTy2 NPEQ	EsCoEC958 NPEQ	EsCoST131 NPEQ	EsCoBW25113 NPEQ	EsCoMG1655 NPEQ	EnClNCTC9394 locus tag	KlPnEcl8 locus tag	KlPnRH201207 locus tag	CiRoICC168 locus tag	SaTySL1344 locus tag	SaTySL3261 locus tag	SaTyD23580 locus tag	SaTyA130 locus tag	SaEnP125109 locus tag	SaTyTy2 locus tag	EsCoEC958 locus tag	EsCoST131 locus tag	EsCoBW25113 locus tag	EsCoMG1655 locus tag
suhB	Archaeal fructose-1,6-bisphosphatase and related enzymes of inositol monophosphatase family	-4.5	-4.5	-4.5	0.474116279556524	-1.30797451470864	-1.78555640527951	-1.54494255574293	-4.5	-2.17314818650204	-4.5	-1.83582925707459	-4.5	-4.5	-4.5	ENC_37210	BN373_35221	ERS227112_00050	ROD_24771	SL1344_2508	SL3261_2508	STMMW_25631	STM_MW25631	SEN2526	t0310	EC958_2844	NCTC13441_01202	BW25113_2533	b2533
fhuC	ABC-type cobalamin/Fe3+-siderophores transport systems, ATPase components	2.62440873247835	2.05384866485897	2.11976953313876	2.30337489357404	2.66338965227928	2.19994378302587	2.33187969222285	2.24890776566814	1.41613596978211	1.71358131207215	2.34299345699778	2.25659700875657	2.21422118502237	4.5	ENC_46720	BN373_06571	ERS227112_02507	ROD_01551	SL1344_0193	SL3261_0193	STMMW_01981	STM_MW01981	SEN0197	t0200	EC958_0299	NCTC13441_03825	BW25113_0151	b0151
sapF	ABC-type antimicrobial peptide transport system, ATPase component	1.50035872811078	2.09711997998838	1.2707082598343	2.16492267874797	1.52501351027421	1.51259588053824	1.7511763935015	1.55622500082696	1.12822213483175	1.55364524590122	1.86400151366314	0.989836783423514	1.46467664728778	4.5	ENC_08590	BN373_19131	ERS227112_05441	ROD_17101	SL1344_1626	SL3261_1626	STMMW_16911	STM_MW16911	SEN1337	t1610	EC958_1628	NCTC13441_02468	BW25113_1290	b1290
rbsK	ribokinase	2.55497867734469	2.64631063368246	2.5325270348677	2.24625009950044	2.38304352926869	2.55493097484131	2.33342201680103	2.16609553940058	2.16947061824589	1.90211478373133	2.51520790993389	2.49558019546756	2.54910525515978	4.5	ENC_04380	BN373_47941	ERS227112_00426	ROD_39871	SL1344_3852	SL3261_3852	STMMW_38691	STM_MW38691	SEN3699	t3634	EC958_4225	NCTC13441_04764	BW25113_3752	b3752
glpG	Uncharacterized membrane protein (homolog of Drosophila rhomboid)	2.68754238093409	2.69593173518701	2.62970093382291	2.28477010096619	2.3253218855126	2.61634217648497	2.53227919412531	2.38939093987007	2.22025959843617	2.24005077769603	2.33661680422574	2.15993323578567	2.84923828240512	4.5	ENC_26190	BN373_44291	ERS227112_00796	ROD_44001	SL1344_3491	SL3261_3491	STMMW_35131	STM_MW35131	SEN3349	t3989	EC958_3816	NCTC13441_00277	BW25113_3424	b3424
fabI	Enoyl-[acyl-carrier-protein] reductase [NADH]	-4.5	-0.584756796397919	-4.5	-4.5	-4.5	-4.5	-1.0010554350302	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_08530	BN373_19101	ERS227112_05444	ROD_17111	SL1344_1631	SL3261_1631	STMMW_16961	STM_MW16961	SEN1332	t1613	EC958_1622	NCTC13441_02474	BW25113_1288	b1288
yadH	ABC-type polysaccharide/polyol phosphate export systems, permease component	2.76765148185219	2.87214412575087	2.3638837089784	2.43451773796308	2.42859745331466	2.81275067879411	2.57910256415412	2.53997540133081	2.19803626362201	1.88078434165777	2.46557640615653	2.32294749890969	2.44967589820217	4.5	ENC_46440	BN373_06261	ERS227112_02477	ROD_01401	SL1344_0174	SL3261_0174	STMMW_01791	STM_MW01791	SEN0178	t0177	EC958_0270	NCTC13441_03853	BW25113_0128	b0128
manY	PTS system D-mannose-specific IIC component, Man family (TC 4.A.6.1.1)	2.18400487217017	2.45617428889421	1.99410470930044	2.45115540504164	1.71652168033265	1.81425705490083	2.00969214399414	1.6598077699367	1.49285026774046	1.11361019778319	2.01871386454016	1.90960185069059	1.45988271197508	4.5	ENC_06780	BN373_29171	ERS227112_04332	ROD_18561	SL1344_1760	SL3261_1760	STMMW_18231	STM_MW18231	SEN1206	t1047	EC958_2036	NCTC13441_02068	BW25113_1818	b1818
fnr	cAMP-binding proteins-catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases	1.56511544081222	2.45026230480647	1.81901526699155	1.84641740833815	2.15950734261446	2.79983389446064	2.2866572100616	2.41054745293324	2.01638260644185	1.85037576175702	1.35797816259678	1.54628973429662	1.22538900599216	4.5	ENC_12660	BN373_20861	ERS227112_05155	ROD_16721	SL1344_1591	SL3261_1591	STMMW_16561	STM_MW16561	SEN1371	t1564	EC958_1665	NCTC13441_02431	BW25113_1334	b1334
htrB_3	Lipid A biosynthesis lauroyl acyltransferase	2.60355610886175	2.78507946253472	2.20589968099874	2.75336371570347	2.30341888113864	2.54975020823539	2.69419788784568	1.93158922132004	2.17014116824535	2.32180665073837	2.07313028268748	1.77996835086226	1.6877805636845	4.5	ENC_469added	BN373_17891	ERS227112_03634	ROD_27921	SL1344_2369	SL3261_2369	STMMW_24241	STM_MW24241	SEN2387	t0457	EC958_4999	NCTC13441_01338	BW25113_2378	b2378
gltR_2	Transcriptional regulator	1.60511804063645	2.0341078708458	1.8570120830607	1.75765267881434	2.11219796309212	2.03700002804272	1.36426350070451	0.799576545563083	1.47531279618882	1.18632049783581	2.30966656047606	2.15324487823386	1.09252911815746	4.5	ENC_10700	BN373_22101	ERS227112_05038	ROD_15171	SL1344_1453	SL3261_1453	STMMW_15231	STM_MW15231	SEN1528	t1444	EC958_1782	NCTC13441_02320	BW25113_1526	b1526
proC	pyrroline-5-carboxylate reductase	2.16393256622666	2.12955771317778	1.69831461917747	1.6944855168274	1.88412297273725	1.83712086186539	1.17189348828051	0.91577408685867	1.34000225473036	1.44928008540182	2.09597523076067	2.21413489694434	2.25037302529103	4.5	ENC_23750	BN373_08171	ERS227112_02679	ROD_04301	SL1344_0381	SL3261_0381	STMMW_04561	STM_MW04561	SEN0369	t2478	EC958_0523	NCTC13441_03592	BW25113_0386	b0386
sdhB	succinate dehydrogenase subunit B	1.98704462657908	1.73003299078936	1.44933051386215	1.53692152792518	2.25077957267787	1.88043948123676	1.87500548098697	2.16834677633716	1.6174393164574	1.69789960693517	2.00459557903361	1.75672241606633	1.84965389640362	4.5	ENC_20140	BN373_13041	ERS227112_03174	ROD_07221	SL1344_0717	SL3261_0717	STMMW_07921	STM_MW07921	SEN0685	t2141	EC958_0839	NCTC13441_03271	BW25113_0724	b0724
truC	tRNA pseudouridine synthase C	2.01469412868804	2.10960628882505	2.39256955525164	2.18632369054977	2.18511916525761	1.9716259481391	1.65872054165189	1.57548372384272	1.64462897359825	1.69586803750131	2.32214169389701	2.15103706048236	2.20298237205813	4.5	ENC_30350	BN373_37781	ERS227112_01526	ROD_30221	SL1344_2945	SL3261_2945	STMMW_29281	STM_MW29281	SEN2809	t2873	EC958_3060	NCTC13441_00985	BW25113_2791	b2791
ftsN	cell division protein FtsN	2.70277420214984	1.96663221191735	1.35954326326534	2.10039382133852	2.15922677714952	2.17246038631729	1.98563701668117	2.16353041387828	1.50254002552351	1.29783899431439	2.42814142413424	2.37101110079142	2.24620056856993	-4.5	ENC_00960	BN373_48611	ERS227112_00354	ROD_38131	SL1344_4042	SL3261_4042	STMMW_40581	STM_MW40581	SEN3883	t3525	EC958_4418	NCTC13441_04567	BW25113_3933	b3933
ada	DNA-O6-methylguanine--protein-cysteine S-methyltransferase /Transcriptional regulator Ada	2.30882573086967	2.21323701934713	2.1169399508432	2.14181029227758	2.16214701095122	1.63269939108344	1.80697025850249	2.05170489554597	1.3824319056073	0.86657647384839	2.242996603703	2.02671521604407	1.82657316935812	4.5	ENC_39710	BN373_32391	ERS227112_03946	ROD_23461	SL1344_2235	SL3261_2235	STMMW_22901	STM_MW22901	SEN2248	t0599	EC958_2550	NCTC13441_01495	BW25113_2213	b2213
nagD	Predicted sugar phosphatases of the HAD superfamily	2.01774577757762	2.30812423538478	2.2697514381034	1.95825663019933	2.08609677805181	2.0294035602214	2.05478122446624	1.27407301107416	1.61690676110375	1.62836052926003	2.20004327530549	2.24069929532998	2.02833595991299	4.5	ENC_20510	BN373_12691	ERS227112_03138	ROD_06771	SL1344_0663	SL3261_0663	STMMW_07391	STM_MW07391	SEN0645	t2194	EC958_0783	NCTC13441_03325	BW25113_0675	b0675
livG	L-leucine ABC transporter ATP-binding protein/L-isoleucine ABC transporter ATP-binding protein/L-valine ABC transporter ATP-binding protein	2.70979048416361	2.54656436908913	2.33565996623494	2.04292116620404	2.39109912285543	2.35297047987247	1.97211907181135	2.03921541318778	1.45163001066791	1.73459900005678	2.16644255549879	2.29998945335105	1.68679323347469	4.5	ENC_26450	BN373_44521	ERS227112_00767	ROD_43711	SL1344_3527	SL3261_3527	STMMW_35501	STM_MW35501	SEN3384	t3961	EC958_3846	NCTC13441_00247	BW25113_3455	b3455
rssA	Predicted esterase of the alpha-beta hydrolase superfamily	1.79724438991242	2.46112775123547	1.85865875580095	2.61979195210787	2.52109929564263	2.23787039257853	2.36143590447758	2.68757507285647	2.29683548615766	2.49021495646618	2.54552784982966	2.35491967120215	2.60416513144246	4.5	ENC_07920	BN373_28001	ERS227112_04468	ROD_17741	SL1344_1685	SL3261_1685	STMMW_17491	STM_MW17491	SEN1282	t1665	EC958_1507	NCTC13441_02601	BW25113_1234	b1234
ygiD	Uncharacterized conserved protein	2.81530741756714	2.48455261729589	1.94304249862912	1.82886018317825	2.15898085369497	2.04834453236212	1.41889406791031	1.59352219535529	1.58045636795362	1.85231274712965	2.07701278424517	2.22455964395733	1.60442335849704	4.5	ENC_32820	BN373_41041	ERS227112_01156	ROD_35851	SL1344_3163	SL3261_3163	STMMW_31491	STM_MW31491	SEN3032	t3110	EC958_3444	NCTC13441_00654	BW25113_3039	b3039
ybbN	Thioredoxin domain-containing protein	1.93620780515387	2.50524313801957	2.40606207145484	2.29967917692658	2.83424417658044	2.76669805083378	2.40104765290468	2.61097815164013	2.11003709559393	2.55724231962968	2.17617612125112	2.5106931272281	2.63307513647455	4.5	ENC_22370	BN373_09591	ERS227112_02822	ROD_05471	SL1344_0497	SL3261_0497	STMMW_05741	STM_MW05741	SEN0485	t2356	EC958_0634	NCTC13441_03482	BW25113_0492	b0492
gpmA	phosphoglycerate mutase	2.12770002277784	2.28902868710888	1.50744561860851	1.74817814439397	2.55816399622531	1.83573890343299	2.43099013226289	1.74973335785913	2.28160660760496	2.41136876228561	2.22060147076328	2.36911738245739	2.55244339119172	4.5	ENC_19870	BN373_13251	ERS227112_03202	ROD_07471	SL1344_0749	SL3261_0749	STMMW_08241	STM_MW08241	SEN0717	t2115	EC958_0867	NCTC13441_03239	BW25113_0755	b0755
dmsC_2	Anaerobic dimethyl sulfoxide reductase chain C	2.44037859154458	1.88523547482516	1.64121473071428	2.30527669815248	2.81576896104259	2.34735987164277	2.30201582435484	2.23036542154678	1.73315747383359	1.98917390581469	2.46406454578108	2.43611425516604	2.61932328609941	4.5	ENC_204added	BN373_15441	ERS227112_03416	ROD_09601	SL1344_0904	SL3261_0904	STMMW_09781	STM_MW09781	SEN0871	t1968	EC958_1054	NCTC13441_03043	BW25113_0896	b0896
tdcA	Transcriptional regulator	3.2834205049718	2.8868183112199	3.02306389278001	3.13153327757439	2.62427872093285	2.83669057506754	2.9279021273595	3.612731824133	3.16678268890288	3.78031106037113	2.6606110345102	2.96271271277688	3.23244430088564	4.5	ENC_33690	BN373_28751	ERS227112_04370	ROD_47591	SL1344_3217	SL3261_3217	STMMW_32451	STM_MW32451	SEN3086	t3165	EC958_3521	NCTC13441_00571	BW25113_3118	b3118
cmpR_3	Transcriptional regulator	2.49122376048584	2.39276636468809	2.08044075456525	2.03043709372009	2.11290071138761	2.20268179320875	2.10257395056224	1.78168144136626	1.38582403955168	1.86365920901015	1.8930119722312	1.9014634334652	1.83792450611511	4.5	ENC_40100	BN373_31991	ERS227112_03985	ROD_22861	SL1344_2178	SL3261_2178	STMMW_22331	STM_MW22331	SEN2194	t0654	EC958_2494	NCTC13441_01552	BW25113_2157	b2157
yicL	Predicted permease, DMT superfamily	2.25540626284883	2.00534406822044	2.10565837080146	2.0844561737887	2.47884357113443	2.56673833413718	2.36167249730089	2.73549901052225	2.54957167722857	2.8963633062918	3.11753140157619	3.3704326240458	2.95980139696667	4.5	ENC_03500	BN373_46871	ERS227112_00534	ROD_41211	SL1344_3730	SL3261_3730	STMMW_37541	STM_MW37541	SEN3587	t3753	EC958_4133	NCTC13441_04855	BW25113_3660	b3660
cpdA	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	2.509255039337	2.4431367379822	2.52622039315693	2.11631194287723	2.23689290826627	2.45913902507431	1.96549782836827	1.78533569816151	1.86402777600887	1.36582329219528	2.38255646263875	2.31324697902242	2.35826494647358	4.5	ENC_399added	BN373_40981	ERS227112_01162	ROD_35791	SL1344_3157	SL3261_3157	STMMW_31431	STM_MW31431	SEN3026	t3104	EC958_3435	NCTC13441_00663	BW25113_3032	b3032
ypjD	ABC-type uncharacterized transport system, permease component	2.66412412586392	2.59226052362134	2.55919375567942	2.48410807624684	2.52593021612424	2.68403112695995	2.46381958343093	1.97470294046453	2.35822487934198	2.12969141583059	2.6608149229667	2.53359990079863	2.26516421175609	4.5	ENC_28100	BN373_35881	ERS227112_01709	ROD_25611	SL1344_2651	SL3261_2651	STMMW_26921	STM_MW26921	SEN2599	t2633	EC958_2913	NCTC13441_01130	BW25113_2611	b2611
ftsQ	Cell division septal protein	-1.1885159835875	-0.483496790783012	-1.78576379333713	-4.5	-1.45707304015996	-2.07483922868647	-0.881473737284553	-4.5	-0.492270336058164	-4.5	-2.2537040453533	-4.5	-4.5	-4.5	ENC_46050	BN373_05861	ERS227112_02434	ROD_00991	SL1344_0131	SL3261_0131	STMMW_01371	STM_MW01371	SEN0132	t0135	EC958_0233	NCTC13441_03892	BW25113_0093	b0093
ycfH	hydrolase, TatD family	2.37749454978364	2.46545361722925	2.67790095124955	2.24292657585604	2.18499633864164	2.24537292409802	2.14394546960185	2.50729168145909	1.69255061562088	1.68310460009392	2.13646230068055	1.74772024477994	3.07278814695848	4.5	ENC_15380	BN373_17121	ERS227112_03576	ROD_11621	SL1344_1139	SL3261_1139	STMMW_12111	STM_MW12111	SEN1847	t1718	EC958_1296	NCTC13441_02812	BW25113_1100	b1100
kdgR	Transcriptional regulator	1.8490875883306	2.83299498840768	2.16199803214592	2.30611906697055	2.087468338066	2.3706865517308	2.3809367626871	1.73000368944549	2.12426091036603	2.49617125788517	1.91545162660404	2.14016406133067	0.98843308539603	4.5	ENC_06680	BN373_29281	ERS227112_04321	ROD_18671	SL1344_1771	SL3261_1771	STMMW_18311	STM_MW18311	SEN1195	t1036	EC958_2046	NCTC13441_02060	BW25113_1827	b1827
hisJ	L-histidine-binding protein	2.21753225918408	2.04964458757214	1.97485471830824	1.67774954999543	2.36580681795589	2.65166147266633	2.42356864966615	2.72743806182924	2.08995622093634	1.8178230266851	2.11283888222817	2.11282755010813	1.55355154808258	4.5	ENC_38990	BN373_33091	ERS227112_03880	ROD_27171	SL1344_2323	SL3261_2323	STMMW_23761	STM_MW23761	SEN2336	t0510	EC958_2644	NCTC13441_01402	BW25113_2309	b2309
frdB	succinate dehydrogenase subunit B	2.97228099992639	2.42586833868893	2.21969968961756	2.21143262371017	2.2401007233037	2.5078019505949	1.95458171403671	1.5623576369256	2.08375412358091	2.16970268666231	2.50435631479244	1.95917777529166	2.31270182126386	4.5	ENC_42560	BN373_01651	ERS227112_02030	ROD_32171	SL1344_4279	SL3261_4279	STMMW_42901	STM_MW42901	SEN4112	t4394	EC958_4644	NCTC13441_04299	BW25113_4153	b4153
cysZ	Uncharacterized protein involved in cysteine biosynthesis	2.74524540921153	2.57037094828349	2.49537449036592	2.67544942761259	2.18083186731023	2.81136210323653	2.14946315579981	2.29551274359546	2.10127457143639	2.16755260062466	2.52306872879258	2.21641996040781	2.48022600977516	4.5	ENC_38410	BN373_34181	ERS227112_03819	ROD_23721	SL1344_2392	SL3261_2392	STMMW_24481	STM_MW24481	SEN2410	t0428	EC958_5026	NCTC13441_01305	BW25113_2413	b2413
erfK	Uncharacterized protein conserved in bacteria	2.63322593625571	2.60872219506048	2.00664288370927	2.56736309886673	2.01808956619651	2.45629914277751	2.03546498147118	1.95340408299772	1.90461630151758	2.27261605829695	2.47623490147679	2.43621401966418	2.55748114158381	4.5	ENC_41710	BN373_30181	ERS227112_04177	ROD_21001	SL1344_1991	SL3261_1991	STMMW_20461	STM_MW20461	SEN2013	t0859	EC958_4969	NCTC13441_01763	BW25113_1990	b1990
cysH	phosphoadenylylsulfate reductase (thioredoxin)	2.37498071443275	2.86482495738285	2.30915426188723	2.51079077954352	1.70145935200682	1.77456747615061	1.49424518761751	1.42415132545111	1.5427665025574	1.83995602388847	2.38713776344173	2.42789146365434	2.55176465946769	4.5	ENC_30100	BN373_37611	ERS227112_01543	ROD_30441	SL1344_2925	SL3261_2925	STMMW_29091	STM_MW29091	SEN2785	t2847	EC958_3026	NCTC13441_01017	BW25113_2762	b2762
udp	uridine phosphorylase	2.96233026926162	2.63745262262114	2.77736417798824	2.15582050783432	2.5388847453848	2.707873783839	2.39689544489153	2.35283333838627	2.11526623516803	2.3450594688315	2.87053047762809	2.62466122964647	2.53578463743537	4.5	ENC_01800	BN373_49521	ERS227112_01799	ROD_39231	SL1344_3922	SL3261_3922	STMMW_39391	STM_MW39391	SEN3763	t3329	EC958_4307	NCTC13441_04674	BW25113_3831	b3831
nudC	NTP pyrophosphohydrolases containing a Zn-finger, probably nucleic-acid-binding	3.00080963290292	2.52029308123607	2.42534294614969	2.52782862664246	2.58665795052944	2.58339297158408	2.52938727458505	2.70468978176157	2.19968997275745	2.19629683370138	2.56050557882149	2.34382061612877	2.68770232542607	4.5	ENC_01270	BN373_49931	ERS227112_01849	ROD_37561	SL1344_4105	SL3261_4105	STMMW_41191	STM_MW41191	SEN3952	t3465	EC958_5107	NCTC13441_04498	BW25113_3996	b3996
mlaE	conserved hypothetical integral membrane protein	2.92228494740416	2.50138545581938	2.24782319817709	2.41768588555633	2.59968394352102	2.69351561118723	2.50898507342682	2.08448524976356	2.081619870502	2.45217304940884	2.44379449950349	2.27605430572661	2.81066992572482	4.5	ENC_34310	BN373_42541	ERS227112_00994	ROD_46261	SL1344_3284	SL3261_3284	STMMW_33111	STM_MW33111	SEN3145	t3229	EC958_3594	NCTC13441_00498	BW25113_3194	b3194
potC	ABC-type spermidine/putrescine transport system, permease component II	2.41169423910415	2.20991067760222	2.26231371489945	1.78783377512993	1.81800026865346	1.51074478039089	1.62760329855883	2.67064221073728	1.4691354551617	1.95870363617381	1.93712244337116	1.37202871396599	2.03705442596845	4.5	ENC_15150	BN373_17471	ERS227112_03600	ROD_12041	SL1344_1160	SL3261_1160	STMMW_12321	STM_MW12321	SEN1826	t1697	EC958_1321	NCTC13441_02788	BW25113_1124	b1124
eamA	putative amino-acid metabolite efflux pump	2.09397721721241	2.65621874545133	2.13380070765983	2.12633669608728	1.83819054366464	2.08200849479208	1.81867214103962	1.61028910985139	1.67725747675532	1.80895122196633	1.81568794864302	1.24926353318754	1.22294762464145	4.5	ENC_116added	BN373_21911	ERS227112_05056	ROD_15051	SL1344_1447	SL3261_1447	STMMW_15171	STM_MW15171	SEN1534	t1438	EC958_1788	NCTC13441_02314	BW25113_1533	b1533
exuR	transcriptional regulator, GntR family	2.14258453457997	1.9715867687305	1.95220033764787	1.96246750974095	2.36121884101491	2.25468869659267	2.43866466473343	1.71852328925285	1.62405801610872	1.34582527750404	2.10025579672701	1.98833895195509	1.73730595968428	4.5	ENC_33510	BN373_41851	ERS227112_01082	ROD_47931	SL1344_4437	SL3261_4437	STMMW_44531	STM_MW44531	SEN4267	t4556	EC958_3500	NCTC13441_00595	BW25113_3094	b3094
fliY_4	L-cystine-binding protein/Diaminopimelate-binding protein	2.09224559441788	2.23920311357628	1.94152258723124	2.02670862105794	1.796705098902	2.26796659811997	1.85901399583629	0.660327787304373	1.65431321402624	1.8199363631906	2.1077397650733	1.84948927656548	0.498550710456985	4.5	ENC_05560	BN373_30011	ERS227112_04243	ROD_19751	SL1344_1883	SL3261_1883	STMMW_19331	STM_MW19331	SEN1053	t0922	EC958_2188	NCTC13441_01904	BW25113_1920	b1920
zipA	cell division protein ZipA	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-0.904720111146624	-1.32101778909032	-4.5	-1.4218342417003	-4.5	-4.5	-4.5	ENC_38420	BN373_34171	ERS227112_03820	ROD_23711	SL1344_2391	SL3261_2391	STMMW_24471	STM_MW24471	SEN2409	t0429	EC958_5025	NCTC13441_01306	BW25113_2412	b2412
mscS	Small-conductance mechanosensitive channel	2.32870045396535	2.27847754707486	2.30464026682334	2.68628838499838	2.81899906322477	3.03460208821114	3.03396035094197	3.15665509073325	2.72521768434162	3.12779098309894	2.30194056729078	2.33820268769249	2.76971021030001	4.5	ENC_31570	BN373_40171	ERS227112_01312	ROD_50751	SL1344_3043	SL3261_3043	STMMW_30281	STM_MW30281	SEN2910	t2985	EC958_3203	NCTC13441_00832	BW25113_2924	b2924
rpsB	SSU ribosomal protein S2P	-1.79827590099883	-4.5	-4.5	-1.36618315383077	-4.5	-4.5	-4.5	-4.5	-1.68749755893249	-4.5	-1.1170978367375	-4.5	-4.5	-4.5	ENC_46920	BN373_06741	ERS227112_02524	ROD_01721	SL1344_0217	SL3261_0217	STMMW_02221	STM_MW02221	SEN0223	t0217	EC958_0315	NCTC13441_03808	BW25113_0169	b0169
djlA	DnaJ-domain-containing proteins 1	2.92035276946133	2.53045356440632	2.15113899127235	1.63991709153667	2.33664708363022	2.22937941719802	1.89490343173426	1.89545839355299	1.56462135300101	1.74099482654725	2.12631152906329	1.88654341482558	2.83952948605299	4.5	ENC_45700	BN373_05391	ERS227112_02388	ROD_00621	SL1344_0095	SL3261_0095	STMMW_00991	STM_MW00991	SEN0096	t0097	EC958_0191	NCTC13441_03933	BW25113_0055	b0055
ubiE	ubiquinone/menaquinone biosynthesis methyltransferases	-1.43463439985632	-0.755837021300377	-4.5	-0.0691261911069436	-0.988070252492857	-1.76927843915499	-0.566549921624128	-1.61125631822796	-0.660010759352267	-4.5	0	0.064874636301463	-0.0976178376849986	4.5	ENC_01780	BN373_49541	ERS227112_01801	ROD_39211	SL1344_3924	SL3261_3924	STMMW_39411	STM_MW39411	SEN3765	t3327	EC958_4315	NCTC13441_04666	BW25113_3833	b3833
dppF	oligopeptide/dipeptide ABC transporter, ATP-binding protein, C-terminal domain	2.22433370211555	2.43244925068086	1.83946411860932	2.06624939057335	2.13369493434505	2.04188662572329	1.93774209050054	2.003821953388	1.61893463094616	1.91076030819483	2.04890680715324	2.23495918076417	2.11454339554987	4.5	ENC_24760	BN373_45331	ERS227112_00687	ROD_42671	SL1344_3592	SL3261_3592	STMMW_36171	STM_MW36171	SEN3450	t3889	EC958_3946	NCTC13441_00143	BW25113_3540	b3540
gltJ	L-glutamate ABC transporter membrane protein/L-aspartate ABC transporter membrane protein	2.406001880107	2.86628696350972	2.5603792497966	2.40292950491035	2.23957784112722	2.18815402434766	2.358473556659	1.56147091384615	1.97467318876862	1.71642908745806	2.41114100274659	2.48507082329825	2.34277078810564	4.5	ENC_20620	BN373_12601	ERS227112_03122	ROD_06671	SL1344_0653	SL3261_0653	STMMW_07291	STM_MW07291	SEN0633	t2209	EC958_0772	NCTC13441_03343	BW25113_0654	b0654
lrhA	Transcriptional regulator	3.15227201039248	2.90445661923535	2.68313678361985	2.8560523898231	2.45277583345054	2.70083778955194	2.8314177163189	2.94088476132667	2.40629208493608	2.8270544813719	2.85356628981096	2.97100982537236	3.02927346635956	4.5	ENC_39220	BN373_32901	ERS227112_03899	ROD_26911	SL1344_2299	SL3261_2299	STMMW_23521	STM_MW23521	SEN2312	t0534	EC958_2624	NCTC13441_01421	BW25113_2289	b2289
mlaF	ABC-type transport system involved in resistance to organic solvents, ATPase component	2.96873208689247	2.41980155536892	2.15983718767723	2.31332532291343	2.64950835833599	2.77163893002115	2.31771987741194	2.11788014881831	2.08305658723036	2.55164904180275	2.72845713992211	2.22610463636793	2.77899387474726	4.5	ENC_34320	BN373_42551	ERS227112_00993	ROD_46251	SL1344_3285	SL3261_3285	STMMW_33121	STM_MW33121	SEN3146	t3230	EC958_3595	NCTC13441_00497	BW25113_3195	b3195
proV_2	ABC-type proline/glycine betaine transport systems, ATPase components	2.23074928209057	2.1028786701459	2.16091319353649	1.7068980441646	2.35991964729403	2.11200810685179	1.87990807583749	1.82660962570639	1.38885079156359	1.19897269549529	1.8926937230177	1.99972864350616	1.79179797121738	4.5	ENC_40390	BN373_31691	ERS227112_04013	ROD_22421	SL1344_2141	SL3261_2141	STMMW_21951	STM_MW21951	SEN2157	t0691	EC958_2465	NCTC13441_01579	BW25113_2129	b2129
panB	ketopantoate hydroxymethyltransferase	2.73118750965734	2.57581314611323	2.11512948134449	2.43255193950526	2.39641703714918	2.59380125170335	2.39168345915061	2.41321619854978	1.87635781273855	1.94187092352392	2.32292133222025	2.35003022140051	2.55138465259893	4.5	ENC_46560	BN373_06311	ERS227112_02482	ROD_01451	SL1344_0183	SL3261_0183	STMMW_01881	STM_MW01881	SEN0187	t0183	EC958_0277	NCTC13441_03846	BW25113_0134	b0134
mlaA	Surface lipoprotein	2.88566687298086	2.36451903139689	2.31253313697943	2.21238348111969	2.56493723887852	2.82308336185426	2.51665095278201	2.60016777185543	2.19745860172014	2.54927820273544	2.37705775833157	2.44453652925081	2.11467854005864	4.5	ENC_38700	BN373_33371	ERS227112_03852	ROD_27491	SL1344_2361	SL3261_2361	STMMW_24141	STM_MW24141	SEN2374	t0472	EC958_2679	NCTC13441_01367	BW25113_2346	b2346
argT	L-arginine-binding protein/L-lysine-binding protein/L-ornithine-binding protein	2.32460244787799	1.99035471097511	1.80398879289568	2.17347997560489	2.17146697754292	2.02475074529102	2.19029202534335	2.13817716721799	1.99450529991293	2.3919194844238	1.70632119652996	2.07546840524236	2.49533998501773	4.5	ENC_38980	BN373_33101	ERS227112_03879	ROD_27181	SL1344_2324	SL3261_2324	STMMW_23771	STM_MW23771	SEN2337	t0509	EC958_2645	NCTC13441_01401	BW25113_2310	b2310
ompR	Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain	2.73112732190309	2.82171214899488	2.51640150172231	2.48444461330126	2.80110400776803	2.72799259646441	2.62436738585688	2.75376917396816	2.37667585279106	1.88621693983709	2.70289210976433	2.24361129297515	2.19639934209116	4.5	ENC_26050	BN373_44131	ERS227112_00811	ROD_44191	SL1344_3469	SL3261_3469	STMMW_34921	STM_MW34921	SEN3328	t4004	EC958_3799	NCTC13441_00294	BW25113_3405	b3405
dkgB	Aldo/keto reductases, related to diketogulonate reductase	2.15971562340451	2.30109664962952	1.73105938868234	2.13612102910596	1.24360887003522	1.40773566009938	1.37979896092184	1.45773209435917	1.3513355577035	1.75528511610664	1.33964379732245	1.09725065127977	2.18023539507827	4.5	ENC_24880	BN373_07061	ERS227112_02561	ROD_02121	SL1344_0250	SL3261_0250	STMMW_02541	STM_MW02541	SEN0257	t2610	EC958_0350	NCTC13441_03769	BW25113_0207	b0207
