STM_MW00461	riboflavin biosynthesis protein RibF
ETEC_0026	isoleucyl-tRNA synthetase
ERS227112_01288	ICORN_RH20207_annotate_bacteria_01288
ENC_25160	LSU ribosomal protein L30P
SL3261_0930	KicA protein
ROD_37711	preprotein translocase SecE subunit
ETEC_2781	signal peptidase I
STM_MW12101	DNA polymerase III, delta' subunit
STM_MW42781	GroES protein
STMMW_17101	DNA topoisomerase I, omega protein I
ERS227112_03569	ICORN_RH20207_annotate_bacteria_03569
SL1344_1749	conserved hypothetical protein
STM_MW05581	adenylate kinase
CS17_03642	lipopolysaccharide transport periplasmic protein LptA,Lipopolysaccharide export system protein lptA precursor,lipopolysaccharide transport periplasmic protein LptA,Uncharacterized protein conserved in bacteria,lipopolysaccharide transport periplasmic protein LptA,OstA-like protein
ENC_23450	diaminohydroxyphosphoribosylaminopyrimidine deaminase /5-amino-6-(5-phosphoribosylamino)uracil reductase
SEN3655	chromosomal replication initiator protein
ROD_04641	6,7-dimethyl-8-ribityllumazine synthase (riboflavin synthase beta chain)
ERS227112_03114	ICORN_RH20207_annotate_bacteria_03114
ERS227112_01753	ICORN_RH20207_annotate_bacteria_01753
STM_MW43021	conserved hypothetical protein
ERS227112_02525	ICORN_RH20207_annotate_bacteria_02525
ENC_38920	folylpolyglutamate synthase/dihydrofolate synthase
SL3261_4347	inorganic pyrophosphatase
ENC_32530	1-acyl-sn-glycerol-3-phosphate acyltransferase
ROD_46431	cell division protein
ERS227112_02526	ICORN_RH20207_annotate_bacteria_02526
SEN3054	RNA polymerase sigma-70 factor
SEN3122	L factor
ETEC_1163	Thymidylate kinase
STM_MW02481	prolyl-tRNA synthetase
STMMW_32871	L factor
ENC_28050	LSU ribosomal protein L19P
SEN0135	UDP-3-O-[3-hydroxymyristoyl
ETEC_3132	S-adenosylmethionine synthetase
BN373_12511	nicotinate (nicotinamide) nucleotide adenylyltransferase
STM_MW37201	deoxyuridine 5'-triphosphate nucleotidohydrolase
SL3261_3185	RNA polymerase sigma-70 factor
BN373_44651	cell division protein FtsY
STM_MW33061	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
STMMW_32921	PGM/PMM-family protein
SL3261_3932	conserved hypothetical protein
BN373_06991	prolyl-tRNA synthetase
SL3261_3536	cell division protein
CS17_04713	inorganic pyrophosphatase,Inorganic pyrophosphatase,inorganic pyrophosphatase,Inorganic pyrophosphatase,Inorganic pyrophosphatase
ERS227112_02835	ICORN_RH20207_annotate_bacteria_02835
STMMW_10051	cell division protein
ETEC_3567	50S ribosomal subunit protein L22
STMMW_02351	lipid-A-disaccharide synthase
ETEC_2821	probable inorganic polyphosphate/ATP NAD kinase
STM_MW13431	50S ribosomal subunit protein L20
SL1344_3691	phosphopantetheine adenylyltransferase
SL1344_4091	50S ribosomal subunit protein L7/L12
NCTC13441_00445	Biotin carboxylase,acetyl-CoA carboxylase biotin carboxylase subunit,Acetyl/propionyl-CoA carboxylase, alpha subunit,acetyl-CoA carboxylase, biotin carboxylase subunit,Carbamoyl-phosphate synthase L chain, ATP binding domain
STM_MW38221	DNA polymerase III beta-subunit
NCTC13441_02163	50S ribosomal protein L20,50S ribosomal protein L20,ribosomal protein L20,Ribosomal protein L20
SL1344_0222	undecaprenyl pyrophosphate synthetase
CS17_04620	10 kDa chaperonin (Protein Cpn10) (groES protein),hypothetical protein,co-chaperonin GroES,Chaperonin 10 Kd subunit
SEN3552	conserved hypothetical protein
SL1344_3268	cell division protein
ROD_25141	signal peptidase I
SEN3274	elongation factor G
t3222	octaprenyl-diphosphate synthase
ENC_15210	lipoprotein releasing system, ATP-binding protein
ERS227112_03430	ICORN_RH20207_annotate_bacteria_03430
SEN3248	preprotein translocase subunit
SEN3151	conserved hypothetical protein
ENC_15220	lipoprotein releasing system, transmembrane protein, LolC/E family
SL3261_1643	GTP cyclohydrolase II
ENC_20740	peptidoglycan glycosyltransferase /cell elongation-specific peptidoglycan D,D-transpeptidase
t1953	30S ribosomal protein S1
NCTC13441_00394	50S ribosomal protein L15,50S ribosomal protein L15,ribosomal protein L15,Ribosomal protein L18e/L15
ERS227112_01918	ICORN_RH20207_annotate_bacteria_01918
CS17_03497	RNA polymerase,Sigma-70,RNA polymerase sigma factor RpoD,RNA polymerase sigma factor RpoD,Sigma-70, non-essential region
CS17_03755	50S ribosomal protein L3,50S ribosomal protein L3,50S ribosomal protein L3,Ribosomal protein L3,50S ribosomal protein L3,Ribosomal protein L3
STMMW_12041	3-oxoacyl-[acyl-carrier protein
NCTC13441_02975	Lipid A export ATP-binding/permease protein MsbA,lipid transporter ATP-binding/permease protein,ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain,lipid A export permease/ATP-binding protein MsbA,ABC transporter transmembrane region
ENC_28090	signal recognition particle subunit FFH/SRP54 (srp54)
STM_MW02221	30S ribosomal protein S2
CS17_00648	leucyl-tRNA synthetase,Leucine--tRNA ligase,leucyl-tRNA synthetase,Leucyl-tRNA synthetase,leucine--tRNA ligase,tRNA synthetases class I (I, L, M and V)
STMMW_05581	adenylate kinase
ETEC_3552	preprotein translocase subunit SecY
CS17_04521	glycerol-3-phosphate acyltransferase,Glycerol-3-phosphate acyltransferase,glycerol-3-phosphate acyltransferase,Glycerol-3-phosphate O-acyltransferase,glycerol-3-phosphate O-acyltransferase,Acyltransferase
t0135	cell division protein FtsQ
CS17_00946	translation initiation factor IF-1,Translation initiation factor IF-1,translation initiation factor IF-1,translation initiation factor IF-1,Translation initiation factor 1A / IF-1
SL3261_0222	undecaprenyl pyrophosphate synthetase
STMMW_31561	3,4-dihydroxy-2-butanone 4-phosphate synthase
BN373_43371	ribosomal protein L15
ERS227112_02540	ICORN_RH20207_annotate_bacteria_02540
ENC_34060	bacterial translation initiation factor 2 (bIF-2)
t4072	50S ribosomal subunit protein L16
SL1344_3393	30S ribosomal subunit protein S8
ROD_45091	50S ribosomal subunit protein L16
CS17_03732	30S ribosomal protein S11,30S ribosomal protein S11,30S ribosomal protein S11,Ribosomal protein S11,30S ribosomal protein S11,Ribosomal protein S11
ROD_40241	inner membrane protein
BN373_40351	conserved hypothetical protein TIGR00250
BN373_12471	penicillin-binding protein 2
CS17_04003	glycine-tRNA synthetase, beta subunit,Glycine--tRNA ligase beta subunit,glycyl-tRNA synthetase subunit beta,glycine--tRNA ligase, beta subunit,Glycyl-tRNA synthetase beta subunit
CS17_04520	4-hydroxybenzoate octaprenyltransferase,4-hydroxybenzoate octaprenyltransferase,4-hydroxybenzoate octaprenyltransferase,Polyprenyltransferase (cytochrome oxidase assembly factor),4-hydroxybenzoate polyprenyl transferase,UbiA prenyltransferase family
t3487	pantothenate kinase
NCTC13441_03353	Leucine--tRNA ligase,leucyl-tRNA synthetase,Leucyl-tRNA synthetase,leucine--tRNA ligase,tRNA synthetases class I (I, L, M and V)
SEN3140	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
t1702	ABC transporter ATP-binding subunit
SL3261_1705	Glutamyl-tRNA reductase
SL3261_3809	hypothetical membrane protein
BN373_06781	1-deoxy-D-xylulose 5-phosphate reductoisomerase
t2853	enolase
STM_MW01401	UDP-3-O-[3-hydroxymyristoyl
STM_MW37191	conserved hypothetical protein
t1971	seryl-tRNA synthetase
SL3261_4326	30s ribosomal subunit protein S18
STM_MW12051	acyl carrier protein
ENC_25180	LSU ribosomal protein L18P
BN373_05811	UDP-N-acetylmuramoylalanine--D-glutamate ligase
CS17_03631	UDP-N-acetylglucosamine L-carboxyvinyltransferase,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,ATP phosphoribosyltransferase,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)
ERS227112_02717	ICORN_RH20207_annotate_bacteria_02717
SL1344_3389	50S ribosomal subunit protein L30
SL3261_3697	deoxyuridine 5'-triphosphate nucleotidohydrolase
SEN3675	glucosamine--fructose-6-phosphate aminotransferase
ETEC_0085	phospho-N-acetylmuramoyl-pentapeptide-transfera se
SEN3659	putative membrane protein
CS17_02563	acetylCoA carboxylase,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,acetyl-CoA carboxylase subunit beta,Acetyl-CoA carboxylase, carboxyltransferase component (subunits alpha and beta),acetyl-CoA carboxylase, carboxyl transferase, beta subunit,Carboxyl transferase domain
ERS227112_02524	ICORN_RH20207_annotate_bacteria_02524
CS17_00195	acetyl-CoA carboxylase,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,acetyl-CoA carboxylase carboxyltransferase subunit alpha,Acetyl-CoA carboxylase, carboxyltransferase component (subunits alpha and beta),acetyl-CoA carboxylase, carboxyl transferase, alpha subunit,Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit
CS17_00094	cell division protein FtsA,Cell division protein FtsA,cell division protein FtsA,Ethanolamine utilization protein, possible chaperonin,cell division protein FtsA,Cell division protein FtsA
BN373_00351	4-hydroxybenzoate polyprenyl transferase
BN373_41061	3,4-dihydroxy-2-butanone 4-phosphate synthase
NCTC13441_04511	50S ribosomal protein L8,50S ribosomal protein L10,Ribosomal protein L10,Ribosomal protein L10
NCTC13441_00526	Translation initiation factor IF-2,translation initiation factor IF-2,EMAP domain,translation initiation factor IF-2,Elongation factor Tu GTP binding domain
ETEC_0084	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-ala nine ligase
SL3261_0901	seryl-tRNA synthetase
ERS227112_00988	ICORN_RH20207_annotate_bacteria_00988
ROD_42471	glycine-tRNA synthetase, beta subunit
NCTC13441_03804	1-deoxy-D-xylulose 5-phosphate reductoisomerase,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Translation elongation factor Ts,1-deoxy-D-xylulose 5-phosphate reductoisomerase,1-deoxy-D-xylulose 5-phosphate reductoisomerase
BN373_08481	protein-export membrane protein SecD
STM_MW34331	30S ribosomal subunit protein S10
NCTC13441_03355	DNA polymerase III subunit delta,DNA polymerase III subunit delta,DNA polymerase III, delta subunit,DNA polymerase III, delta subunit
ENC_30030	cell division protein FtsB
SEN3478	glycine-tRNA synthetase, alpha subunit
CS17_02481	DNA gyrase subunit A,DNA gyrase subunit A,DNA gyrase subunit A,Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit,DNA gyrase, A subunit,DNA gyrase/topoisomerase IV, subunit A
CS17_03668	50S ribosomal protein L13,50S ribosomal protein L13,50S ribosomal protein L13,Ribosomal protein L13,ribosomal protein L13,Ribosomal protein L13
SL1344_3168	3,4-dihydroxy-2-butanone 4-phosphate synthase
STMMW_14521	tyrosyl-tRNA synthetase
ERS227112_03426	ICORN_RH20207_annotate_bacteria_03426
NCTC13441_03356	Nicotinate-nucleotide adenylyltransferase,nicotinic acid mononucleotide adenylyltransferase,nicotinate (nicotinamide) nucleotide adenylyltransferase,Cytidylyltransferase
STMMW_34081	DNA-directed RNA polymerase alpha chain
SL1344_3401	30S ribosomal subunit protein S3
SL3261_4192	single-strand DNA-binding protein
SL1344_2391	cell division protein
STM_MW26971	conserved hypothetical protein
ENC_15390	DNA polymerase III, delta prime subunit
SEN2360	3-oxoacyl-[acyl-carrier-protein
SEN3245	30S ribosomal subunit protein S11
BN373_34171	cell division protein ZipA
SL3261_0221	1-deoxy-D-xylulose 5-phosphate reductoisomerase
ENC_45420	FMN adenylyltransferase /riboflavin kinase
t1942	killing factor KicB
ETEC_1314	glutamyl-tRNA reductase
ETEC_0952	translation initiation factor IF-1
SEN4004	glycerol-3-phosphate acyltransferase
ROD_13401	50S ribosomal subunit protein L20
SL1344_1646	DNA topoisomerase I, omega protein I
t1973	outer membrane lipoprotein carrier protein precursor
STM_MW25931	holo-[acyl-carrier protein
BN373_00361	glycerol-3-phosphate acyltransferase
STMMW_02421	cell cycle protein MesJ
t1725	3-oxoacyl-[acyl-carrier protein
CS17_00640	rod shape-determining protein RodA,Rod shape-determining protein RodA,cell wall shape-determining protein,rod shape-determining protein RodA,Cell cycle protein
STMMW_38461	glucosamine--fructose-6-phosphate aminotransferase
t4082	30S ribosomal subunit protein S5
BN373_06901	acetyl-CoA carboxylase, carboxyl transferase, alpha subunit
ERS227112_03874	ICORN_RH20207_annotate_bacteria_03874
CS17_00024	riboflavin biosynthesis protein [includes: riboflavin kinase; FMN adenylyltransferase
t4077	50S ribosomal subunit protein L5
ROD_45171	50S ribosomal subunit protein L6
CS17_03608	translation initiation factor IF2-alpha,Translation initiation factor IF-2,translation initiation factor IF-2,EMAP domain,translation initiation factor IF-2,Elongation factor Tu GTP binding domain
STMMW_07041	rod shape-determining protein RodA
SL1344_0123	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-di a minopimelate ligase
ROD_44781	30S ribosomal subunit protein S7
ERS227112_01832	ICORN_RH20207_annotate_bacteria_01832
SEN3206	rod shape-determining protein
STMMW_01321	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase
t3684	DNA gyrase subunit B
SL3261_3397	50S ribosomal subunit protein L14
SL1344_3273	probable GTP-binding protein
NCTC13441_01319	Glutamate--tRNA ligase,glutamyl-tRNA synthetase,Glutamyl- and glutaminyl-tRNA synthetases,glutamate--tRNA ligase,tRNA synthetases class I (E and Q), catalytic domain
t4065	50S ribosomal subunit protein L3
ERS227112_00883	ICORN_RH20207_annotate_bacteria_00883
SL3261_0046	riboflavin biosynthesis protein RibF
ROD_09921	chromosome partition protein
SEN3773	conserved hypothetical protein
NCTC13441_04814	Chromosomal replication initiator protein DnaA,chromosomal replication initiation protein,DNA replication protein,chromosomal replication initiator protein DnaA,Bacterial dnaA protein
SEN0888	probable transport ATP-binding protein MsbA
NCTC13441_04815	DNA polymerase III subunit beta,DNA polymerase III subunit beta,DNA polymerase III, beta subunit,DNA polymerase III beta subunit, N-terminal domain
t1726	malonyl CoA-acyl carrier protein transacylase
t4075	50S ribosomal subunit protein L14
BN373_33231	3-oxoacyl-[acyl-carrier-protein
t4078	30S ribosomal subunit protein S14
STM_MW33041	octaprenyl-diphosphate synthase
CS17_03735	preprotein translocase membrane subunit,hypothetical protein,preprotein translocase subunit SecY,Preprotein translocase subunit SecY,preprotein translocase, SecY subunit,SecY translocase
STMMW_00471	isoleucyl-tRNA synthetase
ERS227112_02723	ICORN_RH20207_annotate_bacteria_02723
ERS227112_00878	ICORN_RH20207_annotate_bacteria_00878
ETEC_2252	Methionyl-tRNA synthetase
STM_MW21861	methionyl-tRNA synthetase
SL1344_2650	signal recognition particle protein
CS17_03469	3,4-dihydroxy-2-butanone 4-phosphate synthase,3,4-dihydroxy-2-butanone 4-phosphate synthase,3,4-dihydroxy-2-butanone 4-phosphate synthase,3,4-dihydroxy-2-butanone-4-phosphate synthase,3,4-dihydroxy-2-butanone 4-phosphate synthase
SL3261_3406	50S ribosomal subunit protein L4
CS17_01387	outer membrane lipoprotein LolB,Outer-membrane lipoprotein lolB precursor,outer membrane lipoprotein LolB,outer membrane lipoprotein LolB,Outer membrane lipoprotein LolB
STMMW_43021	conserved hypothetical protein
NCTC13441_03102	P20,lipoprotein chaperone,Outer membrane lipoprotein-sorting protein,outer membrane lipoprotein carrier protein LolA,Outer membrane lipoprotein carrier protein LolA
SL1344_2539	Holo-[acyl-carrier-protein
ETEC_0701	flavodoxin 1
ENC_04900	single-strand binding protein
NCTC13441_00377	50S ribosomal protein L23,50S ribosomal protein L23,Ribosomal protein L23,archaeal ribosomal protein L23,Ribosomal protein L23
ETEC_3570	50S ribosomal subunit protein L23
ROD_35641	1-acyl-glycerol-3-phosphate acyltransferase
SL3261_1133	acyl carrier protein
CS17_03738	30S ribosomal protein S5,30S ribosomal protein S5,30S ribosomal protein S5,Ribosomal protein S5,ribosomal protein S5,Ribosomal protein S5, C-terminal domain
ERS227112_02356	ICORN_RH20207_annotate_bacteria_02356
t3480	preprotein translocase SecE subunit
STMMW_42961	phosphatidylserine decarboxylase proenzyme
BN373_02801	valyl-tRNA synthetase
NCTC13441_02959	Asparagine--tRNA ligase,asparaginyl-tRNA synthetase,Aspartyl/asparaginyl-tRNA synthetases,asparagine--tRNA ligase,tRNA synthetases class II (D, K and N)
STM_MW01351	UDP-N-acetylmuramate:alanine ligase
SEN3722	transcription termination factor
ENC_01440	transcription antitermination protein nusG
ERS227112_01714	ICORN_RH20207_annotate_bacteria_01714
ETEC_2939	cell division protein
SL1344_1156	ABC transporter integral membrane subunit
STM_MW34321	50S ribosomal subunit protein L3
STM_MW26951	heat shock protein GrpE (heat shock protein b25.3) (hsp24)
ETEC_0685	apolipoprotein N-acyltransferase
ERS227112_00022	ICORN_RH20207_annotate_bacteria_00022
t4066	50S ribosomal subunit protein L4
SEN3249	50S ribosomal subunit protein L15
ERS227112_00879	ICORN_RH20207_annotate_bacteria_00879
STMMW_12281	ABC transporter integral membrane subunit
ERS227112_04492	ICORN_RH20207_annotate_bacteria_04492
SEN1261	outer membrane lipoprotein
STM_MW26881	tRNA(guanine-N1)methyltransferase
CS17_02852	holo-[acyl-carrier-protein
BN373_15321	translation initiation factor IF-1
NCTC13441_00401	50S ribosomal protein L17,50S ribosomal protein L17,Ribosomal protein L17,ribosomal protein L17,Ribosomal protein L17
t1720	thymidylate kinase
ROD_37751	pantothenate kinase
ENC_15450	acyl carrier protein
STM_MW41851	glycerol-3-phosphate acyltransferase
SL1344_2654	heat shock protein GrpE (heat shock protein b25.3) (hsp24)
NCTC13441_00398	30S ribosomal protein S11,30S ribosomal protein S11,Ribosomal protein S11,30S ribosomal protein S11,Ribosomal protein S11
SL3261_4410	hypothetical inner membrane protein
ENC_25410	ribosomal protein S12, bacterial/organelle
BN373_12461	rod shape-determining protein RodA
SL3261_2544	signal peptidase I
CS17_03762	30S ribosomal protein S7,30S ribosomal protein S7,30S ribosomal protein S7,Ribosomal protein S7,ribosomal protein S7,Ribosomal protein S7p/S5e
t3236	probable ABC transport protein, ATP-binding component
ENC_17990	bacterial translation initiation factor 1 (bIF-1)
t0276	GTP-binding protein
t1317	tyrosyl-tRNA synthetase
CS17_03311	putative holliday junction resolvase,Putative Holliday junction resolvase,Holliday junction resolvase-like protein,RNAse H domain protein, YqgF family,Uncharacterised protein family (UPF0081)
SL3261_4092	DNA-directed RNA polymerase, beta-subunit
STM_MW33171	conserved hypothetical protein
SL3261_3382	DNA-directed RNA polymerase alpha chain
STMMW_12051	ACP
CS17_03304	S-adenosylmethionine synthetase,S-adenosylmethionine synthase,S-adenosylmethionine synthetase,methionine adenosyltransferase,S-adenosylmethionine synthetase, C-terminal domain
ENC_25350	ribosomal protein S10, bacterial/organelle
STM_MW33441	50S ribosomal subunit protein L13
STMMW_41841	4-hydroxybenzoate octaprenyl transferase
SL1344_3072	Putative Holliday junction resolvase
ETEC_0190	prolyl-tRNA synthetase
SL1344_4410	hypothetical inner membrane protein
t2832	conserved hypothetical protein
CS17_03737	50S ribosomal protein L30,50S ribosomal protein L30,50S ribosomal protein L30,ribosomal protein L30,Ribosomal protein L30p/L7e
STMMW_01401	UDP-3-O-acyl-GlcNAc deacetylase
STM_MW07101	conserved hypothetical protein
ENC_34230	LSU ribosomal protein L21P
NCTC13441_04521	Pantothenate kinase,pantothenate kinase,pantothenate kinase,Phosphoribulokinase / Uridine kinase family
CS17_02948	tRNA (guanine-1-)-methyltransferase,tRNA (guanine-N(1)-)-methyltransferase,tRNA (guanine-N(1)-)-methyltransferase,tRNA-(guanine-N1)-methyltransferase,tRNA (guanine(37)-N(1))-methyltransferase,tRNA (Guanine-1)-methyltransferase
ERS227112_02074	ICORN_RH20207_annotate_bacteria_02074
t2637	conserved hypothetical protein
BN373_29071	glycoprotease family protein
SEN0132	cell division protein FtsQ
CS17_00645	nicotinic acid mononucleotide adenylyltransferase,Nicotinate-nucleotide adenylyltransferase,nicotinic acid mononucleotide adenylyltransferase,nicotinate (nicotinamide) nucleotide adenylyltransferase,Cytidylyltransferase
t3218	probable GTP-binding protein
ENC_15460	3-oxoacyl-[acyl-carrier-protein
ENC_38840	3-oxoacyl-[acyl-carrier-protein
ROD_45221	preprotein translocase subunit SecY
BN373_28301	outer membrane lipoprotein LolB
ETEC_2820	heat shock protein (heat shock protein B25.3)
NCTC13441_03109	Translation initiation factor IF-1,translation initiation factor IF-1,translation initiation factor IF-1,Translation initiation factor 1A / IF-1
t2854	CTP synthetase
ROD_40261	DNA polymerase III beta-subunit
ENC_42670	conserved hypothetical nucleotide-binding protein
t2636	heat shock protein GrpE
STMMW_26881	tRNA(guanine-N1)methyltransferase
CS17_02855	GTP-binding protein Era,GTP-binding protein Era,GTPase Era,Fe2 transport system protein B,GTP-binding protein Era,GTPase of unknown function
STM_MW01381	cell division protein FtsA
t3474	DNA-directed RNA polymerase, beta-subunit
t3094	1-acyl-glycerol-3-phosphate acyltransferase
ERS227112_03575	ICORN_RH20207_annotate_bacteria_03575
ERS227112_00941	ICORN_RH20207_annotate_bacteria_00941
SL1344_2807	Alanyl-tRNA synthetase
BN373_33151	tetrahydrofolate synthase/dihydrofolate synthase
t4468	inorganic pyrophosphatase
ETEC_0668	DNA polymerase III, delta subunit
t1624	GTP cyclohydrolase II
SL3261_3402	50s ribosomal protein l22
ERS227112_05455	ICORN_RH20207_annotate_bacteria_05455
ETEC_4241	transcription antitermination protein
SL3261_0634	DNA polymerase III, delta subunit
SEN2560	GTP-binding protein
SL3261_3147	1-acyl-glycerol-3-phosphate acyltransferase
t0127	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-dia minopim ligase
SL3261_2391	cell division protein
t0218	elongation factor Ts
NCTC13441_04788	Glucosamine--fructose-6-phosphate aminotransferase [isomerizing
ERS227112_02428	ICORN_RH20207_annotate_bacteria_02428
CS17_04086	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase,DNA/pantothenate metabolism flavoprotein,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase,Phosphopantothenoylcysteine synthetase/decarboxylase,phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase,DNA / pantothenate metabolism flavoprotein
SL1344_4285	phosphatidylserine decarboxylase proenzyme
BN373_41291	RNA polymerase sigma factor RpoD
BN373_44371	aspartate-semialdehyde dehydrogenase
SEN0404	1-deoxyxylulose-5-phosphate synthase
t2628	50S ribosomal subunit protein L19
ROD_00921	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-ala nine ligase
BN373_49741	preprotein translocase subunit secE
STMMW_34211	50S ribosomal subunit protein L5
BN373_05881	cell division protein FtsZ
SEN3253	50S ribosomal subunit protein L6
STM_MW01301	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diami nopimelate--D-alan alanyl ligase
t0217	30S ribosomal protein S2
NCTC13441_03340	Apolipoprotein N-acyltransferase,apolipoprotein N-acyltransferase,apolipoprotein N-acyltransferase,Carbon-nitrogen hydrolase
NCTC13441_00450	rod shape-determining protein MreC,rod shape-determining protein MreC,rod shape-determining protein MreC
NCTC13441_02819	3-oxoacyl-[acyl-carrier-protein
ERS227112_00887B	30S ribosomal protein S11
ROD_11611	DNA polymerase III, delta subunit
BN373_46231	dUTP diphosphatase
BN373_02071	ribosomal protein S18
SL3261_3276	50S ribosomal subunit protein L21
SL1344_3414	30S ribosomal subunit protein S7
t1098	outer membrane lipoprotein
SEN1707	Phenylalanyl-tRNA synthetase alpha chain
BN373_43441	ribosomal protein L5
ERS227112_00874	ICORN_RH20207_annotate_bacteria_00874
STMMW_35601	cell division protein
SL1344_3876	transcription termination factor
NCTC13441_02219	Riboflavin synthase alpha chain,riboflavin synthase subunit alpha,riboflavin synthase, alpha subunit,Lumazine binding domain
SL3261_3396	50S ribosomal subunit protein L24
STMMW_04861	riboflavin biosynthesis protein RibD
CS17_00088	UDP-N-acetylmuramoylalanine--D-glutamate ligase,UDP-N-acetylmuramoylalanine--D-glutamate ligase,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase,Folylpolyglutamate synthase,UDP-N-acetylmuramoylalanine--D-glutamate ligase,Mur ligase middle domain
CS17_04436	pantothenate kinase,Pantothenate kinase,pantothenate kinase,pantothenate kinase,Phosphoribulokinase / Uridine kinase family
BN373_12621	apolipoprotein N-acyltransferase
SEN0868	seryl-tRNA synthetase
ROD_01601	conserved hypothetical protein
ENC_25090	LSU ribosomal protein L17P
SL3261_2508	extragenic suppressor protein SuhB
ETEC_1381	GTP cyclohydrolase II
STMMW_26951	heat shock protein GrpE (heat shock protein b25.3) (hsp24)
SL3261_3390	30S ribosomal subunit protein S5
t0219	uridine 5'-monophosphate kinase
CS17_00506	adenylate kinase,Adenylate kinase,adenylate kinase,adenylate kinase,Adenylate kinase
CS17_00507	ferrochelatase,Ferrochelatase,ferrochelatase,Sugar diacid utilization regulator,ferrochelatase,Ferrochelatase
ETEC_0027	lipoprotein signal peptidase
STMMW_41851	glycerol-3-phosphate acyltransferase
ENC_23400	1-deoxy-D-xylulose-5-phosphate synthase
STMMW_13441	PheRS
t4057	30S ribosomal subunit protein S12
SL3261_0481	adenylate kinase
STMMW_34141	50S ribosomal subunit protein L15
BN373_43491	ribosomal protein L16
ENC_26560	signal recognition particle-docking protein FtsY
SL3261_3414	30S ribosomal subunit protein S7
ENC_04720	glycerol-3-phosphate acyltransferase
SL1344_0481	adenylate kinase
SL1344_0205	conserved hypothetical protein
SL3261_1381	tyrosyl-tRNA synthetase
SL3261_0218	Elongation factor Ts
t3261	50S ribosomal subunit protein L13
ENC_34520	valyl-tRNA synthetase
SL1344_0133	cell division protein FtsZ
ENC_46570	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
ERS227112_03570	ICORN_RH20207_annotate_bacteria_03570
NCTC13441_01396	Bifunctional protein folC,bifunctional folylpolyglutamate synthase/ dihydrofolate synthase,Folylpolyglutamate synthase,bifunctional protein FolC,Mur ligase middle domain
ETEC_0670	leucyl-tRNA synthetase
SEN0617	leucyl-tRNA synthetase
SL1344_3536	cell division protein
ENC_08330	DNA topoisomerase I
ETEC_4514	putative hydrolase
ETEC_2937	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
BN373_00461	replicative DNA helicase
STMMW_06101	methenyltetrahydrofolate cyclohydrolase
STM_MW29631	prolipoprotein diacylglyceryl transferase
ENC_03930	DNA polymerase III, beta subunit
SL3261_0126	UDP-N-acetylmuramoylalanine--D-glutamate ligase
STM_MW17691	glutamyl-tRNA reductase
t4083	50S ribosomal subunit protein L30
SL1344_0122	penicillin-binding protein 3 precursor
t1057	conserved hypothetical protein
SL3261_3403	30S ribosomal subunit protein S19
SEN0608	rod shape-determining protein RodA
SL3261_3404	50S ribosomal subunit protein L2
ROD_45011	30S ribosomal subunit protein S10
NCTC13441_00354	30S ribosomal protein S7,30S ribosomal protein S7,Ribosomal protein S7,ribosomal protein S7,Ribosomal protein S7p/S5e
SEN3136	50S ribosomal subunit protein L27
CS17_03730	DNA-directed RNA polymerase subunit alpha,DNA-directed RNA polymerase subunit alpha,DNA-directed RNA polymerase subunit alpha,DNA-directed RNA polymerase, alpha subunit/40 kD subunit,DNA-directed RNA polymerase, alpha subunit,Bacterial RNA polymerase, alpha chain C terminal domain
BN373_35841	tRNA (guanine-N1)-methyltransferase
STMMW_34131	preprotein translocase subunit
CS17_00987	chromosome partition protein,Structural maintenance of chromosome-related protein,cell division protein MukB,Uncharacterized protein involved in chromosome partitioning,MukB N-terminal
CS17_04540	single-strand binding protein,Helix-destabilizing protein,single-stranded DNA-binding protein,single-stranded DNA-binding protein,Single-strand binding protein family
CS17_00978	tetraacyldisaccharide 4'-kinase (lipid A 4'-kinase),Tetraacyldisaccharide 4'-kinase,tetraacyldisaccharide 4'-kinase,tetraacyldisaccharide 4'-kinase,Tetraacyldisaccharide-1-P 4'-kinase
