ERS227112_00015	ICORN_RH20207_annotate_bacteria_00015
NCTC13441_00640	Bifunctional protein hldE,bifunctional heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase,ADP-heptose synthase, bifunctional sugar kinase/adenylyltransferase,bifunctional protein RfaE, domain I,pfkB family carbohydrate kinase
CS17_02815	NifU-like protein,NifU-like protein,scaffold protein,FeS cluster assembly scaffold IscU,NifU-like N terminal domain
ETEC_0955	ABC transporter, ATP-binding/permease protein
NCTC13441_03364	hypothetical protein,hypothetical protein,Uncharacterized conserved protein,Protein of unknown function (DUF493)
BN373_44621	alternative sigma factor RpoH
SEN2667	carbon storage regulator
BN373_13051	oxoglutarate dehydrogenase (succinyl-transferring), E1 component
ROD_24731	iron-sulfur cluster assembly protein
BN373_04401	primosomal protein 1
ENC_31470	2-octaprenyl-6-methoxyphenol hydroxylase /2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase
t2136	cytochrome d ubiquinol oxidase subunit I
ERS227112_03180	ICORN_RH20207_annotate_bacteria_03180
SL3261_4089	50S ribosomal subunit protein L1
SEN3120	ribosome-binding factor A (P15B protein)
STMMW_31671	dihydroneopterin aldolase
STM_MW07971	cytochrome d ubiquinol oxidase subunit I
t3954	RNA polymerase sigma-32 factor
ROD_09511	transport ATP-binding protein CydD
BN373_49331	diaminopimelate epimerase
CS17_00169	MTA/SAH nucleosidase,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,MTA/SAH nucleosidase,Phosphorylase superfamily
ROD_17281	Cys regulon transcriptional activator
ROD_32552	primosomal replication protein N
ERS227112_02724	ICORN_RH20207_annotate_bacteria_02724
SEN3177	30S ribosomal subunit protein S9
ENC_44800	primosomal protein I
SEN0686	2-oxoglutarate dehydrogenase E1 component
SL1344_4475	primosomal protein I
NCTC13441_00913	Thymidylate synthase,thymidylate synthase,thymidylate synthase,Thymidylate synthase
ETEC_3442	dihydropteroate synthase
STMMW_02081	GSA-AT
BN373_04961	chaperone protein DnaK
NCTC13441_02491	Cys regulon transcriptional activator,transcriptional regulator CysB,aminoethylphosphonate catabolism associated LysR family transcriptional regulator,LysR substrate binding domain
STM_MW43351	30s ribosomal protein S6
BN373_42371	dihydropteroate synthase
SL3261_0012	Chaperone protein dnaK
NCTC13441_02781	Adenylosuccinate lyase,adenylosuccinate lyase,Adenylosuccinate lyase,adenylosuccinate lyase,Lyase
t1169	glyceraldehyde 3-phosphate dehydrogenase A
STMMW_36891	protein-export protein SecB
NCTC13441_02972	hypothetical protein,hypothetical protein,Trm112p-like protein
ERS227112_03878	ICORN_RH20207_annotate_bacteria_03878
SEN3128	dihydropteroate synthase
CS17_00949	ABC transporter ATP-binding protein/permease,ATP-binding/permease protein CydD,cysteine/glutathione ABC transporter membrane/ATP-binding component,ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain,thiol reductant ABC exporter, CydD subunit,ABC transporter transmembrane region
SL1344_0203	Glutamate-1-semialdehyde 2,1-aminomutase
ENC_25430	sulfur relay protein TusC/DsrF
SL3261_0367	delta-aminolevulinic acid dehydratase
BN373_05761	cell division protein FtsL
STMMW_38881	ATP-dependent DNA helicase
CS17_02044	Lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase,Lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase,lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase,Lauroyl/myristoyl acyltransferase,lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase,Bacterial lipid A biosynthesis acyltransferase
CS17_00164	glutamate-1-semialdehyde 2,1-aminomutase,Glutamate-1-semialdehyde 2,1-aminomutase,glutamate-1-semialdehyde aminotransferase,Glutamate-1-semialdehyde aminotransferase,glutamate-1-semialdehyde-2,1-aminomutase,Aminotransferase class-III
SL1344_0660	hypothetical monooxygenase
CS17_00452	geranyltranstransferase,Farnesyl diphosphate synthase,geranyltranstransferase,Geranylgeranyl pyrophosphate synthase,heptaprenyl diphosphate synthase component II,Polyprenyl synthetase
ETEC_3863	ADP-heptose-LPS heptosyltransferase II
ENC_32900	D-alpha,beta-D-heptose 7-phosphate 1-kinase /D-beta-D-heptose 1-phosphate adenylyltransferase
t3818	export protein SecB
SL1344_1823	lipid A acyltransferase
ERS227112_01150	ICORN_RH20207_annotate_bacteria_01150
ERS227112_02146	ICORN_RH20207_annotate_bacteria_02146
CS17_02838	serine hydroxymethyltransferase,Pyridoxal-phosphate-dependent serine hydroxymethyltransferase,serine hydroxymethyltransferase,7-keto-8-aminopelargonate synthetase and related enzymes,8-amino-7-oxononanoate synthase,Serine hydroxymethyltransferase
ENC_20780	Uncharacterized conserved protein
ENC_22240	Peptidyl-prolyl cis-trans isomerase (rotamase)-cyclophilin family
ERS227112_00857	ICORN_RH20207_annotate_bacteria_00857
ERS227112_03815	ICORN_RH20207_annotate_bacteria_03815
NCTC13441_03308	Ferric uptake regulation protein,ferric uptake regulator,Ferric uptake regulator family
SEN2186	GTP cyclohydrolase I
t3809	ADP-L-Glycero-D-mannoheptose-6-epimerase
CS17_01332	adenylosuccinate lyase,Adenylosuccinate lyase,adenylosuccinate lyase,Adenylosuccinate lyase,adenylosuccinate lyase,Lyase
ROD_48611	primosomal protein I
SL1344_3533	RNA polymerase sigma-32 factor
BN373_06701	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
ROD_07271	cytochrome d ubiquinol oxidase subunit 1
SEN3953	uroporphyrinogen decarboxylase
ENC_02260	glycerol 3-phosphate dehydrogenase (NAD(P)+)
t1947	conserved hypothetical protein
BN373_17561	adenylosuccinate lyase
ETEC_3850	serine acetyltransferase
ERS227112_03609	ICORN_RH20207_annotate_bacteria_03609
ROD_24201	succinyl-diaminopimelate desuccinylase
SL1344_4174	LexA repressor
STMMW_12481	isocitrate dehydrogenase
CS17_00634	lipoyl synthase LipA,Lipoyl synthase,lipoyl synthase,lipoyl synthase,Radical SAM superfamily
STMMW_25071	DHDPS
STMMW_06051	cysteinyl-tRNA synthetase
t2630	16S rRNA processing protein
t2182	ferric uptake regulation protein
BN373_06651	MTA/SAH nucleosidase
t1946	3-deoxy-manno-octulosonate cytidylyltransferase
SEN0158	dihydrolipoamide dehydrogenase
CS17_01334	tRNA-specific 2-thiouridylase MnmA,tRNA-specific 2-thiouridylase mnmA,tRNA-specific 2-thiouridylase MnmA,Predicted ATPase of the PP-loop superfamily implicated in cell cycle control,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase,tRNA methyl transferase
BN373_06811	RIP metalloprotease RseP
ENC_01780	ubiquinone/menaquinone biosynthesis methyltransferases
SL1344_2504	NifU-like protein
STMMW_31701	30S ribosomal subunit protein S21
BN373_44711	sulfurtransferase TusA
t2975	2-octaprenyl-6-methoxyphenol hydroxylase
STMMW_00651	dihydrodipicolinate reductase
ETEC_0155	MTA/SAH nucleosidase (5'-methylthioadenosine nucleosidase)
t1688	adenylosuccinate lyase
STM_MW36871	serine acetyltransferase
STMMW_25591	NifU-like protein
SL3261_3183	30S ribosomal subunit protein S21
SEN0122	cell division protein FtsL
ETEC_1255	adenylosuccinate lyase
SL3261_0675	ferric uptake regulation protein
SL1344_1170	adenylosuccinate lyase
ERS227112_02456	ICORN_RH20207_annotate_bacteria_02456
BN373_46061	lipopolysaccharide heptosyltransferase I
ETEC_0161	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase
CS17_00125	dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,pyruvate dehydrogenase dihydrolipoyltransacetylase,Acetyl/propionyl-CoA carboxylase, alpha subunit,dihydrolipoyllysine-residue acetyltransferase,2-oxoacid dehydrogenases acyltransferase (catalytic domain)
ETEC_3707	RNA polymerase sigma-32 factor
BN373_35191	cysteine desulfurase IscS
NCTC13441_01026	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Uncharacterized protein family UPF0007
STM_MW23781	putative decarboxylase
ERS227112_00968	ICORN_RH20207_annotate_bacteria_00968
t1729	50S ribosomal protein L32
SL3261_0723	cytochrome d ubiquinol oxidase subunit II
SL1344_3179	dihydroneopterin aldolase
ENC_45560	dihydrodipicolinate reductase
SL1344_0657	conserved hypothetical protein
BN373_42591	conserved hypothetical protein
ERS227112_00616	ICORN_RH20207_annotate_bacteria_00616
SL3261_4106	uroporphyrinogen decarboxylase
ROD_07241	dihydrolipoamide succinyltransferase component (E2)
SL3261_0224	hypothetical membrane protein
NCTC13441_02706	Cell division topological specificity factor,cell division topological specificity factor MinE,cell division topological specificity factor MinE,Septum formation topological specificity factor MinE
SEN2535	Serine hydroxymethyltransferase
STM_MW29621	thymidylate synthetase
STMMW_34421	conserved hypothetical protein
ETEC_2804	putative lipoprotein
SL3261_3667	protein-export protein SecB
ROD_25201	RNA polymerase sigma-E factor (sigma-24)
BN373_15601	conserved hypothetical protein
SL3261_4324	30s ribosomal protein S6
CS17_02883	outer membrane protein assembly complex subunit YfiO,hypothetical protein,outer membrane biogenesis protein BamD,DNA uptake lipoprotein,outer membrane assembly lipoprotein YfiO
STM_MW12481	isocitrate dehydrogenase
BN373_34231	glucose-specific phosphotransferase enzyme IIA component
ENC_14760	glyceraldehyde-3-phosphate dehydrogenase
ENC_23420	thiamine-phosphate kinase
STM_MW07011	conserved hypothetical protein
ETEC_4088	diaminopimelate epimerase
CS17_02485	ribonucleotide-diphosphate reductase subunit beta,Ribonucleoside-diphosphate reductase 1 subunit beta,ribonucleotide-diphosphate reductase subunit beta,Ribonucleotide reductase, beta subunit,ribonucleoside-diphosphate reductase, class 1b, beta subunit,Ribonucleotide reductase, small chain
ENC_34360	Uncharacterized protein conserved in bacteria
CS17_03765	tRNA 2-thiouridine synthesizing protein c,tRNA 2-thiouridine synthesizing protein C,sulfur relay protein TusC,Uncharacterized protein involved in the oxidation of intracellular sulfur,sulfur relay protein TusC/DsrF,DsrE/DsrF-like family
SEN0266	DNA polymerase III epsilon subunit
NCTC13441_01473	Ribonucleoside-diphosphate reductase 1 subunit beta,ribonucleotide-diphosphate reductase subunit beta,Ribonucleotide reductase, beta subunit,ribonucleoside-diphosphate reductase, class 1b, beta subunit,Ribonucleotide reductase, small chain
ROD_18961	lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase
STM_MW04421	delta-aminolevulinic acid dehydratase
SL3261_2170	GTP cyclohydrolase I
STMMW_07011	conserved hypothetical protein
SL1344_3416	conserved hypothetical protein
ENC_34510	DNA polymerase III, chi subunit
BN373_05241	dihydrodipicolinate reductase
t1686	tRNA (5-methylaminomethyl-2-thiouridylate) methyltransferase
STMMW_06041	peptidyl-prolyl cis-trans isomerase B
SL1344_2247	ribonucleoside-diphosphate reductase 1 beta chain
SEN0207	Glutamate-1-semialdehyde 2,1-aminomutase
ROD_30621	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
ERS227112_00758	ICORN_RH20207_annotate_bacteria_00758
ERS227112_03433	ICORN_RH20207_annotate_bacteria_03433
SL3261_3901	diaminopimelate epimerase
STMMW_07931	2-oxoglutarate dehydrogenase E1 component
t2540	phosphoheptose isomerase
t0203	glutamate-1-semialdehyde 2,1-aminomutase
SL1344_3316	30S ribosomal subunit protein S9
SL1344_1645	cys regulon transcriptional activator
CS17_00637	protein YbeD,hypothetical protein,hypothetical protein,Uncharacterized conserved protein,Protein of unknown function (DUF493)
ENC_30020	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
ERS227112_00989	ICORN_RH20207_annotate_bacteria_00989
ETEC_1354	TonB protein
SEN3048	dihydroneopterin aldolase
BN373_43231	peptide deformylase
STM_MW25021	succinyl-diaminopimelate desuccinylase
STM_MW00651	dihydrodipicolinate reductase
BN373_35181	FeS cluster assembly scaffold IscU
t4587	primosomal protein I
NCTC13441_03866	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,pyruvate dehydrogenase dihydrolipoyltransacetylase,Acetyl/propionyl-CoA carboxylase, alpha subunit,dihydrolipoyllysine-residue acetyltransferase,2-oxoacid dehydrogenases acyltransferase (catalytic domain)
BN373_27721	protein TonB
STMMW_34411	conserved hypothetical protein
ETEC_2322	50S ribosomal protein L25
NCTC13441_04312	hypothetical protein,chaperonin GroEL,chaperonin GroL,TCP-1/cpn60 chaperonin family
SL3261_0722	cytochrome d ubiquinol oxidase subunit I
ROD_39211	ubiquinone/menaquinone biosynthesis methyltransferase
SL1344_2446	succinyl-diaminopimelate desuccinylase
CS17_00083	cell division protein FtsL,Cell division protein FtsL,cell division protein FtsL,Cell division protein,cell division protein FtsL,Cell division protein FtsL
STMMW_12421	adenylosuccinate lyase
SEN0355	delta-aminolevulinic acid dehydratase
ENC_38970	3-octaprenyl-4hydroxybenzoate decarboxylase
CS17_03618	dihydropteroate synthase,Dihydropteroate synthase,dihydropteroate synthase,dihydropteroate synthase,Pterin binding enzyme
t0012	DnaK protein
SEN4157	30s ribosomal protein S6
ETEC_3594A	putative tRNA 2-thiouridine synthesising protein B
ROD_45351	polypeptide deformylase
STM_MW33991	polypeptide deformylase
ENC_20580	conserved hypothetical protein TIGR00043
NCTC13441_01081	Carbon storage regulator,carbon storage regulator,carbon storage regulator,Global regulator protein family
ETEC_3538	polypeptide deformylase
SEN4309	primosomal protein I
SL3261_3533	RNA polymerase sigma-32 factor
NCTC13441_04253	30S ribosomal protein S6,30S ribosomal protein S6,ribosomal protein S6,Ribosomal protein S6
SL1344_0417	geranyltranstransferase
ERS227112_02457	ICORN_RH20207_annotate_bacteria_02457
SEN3522	glycerol-3-phosphate dehydrogenase
NCTC13441_01556	GTP cyclohydrolase 1,GTP cyclohydrolase I,GTP cyclohydrolase I,GTP cyclohydrolase I,GTP cyclohydrolase I
STMMW_18081	cell division topological specificity factor
SL1344_2452	Dihydrodipicolinate synthase
NCTC13441_01250	Dihydrodipicolinate synthase,dihydrodipicolinate synthase,dihydrodipicolinate synthase,Dihydrodipicolinate synthetase family
SEN2900	2-octaprenyl-6-methoxyphenol hydroxylase
ROD_22811	GTP cyclohydrolase I
CS17_02403	GTP cyclohydrolase I FolE,GTP cyclohydrolase 1,GTP cyclohydrolase I,GTP cyclohydrolase I,GTP cyclohydrolase I,GTP cyclohydrolase I
STMMW_41031	50S ribosomal subunit protein L1
CS17_04057	glycerol-3-phosphate dehydrogenase,Glycerol-3-phosphate dehydrogenase [NAD(P) 
STM_MW12421	adenylosuccinate lyase
NCTC13441_04710	Diaminopimelate epimerase,diaminopimelate epimerase,Diaminopimelate epimerase,diaminopimelate epimerase,Diaminopimelate epimerase
ERS227112_03962	ICORN_RH20207_annotate_bacteria_03962
SEN0221	methionine aminopeptidase
SL1344_0530	cysteinyl-tRNA synthetase
ERS227112_03989	ICORN_RH20207_annotate_bacteria_03989
ROD_41971	ADP-heptose-LPS heptosyltransferase II
ROD_23561	ribonucleoside-diphosphate reductase 1 beta chain
STMMW_39181	diaminopimelate epimerase
ERS227112_01746	ICORN_RH20207_annotate_bacteria_01746
CS17_03890	sulfurtransferase (tRNA 2-thiouridine synthesizin protein A),Sulfurtransferase TusA,sulfur transfer protein SirA,Uncharacterized conserved protein,selenium metabolism protein YedF,SirA-like protein
STMMW_31611	ADP-heptose synthase
BN373_06091	dihydrolipoyllysine-residue acetyltransferase
ERS227112_01850	ICORN_RH20207_annotate_bacteria_01850
BN373_00381	LexA repressor
STMMW_39411	ubiquinone/menaquinone biosynthesis methyltransferase UbiE
NCTC13441_01207	NifU-like protein,scaffold protein,FeS cluster assembly scaffold IscU,NifU-like N terminal domain
SEN2414	pts system, glucose-specific IIA component
ENC_37240	cysteine desulfurase IscS
BN373_45941	NAD-dependent glycerol-3-phosphate dehydrogenase
CS17_02706	glucose-specific PTS system EIIA component,Glucose-specific phosphotransferase enzyme IIA component,PTS system glucose-specific transporter subunit,PTS system, glucose subfamily, IIA component,phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1
ROD_10311	sulfurtransferase (tRNA 2-thiouridine synthesizing protein E)
t3120	ADP-heptose synthase
SL1344_3417	conserved hypothetical protein
STMMW_12001	50S ribosomal protein L32
ERS227112_01323	ICORN_RH20207_annotate_bacteria_01323
t4443	primosomal replication protein N
ETEC_0656	lipoic acid synthetase
ETEC_3434	ribosome-binding factor A
SL1344_3666	glycerol-3-phosphate dehydrogenase
SL3261_0624	conserved hypothetical protein
ERS227112_03105	ICORN_RH20207_annotate_bacteria_03105
t1626	cys regulon transcriptional activator
ENC_39830	LSU ribosomal protein L25P
STMMW_07361	putative monooxygenase
STM_MW02291	putative membrane protein
t1682	isocitrate dehydrogenase
SL3261_1645	cys regulon transcriptional activator
SL3261_0259	DNA polymerase III epsilon subunit
ROD_01711	methionine aminopeptidase
CS17_02751	succinyl-diaminopimelate desuccinylase,Succinyl-diaminopimelate desuccinylase,succinyl-diaminopimelate desuccinylase,Metal-dependent amidase/aminoacylase/carboxypeptidase,succinyl-diaminopimelate desuccinylase,Peptidase family M20/M25/M40
BN373_43661	sulfur relay protein TusC/DsrF
SL1344_3543	conserved hypothetical protein
BN373_08621	geranyltranstransferase
BN373_15351	ABC transporter, CydDC cysteine exporter family, permease/ATP-binding protein CydD
CS17_01457	HTH-type transcriptional regulator CysB,Cys regulon transcriptional activator,transcriptional regulator CysB,aminoethylphosphonate catabolism associated LysR family transcriptional regulator,LysR substrate binding domain
SL3261_2504	NifU-like protein
ENC_46810	methylthioadenosine nucleosidase
SL1344_2325	hypothetical decarboxylase
ENC_46750	glutamate-1-semialdehyde 2,1-aminomutase
STM_MW02211	methionine aminopeptidase
ERS227112_04486	ICORN_RH20207_annotate_bacteria_04486
ROD_05581	cysteinyl-tRNA synthetase
SL1344_0065	dihydrodipicolinate reductase
SEN2522	NifU-like protein
SL3261_2201	50s ribosomal protein L25
SL3261_0718	2-oxoglutarate dehydrogenase E1 component
STMMW_27881	carbon storage regulator
ENC_29410	carbon storage regulator (csrA)
SL1344_2623	outer membrane protein assembly complex subunit yfiO
ERS227112_03126	ICORN_RH20207_annotate_bacteria_03126
t0586	ribonucleoside-diphosphate reductase 1 beta chain
ENC_20430	Fe2+/Zn2+ uptake regulation proteins
SL3261_0417	geranyltranstransferase
STM_MW41871	LexA repressor
NCTC13441_03562	Thiamine-monophosphate kinase,thiamine monophosphate kinase,Hydrogenase maturation factor,thiamine-monophosphate kinase,AIR synthase related protein, N-terminal domain
ROD_42081	glycerol-3-phosphate dehydrogenase
ROD_12211	adenylosuccinate lyase
SEN1114	lipid A acyltransferase
BN373_13111	cytochrome d ubiquinol oxidase, subunit II
STMMW_25721	SHMT
BN373_17011	ribosomal protein L32
CS17_04744	DNA polymerase III subunit chi,DNA polymerase III subunit chi,DNA polymerase III subunit chi,DNA polymerase III chi subunit, HolC
SL3261_4475	primosomal protein I
STMMW_18701	lipid A acyltransferase
SL3261_2517	serine hydroxymethyltransferase
SEN0065	dihydrodipicolinate reductase
STMMW_44221	DNA polymerase III, chi subunit
SEN3765	ubiquinone/menaquinone biosynthesis methyltransferase UbiE
CS17_02558	3-octaprenyl-4-hydroxybenzoate carboxy-lyase,Probable aromatic acid decarboxylase,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,3-polyprenyl-4-hydroxybenzoate decarboxylase,polyprenyl P-hydroxybenzoate and phenylacrylic acid decarboxylases,Flavoprotein
BN373_41091	bifunctional protein HldE
STMMW_26891	16S rRNA processing protein
STM_MW09991	3-deoxy-manno-octulosonate cytidylyltransferase
STMMW_01271	cell division protein FtsL
ERS227112_02009	ICORN_RH20207_annotate_bacteria_02009
SL1344_4406	DNA polymerase III, chi subunit
SL1344_3266	dihydropteroate synthase
STM_MW26791	putative lipoprotein
ERS227112_01712	ICORN_RH20207_annotate_bacteria_01712
ETEC_0985	conserved hypothetical protein
BN373_43471	30S ribosomal protein S17
CS17_03881	component of RNA polymerase,Heat shock regulatory protein F33.4,RNA polymerase factor sigma-32,alternative sigma factor RpoH,Sigma-70 region 2
CS17_03482	bifunctional protein HldE [includes: D-beta-D-heptose 7-phosphate kinase; D-beta-D-heptose 1-phosphate adenosyltransferase
SL3261_0153	dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase
ROD_43471	sulfurtransferase (tRNA 2-thiouridine synthesizin protein A)
SL1344_4044	primosomal protein replication factor
SL3261_1172	Probable tRNA
BN373_34641	succinyl-diaminopimelate desuccinylase
NCTC13441_03756	Phosphoheptose isomerase,phosphoheptose isomerase,Uncharacterized protein containing SIS (Sugar ISomerase) phosphosugar binding domain,phosphoheptose isomerase,SIS domain
NCTC13441_01301	Glucose-specific phosphotransferase enzyme IIA component,PTS system glucose-specific transporter subunit,PTS system, glucose subfamily, IIA component,phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1
SL3261_1024	hypothetical protein in helD-serT intergenic region
ERS227112_00614	ICORN_RH20207_annotate_bacteria_00614
SL1344_0214	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase
NCTC13441_01190	Pyridoxal-phosphate-dependent serine hydroxymethyltransferase,serine hydroxymethyltransferase,7-keto-8-aminopelargonate synthetase and related enzymes,8-amino-7-oxononanoate synthase,Serine hydroxymethyltransferase
ETEC_0247	phosphoheptose isomerase
STMMW_37001	ADP-heptose-LPS heptosyltransferase II
SL3261_0719	dihydrolipoamide succinyltransferase component (E2)
SL3261_3924	ubiquinone/menaquinone biosynthesis methyltransferase UbiE
STMMW_01601	dihydrolipoamide dehydrogenase
ETEC_0687	conserved hypothetical protein
ROD_18401	Cell division topological specificity factor
ROD_07231	2-oxoglutarate dehydrogenase E1 component
ERS227112_03665	ICORN_RH20207_annotate_bacteria_03665
ETEC_1260	isocitrate dehydrogenase [NADP
STMMW_02631	DNA polymerase III epsilon subunit
SEN3277	conserved hypothetical protein
SL3261_4406	DNA polymerase III, chi subunit
NCTC13441_03902	Cell division protein FtsL,cell division protein FtsL,Cell division protein,cell division protein FtsL,Cell division protein FtsL
CS17_01966	glyceraldehyde 3-phosphate dehydrogenase A,Glyceraldehyde-3-phosphate dehydrogenase A,glyceraldehyde-3-phosphate dehydrogenase A,Transketolase,glyceraldehyde-3-phosphate dehydrogenase, type I,Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain
ETEC_4204	primosomal protein replication factor
STM_MW00111	DnaK protein (heat shock protein 70)
t3944	conserved hypothetical protein
ROD_06751	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase
CS17_04391	primosome assembly protein PriA,Primosomal protein N',primosome assembly protein PriA,ATP-dependent protease HslVU (ClpYQ), peptidase subunit,primosomal protein N',DEAD/DEAH box helicase
SEN2586	putative lipoprotein
CS17_03264	2-octaprenyl-6-methoxyphenol hydroxylase,2-octaprenyl-6-methoxyphenol hydroxylase,2-octaprenyl-6-methoxyphenyl hydroxylase,2-polyprenyl-6-methoxyphenol 4-hydroxylase,FAD binding domain
STMMW_01591	dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase
NCTC13441_00230	Sulfurtransferase TusA,sulfur transfer protein SirA,Uncharacterized conserved protein,selenium metabolism protein YedF,SirA-like protein
ETEC_2447	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
SL3261_0208	MTA/SAH nucleosidase
STM_MW33161	possible exported protein
