CS17_00008	transaldolase B,Transaldolase,transaldolase B,Transaldolase,transaldolase,Transaldolase
NCTC13441_02794	Lipoprotein-releasing system transmembrane protein lolE,outer membrane-specific lipoprotein transporter subunit LolE,lipoprotein releasing system, transmembrane protein LolE,FtsX-like permease family
NCTC13441_02795	Lipoprotein-releasing system ATP-binding protein LolD,lipoprotein transporter ATP-binding subunit,Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, ATPase component,lipoprotein releasing system, ATP-binding protein,ABC transporter
NCTC13441_02796	Lipoprotein-releasing system transmembrane protein lolC,outer membrane-specific lipoprotein transporter subunit LolC,lipoprotein releasing system, transmembrane protein, LolC/E family,FtsX-like permease family
NCTC13441_02800	Multiple stress resistance protein BhsA precursor,hypothetical protein,Protein of unknown function (DUF1471)
NCTC13441_02804	hypothetical protein,Predicted esterase,Uncharacterised protein family (UPF0227)
NCTC13441_02813	DNA polymerase III subunit delta',DNA polymerase III subunit delta',DNA polymerase III, delta' subunit,DNA polymerase III, delta subunit, C terminal
NCTC13441_02814	Thymidylate kinase,thymidylate kinase,thymidylate kinase,Thymidylate kinase
NCTC13441_02818	Fatty acid synthase acyl carrier protein,acyl carrier protein,Acyl carrier protein,acyl carrier protein,Phosphopantetheine attachment site
NCTC13441_02819	3-oxoacyl-[acyl-carrier-protein
NCTC13441_02820	Malonyl CoA-acyl carrier protein transacylase,(acyl-carrier-protein) S-malonyltransferase,malonyl CoA-acyl carrier protein transacylase,Acyl transferase domain
NCTC13441_02821	3-oxoacyl-[acyl-carrier-protein
NCTC13441_02828	Ribonuclease E,ribonuclease E,Ribonucleases G and E,ribonuclease, Rne/Rng family,Ribonuclease E/G family
NCTC13441_02841	Anti-sigma-28 factor,anti-sigma28 factor FlgM,flagellar biosynthesis anti-sigma factor FlgM,Anti-sigma-28 factor, FlgM
NCTC13441_02843	Probable peptidoglycan biosynthesis protein MurJ,integral membrane protein MviN,MviN-like protein
NCTC13441_02846	Putative ribosomal N-acetyltransferase YdaF,ribosomal-protein-S5-alanine N-acetyltransferase,pseudaminic acid biosynthesis N-acetyl transferase,Acetyltransferase (GNAT) family
NCTC13441_02852	biofilm formation regulatory protein BssS
NCTC13441_02855	Cytochrome b561 homolog 2,cytochrome b561,Uncharacterized conserved protein,Cytochrome b(N-terminal)/b6/petB
NCTC13441_02856	hypothetical protein,hypothetical protein,Uncharacterized conserved protein,YceI-like domain
NCTC13441_02858	Lipid A biosynthesis lauroyl acyltransferase,lipid A biosynthesis lauroyl acyltransferase,Lauroyl/myristoyl acyltransferase,lipid A biosynthesis lauroyl (or palmitoleoyl) acyltransferase,Bacterial lipid A biosynthesis acyltransferase
NCTC13441_02860	secY/secA suppressor protein
NCTC13441_02864	Glucans biosynthesis protein C,glucans biosynthesis protein,Uncharacterized protein conserved in bacteria,Acyltransferase family
NCTC13441_02867	hypothetical protein
NCTC13441_02868	Curli assembly protein CsgC precursor,curli assembly protein CsgC,Thin aggregative fimbriae synthesis protein
NCTC13441_02869	Major curlin subunit precursor,major curlin subunit,Curlin associated repeat
NCTC13441_02870	Fimbrin SEF17 minor subunit,curlin minor subunit CsgB,Curlin associated repeat
NCTC13441_02871	CsgBAC operon transcriptional regulatory protein,DNA-binding transcriptional regulator CsgD,ATP-dependent transcriptional regulator,transcriptional regulator EpsA,Bacterial regulatory proteins, luxR family
NCTC13441_02872	curli assembly protein CsgE,Curli assembly protein CsgE
NCTC13441_02873	curli assembly protein CsgF,Curli production assembly/transport component CsgF
NCTC13441_02874	curli production assembly/transport protein CsgG,Curli production assembly/transport component CsgG
NCTC13441_02880	hypothetical protein
NCTC13441_02882	Poly-beta-1,6-N-acetyl-D-glucosamine export protein precursor,outer membrane protein PgaA,Flp pilus assembly protein TadD, contains TPR repeats,poly-beta-1,6 N-acetyl-D-glucosamine export porin PgaA
NCTC13441_02883	Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase precursor,outer membrane N-deacetylase,poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase PgaB,Polysaccharide deacetylase
NCTC13441_02884	Poly-beta-1,6-N-acetyl-D-glucosamine synthase,N-glycosyltransferase,Predicted glycosyl hydrolase,poly-beta-1,6 N-acetyl-D-glucosamine synthase,Glycosyl transferase family 2
NCTC13441_02885	Biofilm PGA synthesis protein PgaD,putative PGA biosynthesis protein,poly-beta-1,6-N-acetyl-D-glucosamine biosynthesis protein PgaD
NCTC13441_02913	GnsA/GnsB family
NCTC13441_02916	hypothetical protein,hypothetical protein,Membrane bound YbgT-like protein
NCTC13441_02927	Sulfurtransferase TusE,sulfur transfer protein TusE,sulfur relay protein, TusE/DsrC/DsvC family,DsrC like protein
NCTC13441_02942	3-hydroxydecanoyl-[acyl-carrier-protein
NCTC13441_02950	Z-ring-associated protein C,Protein of unknown function (DUF1379)
NCTC13441_02951	Dihydroorotate dehydrogenase (quinone),dihydroorotate dehydrogenase 2,Dihydroorotate dehydrogenase,dihydroorotate dehydrogenase (fumarate),Dihydroorotate dehydrogenase
NCTC13441_02959	Asparagine--tRNA ligase,asparaginyl-tRNA synthetase,Aspartyl/asparaginyl-tRNA synthetases,asparagine--tRNA ligase,tRNA synthetases class II (D, K and N)
NCTC13441_02965	Structural maintenance of chromosome-related protein,cell division protein MukB,Uncharacterized protein involved in chromosome partitioning,MukB N-terminal
NCTC13441_02966	hypothetical protein,condesin subunit E,Uncharacterized protein involved in chromosome partitioning,MukE-like family
NCTC13441_02967	hypothetical protein,condesin subunit F,KicB killing factor
NCTC13441_02972	hypothetical protein,hypothetical protein,Trm112p-like protein
NCTC13441_02974	Tetraacyldisaccharide 4'-kinase,tetraacyldisaccharide 4'-kinase,tetraacyldisaccharide 4'-kinase,Tetraacyldisaccharide-1-P 4'-kinase
NCTC13441_02975	Lipid A export ATP-binding/permease protein MsbA,lipid transporter ATP-binding/permease protein,ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain,lipid A export permease/ATP-binding protein MsbA,ABC transporter transmembrane region
NCTC13441_02978	30S ribosomal protein S1,30S ribosomal protein S1,Cytidylate kinase,ribosomal protein S1,S1 RNA binding domain
NCTC13441_02979	Cytidylate kinase,cytidylate kinase,Cytidylate kinase,cytidylate kinase,Cytidylate kinase
NCTC13441_02980	Uncharacterized metalloprotease yggG,heat shock protein HtpX,Putative Zn-dependent protease, contains TPR repeats,Peptidase family M48
NCTC13441_02983	hypothetical protein
NCTC13441_02984	hypothetical protein
NCTC13441_02986	hypothetical protein
NCTC13441_02988	hypothetical protein
NCTC13441_02989	hypothetical protein
NCTC13441_02990	Mu-like prophage host-nuclease inhibitor protein Gam,Bacteriophage Mu Gam like protein
NCTC13441_02998	HTH-type transcriptional regulator immR,transcriptional repressor DicA,Predicted transcriptional regulator,transcriptional regulator, y4mF family,Helix-turn-helix
NCTC13441_02999	Modification methylase DpnIIA,DNA adenine methylase,Site-specific DNA methylase,DNA adenine methylase,D12 class N6 adenine-specific DNA methyltransferase
NCTC13441_03000	hypothetical protein
NCTC13441_03004	membrane-bound lytic transglycosylase F,Transglycosylase SLT domain
NCTC13441_03006	hypothetical protein
NCTC13441_03010	Mu-like prophage protein gp29,Protein of unknown function (DUF935)
NCTC13441_03012	Mu-like prophage protein gpG,phage virion morphogenesis protein,Phage virion morphogenesis family
NCTC13441_03016	Mu-like prophage protein gp36,Protein of unknown function (DUF1320)
NCTC13441_03017	Gp37 protein
NCTC13441_03019	Phage tail sheath protein
NCTC13441_03025	Phage Tail Protein X
NCTC13441_03029	Uncharacterized homolog of phage Mu protein gp47,conserved hypothetical protein,Baseplate J-like protein
NCTC13441_03032	Bacteriophage tail assembly protein,Caudovirales tail fibre assembly protein
NCTC13441_03048	transcriptional regulator, y4mF family,Helix-turn-helix
NCTC13441_03050	hypothetical protein
NCTC13441_03051	hypothetical protein
NCTC13441_03052	hypothetical protein
NCTC13441_03053	hypothetical protein
NCTC13441_03054	hypothetical protein
NCTC13441_03056	hypothetical protein
NCTC13441_03066	Plasmid stability protein
NCTC13441_03067	hypothetical protein
NCTC13441_03068	hypothetical protein
NCTC13441_03069	hypothetical protein
NCTC13441_03088	Caudovirales tail fibre assembly protein
NCTC13441_03089	Caudovirales tail fibre assembly protein
NCTC13441_03090	hypothetical protein
NCTC13441_03100	Serine--tRNA ligase,seryl-tRNA synthetase,Prolyl-tRNA synthetase,serine--tRNA ligase,tRNA synthetase class II core domain (G, H, P, S and T)
NCTC13441_03102	P20,lipoprotein chaperone,Outer membrane lipoprotein-sorting protein,outer membrane lipoprotein carrier protein LolA,Outer membrane lipoprotein carrier protein LolA
NCTC13441_03103	DNA translocase FtsK,DNA translocase FtsK,DNA segregation ATPase FtsK/SpoIIIE and related proteins,type VII secretion protein EssC,FtsK/SpoIIIE family
NCTC13441_03106	ATP-binding/permease protein CydD,cysteine/glutathione ABC transporter membrane/ATP-binding component,ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain,thiol reductant ABC exporter, CydD subunit,ABC transporter transmembrane region
NCTC13441_03107	Lipid A export ATP-binding/permease protein MsbA,cysteine/glutathione ABC transporter membrane/ATP-binding component,ABC-type transport system involved in cytochrome bd biosynthesis, fused ATPase and permease components,thiol reductant ABC exporter, CydC subunit,ABC transporter
NCTC13441_03109	Translation initiation factor IF-1,translation initiation factor IF-1,translation initiation factor IF-1,Translation initiation factor 1A / IF-1
NCTC13441_03145	Glutaredoxin-1,glutaredoxin 1,glutaredoxin, GrxA family,Glutaredoxin
NCTC13441_03161	Diguanylate cyclase YdeH,diguanylate cyclase,Response regulator containing a CheY-like receiver domain and a GGDEF domain,diguanylate cyclase (GGDEF) domain,GGDEF domain
NCTC13441_03162	Putative cyclic di-GMP phosphodiesterase YliE,RNase II stability modulator,Predicted signal transduction protein containing sensor and EAL domains,EAL domain
NCTC13441_03208	Inner membrane protein YbhL,Inhibitor of apoptosis-promoting Bax1
NCTC13441_03224	Inner membrane protein ybhI,transporter, divalent anion:Na+ symporter (DASS) family,Sodium:sulfate symporter transmembrane region
NCTC13441_03225	3-methylitaconate isomerase,probable AcnD-accessory protein PrpF,PrpF protein
NCTC13441_03226	Morphology and auto-aggregation control protein,DNA-binding transcriptional regulator CynR,aminoethylphosphonate catabolism associated LysR family transcriptional regulator,LysR substrate binding domain
NCTC13441_03232	Uncharacterized membrane protein ybhT,Protein of unknown function (DUF2592)
NCTC13441_03255	hypothetical protein,cell envelope integrity inner membrane protein TolA,Membrane protein involved in colicin uptake,protein TolA,TolA C-terminal
NCTC13441_03257	hypothetical protein,colicin uptake protein TolQ,Uncharacterized conserved protein,protein TolQ,MotA/TolQ/ExbB proton channel family
NCTC13441_03260	hypothetical protein,Predicted outer membrane lipoprotein,cyd operon protein YbgT,Membrane bound YbgT-like protein
NCTC13441_03261	Cytochrome d ubiquinol oxidase subunit 2,cytochrome d ubiquinol oxidase subunit 2,cytochrome d ubiquinol oxidase, subunit II,Cytochrome oxidase subunit II
NCTC13441_03262	Cytochrome d ubiquinol oxidase subunit 1,cytochrome d terminal oxidase subunit 1,Bacterial Cytochrome Ubiquinol Oxidase
NCTC13441_03263	Predicted O-linked N-acetylglucosamine transferase, SPINDLY family,Tetratricopeptide repeat
NCTC13441_03264	Mannosylglycerate hydrolase,alpha-mannosidase,Alpha-mannosidase,Glycosyl hydrolases family 38 N-terminal domain
NCTC13441_03270	2-oxoglutarate dehydrogenase E1 component,2-oxoglutarate dehydrogenase E1 component,oxoglutarate dehydrogenase (succinyl-transferring), E1 component,Transketolase, pyrimidine binding domain
NCTC13441_03277	Neu5Ac permease,L-dehydroascorbate transporter large permease subunit,TRAP-type C4-dicarboxylate transport system, small permease component,TRAP transporter, DctM subunit,DctM-like transporters
NCTC13441_03278	2,3-diketo-L-gulonate TRAP transporter small permease protein yiaM,2,3-diketo-L-gulonate TRAP transporter small permease protein YiaM,TRAP-type C4-dicarboxylate transport system, small permease component,Tripartite ATP-independent periplasmic transporters, DctQ component
NCTC13441_03279	Neu5Ac-binding protein,TRAP-type mannitol/chloroaromatic compound transport system, periplasmic component,TRAP transporter solute receptor, DctP family,Bacterial extracellular solute-binding protein, family 7
NCTC13441_03280	D-galactarate dehydratase,galactarate dehydratase,D-galactarate dehydratase / Altronate hydrolase, C terminus
NCTC13441_03303	Phosphoglucomutase,phosphoglucomutase,phosphoglucomutase, alpha-D-glucose phosphate-specific,Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I
NCTC13441_03307	Flavodoxin-1,flavodoxin FldA,Flavodoxin,flavodoxin,Flavodoxin
NCTC13441_03308	Ferric uptake regulation protein,ferric uptake regulator,Ferric uptake regulator family
NCTC13441_03311	Glutamine--tRNA ligase,glutaminyl-tRNA synthetase,Glutamyl- and glutaminyl-tRNA synthetases,glutamine--tRNA ligase,tRNA synthetases class I (E and Q), catalytic domain
NCTC13441_03317	hypothetical protein,integral membrane protein, YkoY family,Integral membrane protein TerC family
NCTC13441_03335	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase,2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase,Uncharacterized conserved protein,ubiquinone biosynthesis hydroxylase, UbiH/UbiF/VisC/COQ6 family,FAD binding domain
NCTC13441_03338	Probable rRNA maturation factor YbeY,metal-binding heat shock protein,metalloprotein, YbeY/UPF0054 family,Uncharacterized protein family UPF0054
NCTC13441_03340	Apolipoprotein N-acyltransferase,apolipoprotein N-acyltransferase,apolipoprotein N-acyltransferase,Carbon-nitrogen hydrolase
NCTC13441_03347	Hsc62,molecular chaperone DnaK,Ethanolamine utilization protein, possible chaperonin,Fe-S protein assembly chaperone HscA,Hsp70 protein
NCTC13441_03349	Protein of unknown function (DUF1266)
NCTC13441_03350	Polar organelle development protein,3-carboxymuconate cyclase,Sel1 repeat
NCTC13441_03351	Sel1 repeat
NCTC13441_03353	Leucine--tRNA ligase,leucyl-tRNA synthetase,Leucyl-tRNA synthetase,leucine--tRNA ligase,tRNA synthetases class I (I, L, M and V)
NCTC13441_03354	Rare lipoprotein B,LPS-assembly lipoprotein RlpB,Lipopolysaccharide-assembly
NCTC13441_03355	DNA polymerase III subunit delta,DNA polymerase III subunit delta,DNA polymerase III, delta subunit,DNA polymerase III, delta subunit
NCTC13441_03356	Nicotinate-nucleotide adenylyltransferase,nicotinic acid mononucleotide adenylyltransferase,nicotinate (nicotinamide) nucleotide adenylyltransferase,Cytidylyltransferase
NCTC13441_03360	Peptidoglycan synthase FtsI precursor,penicillin-binding protein 2,Membrane carboxypeptidase/penicillin-binding protein,penicillin-binding protein 2,Penicillin binding protein transpeptidase domain
NCTC13441_03361	Rod shape-determining protein RodA,cell wall shape-determining protein,rod shape-determining protein RodA,Cell cycle protein
NCTC13441_03366	HTH-type transcriptional regulator LeuO,putative DNA-binding transcriptional regulator
NCTC13441_03367	Lipoyl synthase,lipoyl synthase,lipoyl synthase,Radical SAM superfamily
NCTC13441_03372	Lipid A palmitoyltransferase PagP precursor,phospholipid:lipid A palmitoyltransferase,Antimicrobial peptide resistance and lipid A acylation protein PagP
NCTC13441_03374	Destabilizer of plasmid inheritance,two-component response regulator DpiA,Response regulator of citrate/malate metabolism,phosphate regulon transcriptional regulatory protein PhoB,Response regulator receiver domain
NCTC13441_03376	[Citrate [pro-3S
NCTC13441_03386	hypothetical protein
NCTC13441_03396	Uncharacterized small protein,Protein of unknown function (DUF466)
NCTC13441_03408	Ferric enterobactin transport protein fepE,LPS O-antigen length regulator,Chain length determinant protein
NCTC13441_03418	D-ribose-binding periplasmic protein precursor,D-ribose transporter subunit RbsB,ABC-type sugar transport system, periplasmic component,rhamnose ABC transporter, rhamnose-binding protein,Periplasmic binding proteins and sugar binding domain of LacI family
NCTC13441_03419	Predicted periplasmic lipoprotein,Predicted periplasmic lipoprotein (DUF2291)
NCTC13441_03430	Miniconductance mechanosensitive channel,Mechanosensitive ion channel
NCTC13441_03433	Cation efflux system protein CusB precursor,copper/silver efflux system membrane fusion protein CusB,efflux transporter, RND family, MFP subunit,HlyD family secretion protein
NCTC13441_03434	Cation efflux system protein CusF precursor,periplasmic copper-binding protein,Uncharacterized conserved protein,Copper binding periplasmic protein CusF
NCTC13441_03435	Cation efflux system protein CusC precursor,copper/silver efflux system outer membrane protein CusC,efflux transporter, outer membrane factor (OMF) lipoprotein, NodT family,Outer membrane efflux protein
NCTC13441_03441	Protease 7 precursor,outer membrane protease,Outer membrane protease,Omptin family
NCTC13441_03442	Methyltransferase domain
NCTC13441_03446	Bifunctional protein FolD,bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase,Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain
NCTC13441_03449	Cysteine--tRNA ligase,cysteinyl-tRNA synthetase,Cysteinyl-tRNA synthetase,cysteine--tRNA ligase,tRNA synthetases class I (C) catalytic domain
NCTC13441_03450	Peptidyl-prolyl cis-trans isomerase B,peptidyl-prolyl cis-trans isomerase B (rotamase B),Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
NCTC13441_03451	UDP-2,3-diacylglucosamine hydrolase,UDP-2,3-diacylglucosamine hydrolase,Uncharacterized protein conserved in bacteria,UDP-2,3-diacylglucosamine hydrolase,Calcineurin-like phosphoesterase superfamily domain
NCTC13441_03452	hypothetical protein
NCTC13441_03459	Ureidoglycolate dehydrogenase,ureidoglycolate dehydrogenase,Malate/L-lactate dehydrogenases,ureidoglycolate dehydrogenase,Malate/L-lactate dehydrogenase
NCTC13441_03460	Allantoate amidohydrolase,allantoate amidohydrolase,Uncharacterized protein conserved in bacteria,allantoate amidohydrolase,Peptidase family M20/M25/M40
NCTC13441_03461	hypothetical protein,hypothetical protein,Uncharacterized conserved protein, contains double-stranded beta-helix domain,putative allantoin catabolism protein,Cupin domain
NCTC13441_03464	Putative purine permease ybbY,putative uracil/xanthine transporter,xanthine permease,Permease family
NCTC13441_03466	Allantoin transport protein,allantoin permease,NCS1 nucleoside transporter family,Permease for cytosine/purines, uracil, thiamine, allantoin
NCTC13441_03467	2-hydroxy-3-oxopropionate reductase,tartronate semialdehyde reductase,Uncharacterized protein conserved in bacteria,2-hydroxy-3-oxopropionate reductase,NAD binding domain of 6-phosphogluconate dehydrogenase
NCTC13441_03468	Hydroxypyruvate isomerase,hydroxypyruvate isomerase,Hydroxypyruvate isomerase,hydroxypyruvate isomerase,Xylose isomerase-like TIM barrel
NCTC13441_03474	Protein of unknown function (DUF2931)
NCTC13441_03475	Protein of unknown function (DUF2931)
NCTC13441_03483	hypothetical protein,ABC-type uncharacterized transport system, permease component,conserved hypothetical protein,Uncharacterised protein family (UPF0014)
NCTC13441_03484	Uncharacterized ABC transporter ATP-binding protein YbbL,putative ABC transporter ATP-binding protein YbbL,ABC-type spermidine/putrescine transport systems, ATPase components,thiol reductant ABC exporter, CydD subunit,ABC transporter
NCTC13441_03492	Uncharacterized HTH-type transcriptional regulator ybaQ,Plasmid maintenance system antidote protein,addiction module antidote protein, HigA family,Helix-turn-helix
NCTC13441_03496	hypothetical protein
NCTC13441_03497	hypothetical protein
NCTC13441_03503	Ferrochelatase,ferrochelatase,Protoheme ferro-lyase (ferrochelatase),ferrochelatase,Ferrochelatase
NCTC13441_03504	Adenylate kinase,adenylate kinase,adenylate kinase,Adenylate kinase
NCTC13441_03512	hypothetical protein,Protein of unknown function (DUF2496)
NCTC13441_03514	Potential acrAB operon repressor,DNA-binding transcriptional repressor AcrR,mycofactocin system transcriptional regulator,MAATS-type transcriptional repressor, C-terminal region
NCTC13441_03517	Toxin overexpression modulator in biofilms,Hha toxicity attenuator,Biofilm formation regulator YbaJ
NCTC13441_03519	Maltose O-acetyltransferase,maltose O-acetyltransferase,Acetyltransferase (isoleucine patch superfamily),sugar O-acyltransferase, sialic acid O-acetyltransferase NeuD family,Maltose acetyltransferase
NCTC13441_03522	hypothetical protein,Uncharacterized conserved protein,Protein of unknown function (DUF1428)
NCTC13441_03557	Exodeoxyribonuclease 7 small subunit,exodeoxyribonuclease VII small subunit,exodeoxyribonuclease VII, small subunit,Exonuclease VII small subunit
NCTC13441_03558	Farnesyl diphosphate synthase,geranyltranstransferase,Geranylgeranyl pyrophosphate synthase,heptaprenyl diphosphate synthase component II,Polyprenyl synthetase
NCTC13441_03559	1-deoxy-D-xylulose-5-phosphate synthase,1-deoxy-D-xylulose-5-phosphate synthase,Transketolase, C-terminal subunit,1-deoxy-D-xylulose-5-phosphate synthase,Transketolase, pyrimidine binding domain
NCTC13441_03562	Thiamine-monophosphate kinase,thiamine monophosphate kinase,Hydrogenase maturation factor,thiamine-monophosphate kinase,AIR synthase related protein, N-terminal domain
NCTC13441_03563	N utilization substance protein B,transcription antitermination protein NusB,transcription antitermination factor NusB,NusB family
NCTC13441_03564	6,7-dimethyl-8-ribityllumazine synthase,6,7-dimethyl-8-ribityllumazine synthase,6,7-dimethyl-8-ribityllumazine synthase,6,7-dimethyl-8-ribityllumazine synthase
NCTC13441_03565	Riboflavin biosynthesis protein RibD,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase,Pyrimidine deaminase,riboflavin biosynthesis protein RibD,RibD C-terminal domain
NCTC13441_03566	Transcriptional repressor NrdR,transcriptional regulator NrdR,transcriptional regulator NrdR,ATP cone domain
NCTC13441_03570	hypothetical protein,preprotein translocase subunit SecF,protein-export membrane protein SecF,Protein export membrane protein
NCTC13441_03571	hypothetical protein,preprotein translocase subunit SecD,Predicted exporter,protein-export membrane protein SecD,Protein export membrane protein
NCTC13441_03583	hypothetical protein,MFS transport protein AraJ,Arabinose efflux permease,multidrug resistance protein,Major Facilitator Superfamily
NCTC13441_03586	hypothetical protein
NCTC13441_03587	hypothetical protein,hypothetical protein,Uncharacterized protein conserved in bacteria,Protein of unknown function (DUF1255)
NCTC13441_03588	hypothetical protein,AroM protein
NCTC13441_03589	hypothetical protein,hypothetical protein
NCTC13441_03596	Anti-adapter protein iraP,anti-RssB factor,Sigma-S stabilisation anti-adaptor protein
NCTC13441_03603	D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH precursor,beta-lactam binding protein AmpH,Uncharacterized protein conserved in bacteria,Beta-lactamase
NCTC13441_03605	P.94,Type V secretory pathway, adhesin AidA,outer membrane autotransporter barrel domain,Autotransporter beta-domain
NCTC13441_03606	Delta-aminolevulinic acid dehydratase,delta-aminolevulinic acid dehydratase,Delta-aminolevulinic acid dehydratase,Delta-aminolevulinic acid dehydratase
NCTC13441_03625	Lactose-proton symport,galactoside permease,Uncharacterized protein conserved in bacteria,oligosaccharide:H+ symporter,LacY proton/sugar symporter
NCTC13441_03626	Galactoside O-acetyltransferase,galactoside O-acetyltransferase,Acetyltransferase (isoleucine patch superfamily),sugar O-acyltransferase, sialic acid O-acetyltransferase NeuD family,Bacterial transferase hexapeptide (six repeats)
NCTC13441_03634	Multiple stress resistance protein BhsA precursor,hypothetical protein,Protein of unknown function (DUF1471)
NCTC13441_03635	Threonine efflux protein,threonine efflux system,homoserine/Threonine efflux protein,LysE type translocator
NCTC13441_03642	Protein of unknown function (DUF2877)
NCTC13441_03643	Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases,transient-receptor-potential calcium channel protein,Ankyrin repeats (3 copies)
NCTC13441_03644	Protein of unknown function (DUF1097)
NCTC13441_03645	HTH-type transcriptional activator AllS,DNA-binding transcriptional activator AllS,aminoethylphosphonate catabolism associated LysR family transcriptional regulator,LysR substrate binding domain
NCTC13441_03646	Cyclic di-GMP phosphodiesterase yahA,phage resistance protein,Predicted signal transduction protein containing sensor and EAL domains,EAL domain
NCTC13441_03651	hypothetical protein
NCTC13441_03652	Tyrosine recombinase XerD,tyrosine recombinase,Site-specific recombinase XerD,tyrosine recombinase XerD,Phage integrase family
NCTC13441_03654	hypothetical protein
NCTC13441_03655	hypothetical protein
NCTC13441_03656	Adhesin/invasin TibA autotransporter precursor,Type V secretory pathway, adhesin AidA,outer membrane autotransporter barrel domain,Autotransporter beta-domain
NCTC13441_03660	Lactate utilization protein A,glycolate oxidase iron-sulfur subunit,Fe-S oxidoreductase,glycerol-3-phosphate dehydrogenase, anaerobic, C subunit,Cysteine-rich domain
NCTC13441_03661	Regulatory protein soxS,transcriptional activator FtrA,DNA gyrase inhibitor,Cupin
NCTC13441_03662	Mercuric reductase,pyridine nucleotide-disulfide oxidoreductase,Uncharacterized conserved protein,dihydrolipoyl dehydrogenase,Pyridine nucleotide-disulphide oxidoreductase
NCTC13441_03663	Inner membrane protein ykgB,Predicted membrane protein,Protein of unknown function, DUF417
NCTC13441_03664	Uncharacterized oxidoreductase YtbE,2,5-diketo-D-gluconate reductase A,Predicted oxidoreductase,Aldo/keto reductase family
NCTC13441_03665	Right origin-binding protein,right oriC-binding transcriptional activator,DNA gyrase inhibitor,YSIRK-targeted surface antigen transcriptional regulator,Helix-turn-helix domain
NCTC13441_03670	D-malate degradation protein R,transcriptional activator TtdR,ABC-type uncharacterized transport system, periplasmic component,putative choline sulfate-utilization transcription factor,LysR substrate binding domain
NCTC13441_03671	hypothetical protein,Uncharacterized conserved protein,Alpha/beta hydrolase family
NCTC13441_03672	NADH oxidase,NADPH dehydrogenase NamA,mycofactocin system FadH/OYE family oxidoreductase 2,NADH:flavin oxidoreductase / NADH oxidase family
NCTC13441_03674	50S ribosomal protein L31 type B,50S ribosomal protein L31 type B,Ribosomal protein L31,ribosomal protein L31,Ribosomal protein L31
NCTC13441_03676	Bacterial regulatory proteins, luxR family
NCTC13441_03677	Meningitis associated and temperature regulated protein B
NCTC13441_03683	Inner membrane protein yagU,Predicted periplasmic/secreted protein,Protein of unknown function (DUF1440)
NCTC13441_03684	integrase
NCTC13441_03685	Prophage CP4-57 integrase,integrase,Site-specific recombinase XerD,Phage integrase family
NCTC13441_03690	Type I restriction enzyme EcoKI specificity protein,EcoKI restriction-modification system protein HsdS,Predicted nucleotidyltransferases,Type I restriction modification DNA specificity domain
NCTC13441_03697	Outer membrane pore protein E precursor,outer membrane phosphoporin protein E,Outer membrane protein (porin),Gram-negative porin
NCTC13441_03704	putative acyltransferase
NCTC13441_03707	Chemotaxis protein MotA,flagellar motor protein MotA,flagellar motor stator protein MotA,MotA/TolQ/ExbB proton channel family
NCTC13441_03708	Sigma-F factor,flagellar biosynthesis sigma factor,RNA polymerase sigma factor, FliA/WhiG family,Sigma-70, region 4
NCTC13441_03709	flagellar basal body-associated protein FliL,Flagellar basal body-associated protein FliL
NCTC13441_03715	DNA-binding transcriptional activator CadC,heavy metal response regulator,Transcriptional regulatory protein, C terminal
NCTC13441_03733	hypothetical protein
NCTC13441_03735	hypothetical protein
NCTC13441_03736	hypothetical protein
NCTC13441_03737	Glycerol-3-phosphate cytidylyltransferase,bifunctional heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase,Cytidylyltransferase,glycerol-3-phosphate cytidylyltransferase,Cytidylyltransferase
NCTC13441_03744	Nif-specific regulatory protein,anaerobic nitric oxide reductase transcription regulator,Transcriptional regulator containing PAS, AAA-type ATPase, and DNA-binding domains,Nif-specific regulatory protein,Sigma-54 interaction domain
NCTC13441_03745	flagellar motor switch protein FliM,Flagellar motor switch protein,flagellar motor switch protein FliM,Surface presentation of antigens (SPOA)
NCTC13441_03756	Phosphoheptose isomerase,phosphoheptose isomerase,Uncharacterized protein containing SIS (Sugar ISomerase) phosphosugar binding domain,phosphoheptose isomerase,SIS domain
NCTC13441_03761	DNA polymerase III subunit epsilon,DNA polymerase III subunit epsilon,exonuclease, DNA polymerase III, epsilon subunit family,Exonuclease
