EMBL_ACC	LEN_(MB)	LEN_(BPs)	NUM_GENES	GC_CONTENT	NCBI_TAXONOMY	SPECIES_NAME	DESCRIPTION
CP002424.1	2.2MB	2248966	584162	0.51	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae;Neisseria.	Neisseria meningitidis NZ-05/33	Neisseria meningitidis NZ-05/33, complete genome.
CP002427.1	1.9MB	1871119	351423	0.37	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae;Lactobacillus.	Lactobacillus helveticus H9	Lactobacillus helveticus H9, complete genome.
CP002428.1	1.3MB	1275089	209712	0.33	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales;Rickettsiaceae; Rickettsieae; Rickettsia; spotted fever group.	Rickettsia slovaca 13-B	Rickettsia slovaca 13-B, complete genome.
CP002429.1	2.1MB	2145899	393108	0.37	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae;Lactobacillus.	Lactobacillus helveticus H10	Lactobacillus helveticus H10, complete genome.
CP002431.1	3.6MB	3629109	1132931	0.63	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales;Desulfovibrionaceae; Desulfovibrio.	Desulfovibrio aespoeensis Aspo-2	Desulfovibrio aespoeensis Aspo-2, complete genome.
CP002432.1	2.9MB	2928377	823802	0.56	Bacteria; Chrysiogenetes; Chrysiogenales; Chrysiogenaceae;Desulfurispirillum.	Desulfurispirillum indicum S5	Desulfurispirillum indicum S5, complete genome.
CP002433.1	4.4MB	4368708	1197882	0.55	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Pantoea.	Pantoea sp. At-9b	Pantoea sp. At-9b, complete genome.
CP002439.1	2.6MB	2617381	488851	0.38	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae;Staphylococcus.	Staphylococcus pseudintermedius HKU10-03	Staphylococcus pseudintermedius HKU10-03, complete genome.
CP002442.1	3.6MB	3628883	945212	0.52	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Geobacillus.	Geobacillus sp. Y412MC52	Geobacillus sp. Y412MC52, complete genome.
CP002444.1	1.7MB	1682965	435695	0.52	Bacteria; Aquificae; Desulfurobacteriales; Desulfurobacteriaceae;Thermovibrio.	Thermovibrio ammonificans HB-1	Thermovibrio ammonificans HB-1, complete genome.
CP002446.1	3.4MB	3419049	1203104	0.70	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales;Xanthomonadaceae; Pseudoxanthomonas.	Pseudoxanthomonas suwonensis 11-1	Pseudoxanthomonas suwonensis 11-1, complete genome.
CP002447.1	6.3MB	6264489	1976781	0.63	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales;Phyllobacteriaceae; Mesorhizobium.	Mesorhizobium ciceri biovar biserrulae WSM1271	Mesorhizobium ciceri biovar biserrulae WSM1271, complete genome.
CP002449.1	4.6MB	4637013	1583552	0.68	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Comamonadaceae; Alicycliphilus.	Alicycliphilus denitrificans BC	Alicycliphilus denitrificans BC, complete genome.
CP002452.1	2.1MB	2101285	568032	0.54	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Nitratifractor.	Nitratifractor salsuginis DSM 16511	Nitratifractor salsuginis DSM 16511, complete genome.
CP002453.1	4.9MB	4888353	826648	0.34	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales;Flavobacteriaceae; Cellulophaga.	Cellulophaga algicola DSM 14237	Cellulophaga algicola DSM 14237, complete genome.
CP002454.1	3.5MB	3498530	1223284	0.70	Bacteria; Deinococcus-Thermus; Deinococci; Deinococcales; Deinococcaceae;Deinococcus.	Deinococcus maricopensis DSM 21211	Deinococcus maricopensis DSM 21211, complete genome.
CP002455.1	2.3MB	2272954	407887	0.36	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales;Flavobacteriaceae; Weeksella.	Weeksella virosa DSM 16922	Weeksella virosa DSM 16922, complete genome.
CP002456.1	1.7MB	1695860	319180	0.37	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Alcaligenaceae; Taylorella.	Taylorella equigenitalis MCE9	Taylorella equigenitalis MCE9, complete genome.
CP002457.1	4.8MB	4840251	1079080	0.44	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales;Shewanellaceae; Shewanella.	Shewanella putrefaciens 200	Shewanella putrefaciens 200, complete genome.
CP002458.1	1.1MB	1118751	149207	0.27	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	Mycoplasma fermentans M64	Mycoplasma fermentans M64, complete genome.
CP002459.1	2.1MB	2126133	605680	0.57	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae;Brucella.	Brucella melitensis M28	Brucella melitensis M28 chromosome 1, complete sequence.
CP002461.1	1.3MB	1298316	225720	0.35	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae;Lactobacillus.	Lactobacillus sanfranciscensis TMW 1.1304	Lactobacillus sanfranciscensis TMW 1.1304, complete genome.
CP002464.1	2.0MB	1966342	343869	0.35	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae;Lactobacillus.	Lactobacillus johnsonii DPC 6026	Lactobacillus johnsonii DPC 6026, complete genome.
CP002465.1	2.1MB	2137435	435437	0.41	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus suis JS14	Streptococcus suis JS14, complete genome.
CP002466.1	2.3MB	2344824	408824	0.35	Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales;Thermoanaerobacteraceae; Thermoanaerobacter.	Thermoanaerobacter brockii subsp. finnii Ako-1	Thermoanaerobacter brockii subsp. finnii Ako-1, complete genome.
CP002467.1	5.1MB	5095226	1464957	0.57	Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Terriglobus.	Terriglobus saanensis SP1PR4	Terriglobus saanensis SP1PR4, complete genome.
CP002468.1	4.1MB	4093599	896711	0.44	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	Bacillus subtilis BSn5	Bacillus subtilis BSn5, complete genome.
CP002469.1	3.2MB	3194232	749228	0.47	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae;Vibrio.	Vibrio vulnificus MO6-24/O	Vibrio vulnificus MO6-24/O chromosome I, complete sequence.
CP002471.1	2.1MB	2143887	372907	0.36	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus parauberis KCTC 11537	Streptococcus parauberis KCTC 11537, complete genome.
CP002472.1	3.1MB	3073079	724103	0.47	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	Bacillus coagulans 2-6	Bacillus coagulans 2-6, complete genome.
CP002475.1	7.3MB	7337497	2607123	0.71	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae;Streptomyces.	Streptomyces pratensis ATCC 33331	Streptomyces pratensis ATCC 33331, complete genome.
CP002478.1	2.6MB	2572216	487078	0.38	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae;Staphylococcus.	Staphylococcus pseudintermedius ED99	Staphylococcus pseudintermedius ED99, complete genome.
CP002479.1	5.3MB	5277406	1611364	0.61	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales;Geobacteraceae; Geobacter.	Geobacter sp. M18	Geobacter sp. M18, complete genome.
CP002480.1	4.3MB	4309153	1321905	0.61	Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Granulicella.	Granulicella tundricola MP5ACTX9	Granulicella tundricola MP5ACTX9, complete genome.
CP002487.1	4.9MB	4878013	1271086	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Salmonella.	Salmonella enterica subsp. enterica serovar Typhimurium str. ST4/74	Salmonella enterica subsp. enterica serovar Typhimurium str. ST4/74,
CP002491.1	3.0MB	2988673	561337	0.37	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae;Enterococcus.	Enterococcus faecalis 62	Enterococcus faecalis 62, complete genome.
CP002496.1	6.3MB	6327754	2104706	0.67	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas.	Pseudomonas aeruginosa M18	Pseudomonas aeruginosa M18, complete genome.
CP002505.1	4.9MB	4864217	1273956	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Rahnella.	Rahnella sp. Y9602	Rahnella sp. Y9602, complete genome.
CP002508.1	5.4MB	5355490	950487	0.36	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus;Bacillus cereus group.	Bacillus thuringiensis serovar finitimus YBT-020	Bacillus thuringiensis serovar finitimus YBT-020, complete genome.
CP002511.1	1.3MB	1284727	202998	0.32	Bacteria; Proteobacteria; Alphaproteobacteria; Pelagibacterales;Pelagibacteraceae; Candidatus Pelagibacter.	Candidatus Pelagibacter sp. IMCC9063	Candidatus Pelagibacter sp. IMCC9063, complete genome.
CP002512.1	2.1MB	2080974	435811	0.42	Bacteria; Firmicutes; Bacilli; Lactobacillales; Aerococcaceae; Aerococcus.	Aerococcus urinae ACS-120-V-Col10a	Aerococcus urinae ACS-120-V-Col10a, complete genome.
CP002513.1	0.9MB	948121	138186	0.29	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	Mycoplasma bovis Hubei-1	Mycoplasma bovis Hubei-1, complete genome.
CP002514.1	2.7MB	2683362	824572	0.61	Bacteria; Acidobacteria; Blastocatellia; Chloracidobacterium.	Chloracidobacterium thermophilum B	Chloracidobacterium thermophilum B chromosome 1, complete sequence.
CP002515.1	1.0MB	1012010	307616	0.61	Bacteria; Acidobacteria; Blastocatellia; Chloracidobacterium.	Chloracidobacterium thermophilum B	Chloracidobacterium thermophilum B chromosome 2, complete sequence.
CP002516.1	4.9MB	4920168	1252963	0.51	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Escherichia.	Escherichia coli KO11FL	Escherichia coli KO11, complete genome.
CP002519.1	4.1MB	4063449	1291390	0.64	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Burkholderiaceae; Burkholderia.	Burkholderia sp. CCGE1001	Burkholderia sp. CCGE1001 chromosome 1, complete sequence.
CP002520.1	2.8MB	2770302	879950	0.64	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Burkholderiaceae; Burkholderia.	Burkholderia sp. CCGE1001	Burkholderia sp. CCGE1001 chromosome 2, complete sequence.
CP002521.1	5.5MB	5482170	1885165	0.69	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Comamonadaceae; Acidovorax.	Acidovorax avenae subsp. avenae ATCC 19860	Acidovorax avenae subsp. avenae ATCC 19860, complete genome.
CP002522.2	4.1MB	4138388	810308	0.39	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Moraxellaceae; Acinetobacter;	Acinetobacter baumannii TCDC-AB0715	Acinetobacter baumannii TCDC-AB0715, complete genome.
CP002525.1	0.7MB	742431	120733	0.31	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	Mycoplasma suis str. Illinois	Mycoplasma suis str. Illinois, complete genome.
CP002526.1	5.1MB	5052309	1120256	0.44	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales;Alteromonadaceae; Glaciecola.	Glaciecola sp. 4H-3-7+YE-5	Glaciecola sp. 4H-3-7+YE-5, complete genome.
CP002528.1	3.4MB	3389993	629211	0.37	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales;Flavobacteriaceae; Dokdonia.	Dokdonia sp. 4H-3-7-5	Krokinobacter sp. 4H-3-7-5, complete genome.
CP002530.1	4.2MB	4242803	988691	0.47	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae;Bacteroides.	Bacteroides salanitronis DSM 18170	Bacteroides salanitronis DSM 18170, complete genome.
CP002534.1	3.8MB	3765936	607792	0.32	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales;Flavobacteriaceae; Cellulophaga.	Cellulophaga lytica DSM 7489	Cellulophaga lytica DSM 7489, complete genome.
CP002536.1	2.1MB	2147060	709797	0.66	Bacteria; Deinococcus-Thermus; Deinococci; Deinococcales; Deinococcaceae;Deinococcus.	Deinococcus proteolyticus MRP	Deinococcus proteolyticus MRP, complete genome.
CP002541.1	3.3MB	3316466	806298	0.49	Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Sphaerochaeta.	Sphaerochaeta globosa str. Buddy	Sphaerochaeta globosa str. Buddy, complete genome.
CP002542.1	4.6MB	4633577	846439	0.36	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Cryomorphaceae;Fluviicola.	Fluviicola taffensis DSM 16823	Fluviicola taffensis DSM 16823, complete genome.
CP002543.1	1.5MB	1541968	271171	0.35	Bacteria; Aquificae; Desulfurobacteriales; Desulfurobacteriaceae;Desulfurobacterium.	Desulfurobacterium thermolithotrophum DSM 11699	Desulfurobacterium thermolithotrophum DSM 11699, complete genome.
CP002544.1	4.4MB	4392288	940616	0.43	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae;Odoribacter.	Odoribacter splanchnicus DSM 20712	Odoribacter splanchnicus DSM 20712, complete genome.
CP002545.1	4.6MB	4635236	854045	0.37	Bacteria; Bacteroidetes; Sphingobacteriia; Sphingobacteriales;Sphingobacteriaceae; Pseudopedobacter.	Pseudopedobacter saltans DSM 12145	Pedobacter saltans DSM 12145, complete genome.
CP002546.1	6.0MB	6006602	1688094	0.56	Bacteria; Planctomycetes; Planctomycetia; Planctomycetales;Planctomycetaceae; Rubinisphaera.	Rubinisphaera brasiliensis DSM 5305	Planctomyces brasiliensis DSM 5305, complete genome.
CP002547.1	3.4MB	3406739	784021	0.46	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae;Syntrophobotulus.	Syntrophobotulus glycolicus DSM 8271	Syntrophobotulus glycolicus DSM 8271, complete genome.
CP002548.1	1.0MB	959779	129941	0.27	Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae;Candidatus Phytoplasma; 16SrXII (Stolbur group).	Strawberry lethal yellows phytoplasma (CPA) str. NZSb11	Strawberry lethal yellows phytoplasma (CPA) str. NZSb11, complete genome.
CP002549.1	1.2MB	1171660	227908	0.39	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae;Chlamydia/Chlamydophila group; Chlamydia.	Chlamydia psittaci 6BC	Chlamydophila psittaci 6BC, complete genome.
CP002552.1	3.2MB	3180526	713514	0.45	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales;Nitrosomonadaceae; Nitrosomonas.	Nitrosomonas sp. AL212	Nitrosomonas sp. AL212, complete genome.
CP002555.1	2.8MB	2791729	673965	0.48	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae;Vibrio.	Vibrio cholerae LMA3984-4	Vibrio cholerae LMA3894-4 chromosome I, complete sequence.
CP002556.1	0.9MB	946986	224746	0.48	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae;Vibrio.	Vibrio cholerae LMA3984-4	Vibrio cholerae LMA3894-4 chromosome II, complete sequence.
CP002557.1	1.9MB	1913619	307603	0.33	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales;Francisellaceae; Francisella.	Francisella cf. novicida Fx1	Francisella cf. novicida Fx1, complete genome.
CP002558.1	1.9MB	1945310	310840	0.32	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales;Francisellaceae; Francisella.	Francisella cf. tularensis subsp. novicida 3523	Francisella cf. novicida 3523, complete genome.
CP002559.1	2.1MB	2078001	401017	0.38	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae;Lactobacillus.	Lactobacillus amylovorus	Lactobacillus amylovorus strain 30SC, complete genome.
CP002562.1	2.2MB	2166384	377526	0.35	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales;Flavobacteriaceae; Riemerella.	Riemerella anatipestifer RA-GD	Riemerella anatipestifer RA-GD, complete genome.
CP002563.1	2.6MB	2635294	465377	0.35	Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae;Carnobacterium.	Carnobacterium sp. 17-4	Carnobacterium sp. 17-4, complete genome.
CP002567.1	1.9MB	1932693	584074	0.60	Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae;Bifidobacterium.	Bifidobacterium animalis subsp. animalis ATCC 25527	Bifidobacterium animalis subsp. animalis ATCC 25527, complete genome.
CP002568.1	4.6MB	4649365	1582652	0.67	Bacteria; Proteobacteria; Alphaproteobacteria; Polymorphum.	Polymorphum gilvum SL003B-26A1	Polymorphum gilvum SL003B-26A1, complete genome.
CP002570.1	2.0MB	2038409	412692	0.41	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus suis A7	Streptococcus suis A7, complete genome.
CP002571.1	1.5MB	1548238	302972	0.39	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Helicobacteraceae; Helicobacter.	Helicobacter pylori 2017	Helicobacter pylori 2017, complete genome.
CP002572.1	1.6MB	1562832	305533	0.39	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Helicobacteraceae; Helicobacter.	Helicobacter pylori 2018	Helicobacter pylori 2018, complete genome.
CP002573.1	2.9MB	2932225	899177	0.61	Bacteria; Proteobacteria; Acidithiobacillia; Acidithiobacillales;Acidithiobacillaceae; Acidithiobacillus.	Acidithiobacillus caldus SM-1	Acidithiobacillus caldus SM-1, complete genome.
CP002582.1	4.7MB	4714237	814504	0.34	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae;Cellulosilyticum.	Clostridium lentocellum DSM 5427	Clostridium lentocellum DSM 5427, complete genome.
CP002583.1	4.7MB	4684316	1038159	0.44	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales;Marinomonas.	Marinomonas mediterranea MMB-1	Marinomonas mediterranea MMB-1, complete genome.
CP002584.1	6.2MB	6226409	1276853	0.41	Bacteria; Bacteroidetes; Sphingobacteriia; Sphingobacteriales;Sphingobacteriaceae; Sphingobacterium.	Sphingobacterium sp. 21	Sphingobacterium sp. 21, complete genome.
CP002585.1	6.8MB	6843248	2081424	0.61	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas.	Pseudomonas brassicacearum subsp. brassicacearum NFM421	Pseudomonas brassicacearum subsp. brassicacearum NFM421, complete genome.
CP002586.1	1.2MB	1171667	227914	0.39	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae;Chlamydia/Chlamydophila group; Chlamydia.	Chlamydia psittaci 6BC	Chlamydophila psittaci 6BC, complete genome.
CP002589.1	2.9MB	2937589	742977	0.50	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae;Prevotella.	Prevotella denticola F0289	Prevotella denticola F0289, complete genome.
CP002593.1	7.1MB	7096571	2599069	0.73	Bacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae;Pseudonocardia.	Pseudonocardia dioxanivorans CB1190	Pseudonocardia dioxanivorans CB1190, complete genome.
CP002599.1	4.4MB	4413616	1493490	0.67	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Burkholderiaceae; Burkholderia.	Burkholderia gladioli BSR3	Burkholderia gladioli BSR3 chromosome 1, complete sequence.
CP002605.1	1.6MB	1617426	311674	0.39	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Helicobacteraceae; Helicobacter.	Helicobacter pylori 83	Helicobacter pylori 83, complete genome.
CP002606.1	1.7MB	1694430	318088	0.37	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfurellales;Desulfurellaceae; Hippea.	Hippea maritima DSM 10411	Hippea maritima DSM 10411, complete genome.
CP002607.1	4.6MB	4551783	1333518	0.59	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales;Aeromonadaceae; Aeromonas.	Aeromonas veronii B565	Aeromonas veronii B565, complete genome.
CP002608.1	1.1MB	1106197	226389	0.41	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae;Chlamydia/Chlamydophila group; Chlamydia.	Chlamydophila pecorum E58	Chlamydophila pecorum E58, complete genome.
CP002609.1	1.9MB	1894401	367976	0.38	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae;Lactobacillus.	Lactobacillus amylovorus GRL1118	Lactobacillus amylovorus GRL1118, complete genome.
CP002614.1	4.8MB	4817868	1256717	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Salmonella.	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1, complete
CP002616.1	3.0MB	3039042	705738	0.46	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae;Lactobacillus.	Lactobacillus casei LC2W	Lactobacillus casei LC2W, complete genome.
CP002618.1	3.1MB	3069926	712937	0.46	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae;Lactobacillus.	Lactobacillus casei BD-II	Lactobacillus casei BD-II, complete genome.
CP002620.1	5.4MB	5434353	1698966	0.63	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas.	Pseudomonas mendocina NK-01	Pseudomonas mendocina NK-01, complete genome.
CP002621.1	2.7MB	2739625	519099	0.38	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae;Enterococcus.	Enterococcus faecalis OG1RF	Enterococcus faecalis OG1RF, complete genome.
CP002622.1	4.7MB	4689946	1499527	0.64	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas.	Pseudomonas stutzeri DSM 4166	Pseudomonas stutzeri DSM 4166, complete genome.
CP002623.1	4.5MB	4505211	1287397	0.57	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales;Rhodobacteraceae; Roseobacter.	Roseobacter litoralis Och 149	Roseobacter litoralis Och 149, complete genome.
CP002627.1	3.9MB	3937511	889263	0.46	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	Bacillus amyloliquefaciens TA208	Bacillus amyloliquefaciens TA208, complete genome.
CP002628.1	2.1MB	2115681	639360	0.60	Bacteria; Actinobacteria; Coriobacteriia; Coriobacteriales;Coriobacteriaceae; Coriobacterium.	Coriobacterium glomerans PW2	Coriobacterium glomerans PW2, complete genome.
CP002629.1	3.3MB	3282536	868763	0.53	Bacteria; Proteobacteria; Deltaproteobacteria; Syntrophobacterales;Syntrophaceae; Desulfobacca.	Desulfobacca acetoxidans DSM 11109	Desulfobacca acetoxidans DSM 11109, complete genome.
CP002630.1	2.3MB	2269167	775050	0.68	Bacteria; Deinococcus-Thermus; Deinococci; Thermales; Thermaceae;Marinithermus.	Marinithermus hydrothermalis DSM 14884	Marinithermus hydrothermalis DSM 14884, complete genome.
CP002631.1	2.7MB	2731853	535225	0.39	Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Treponema.	Treponema succinifaciens DSM 2489	Treponema succinifaciens DSM 2489, complete genome.
CP002633.1	2.0MB	2028815	417593	0.41	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus suis ST3	Streptococcus suis ST3, complete genome.
CP002634.1	4.0MB	3995227	913500	0.46	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	Bacillus amyloliquefaciens LL3	Bacillus amyloliquefaciens LL3, complete genome.
CP002637.1	2.6MB	2568361	735254	0.57	Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae;Selenomonas.	Selenomonas sputigena ATCC 35185	Selenomonas sputigena ATCC 35185, complete genome.
CP002638.1	6.7MB	6673976	2357500	0.71	Bacteria; Actinobacteria; Micromonosporales; Micromonosporaceae;Verrucosispora.	Verrucosispora maris AB-18-032	Verrucosispora maris AB-18-032, complete genome.
CP002640.1	2.1MB	2096866	423454	0.41	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus suis SS12	Streptococcus suis SS12, complete genome.
CP002641.1	2.2MB	2177656	441677	0.41	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus suis D9	Streptococcus suis D9, complete genome.
CP002643.1	2.9MB	2913900	477510	0.33	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae;Staphylococcus.	Staphylococcus aureus subsp. aureus T0131	Staphylococcus aureus subsp. aureus T0131, complete genome.
CP002644.1	2.2MB	2183059	447232	0.41	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus suis D12	Streptococcus suis D12, complete genome.
CP002645.1	0.6MB	641794	82843	0.26	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Buchnera.	Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)	Buchnera aphidicola str. Ak (Acyrthosiphon kondoi), complete genome.
CP002648.1	0.6MB	615380	74391	0.24	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Buchnera.	Buchnera aphidicola str. Ua (Uroleucon ambrosiae)	Buchnera aphidicola str. Ua (Uroleucon ambrosiae), complete genome.
CP002651.1	2.0MB	2034321	420187	0.41	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus suis ST1	Streptococcus suis ST1, complete genome.
CP002652.1	2.5MB	2506301	553767	0.44	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae;Lactobacillus.	Lactobacillus buchneri NRRL B-30929	Lactobacillus buchneri NRRL B-30929, complete genome.
CP002657.1	5.0MB	4995263	1700056	0.68	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Comamonadaceae; Alicycliphilus.	Alicycliphilus denitrificans K601	Alicycliphilus denitrificans K601, complete genome.
CP002659.1	2.2MB	2227296	553298	0.51	Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Sphaerochaeta.	Sphaerochaeta coccoides DSM 17374	Sphaerochaeta coccoides DSM 17374, complete genome.
CP002660.1	3.9MB	3942462	611219	0.31	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae;Clostridium.	Clostridium acetobutylicum DSM 1731	Clostridium acetobutylicum DSM 1731, complete genome.
CP002663.1	3.9MB	3883605	1106629	0.57	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Alcaligenaceae; Pusillimonas.	Pusillimonas sp. T7-7	Pusillimonas sp. T7-7, complete genome.
CP002665.1	3.5MB	3526441	1300344	0.74	Bacteria; Actinobacteria; Micrococcales; Cellulomonadaceae; Cellulomonas.	Cellulomonas gilvus ATCC 13127	[Cellvibrio] gilvus ATCC 13127, complete genome.
CP002666.1	4.3MB	4266344	1595550	0.75	Bacteria; Actinobacteria; Micrococcales; Cellulomonadaceae; Cellulomonas.	Cellulomonas fimi ATCC 484	Cellulomonas fimi ATCC 484, complete genome.
CP002667.1	2.7MB	2687335	531136	0.40	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales;Pasteurellaceae; Gallibacterium.	Gallibacterium anatis UMN179	Gallibacterium anatis UMN179, complete genome.
