Gene	Product	log(ii/essentiality_threshold)														Locus tag														Number of copies of gene in the genome														path_id	path_name
		Enterobacter.cloacae.NCTC.9394	Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655	Enterobacter.cloacae.NCTC.9394	Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655	Enterobacter.cloacae.NCTC.9394	Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655		
murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	-4.5	-1.1312707208	-4.5	-2.1862765594	-1.9599897947	-2.6989978767	-1.7919157449	-4.5	-2.295670782	-4.5	-2.7366159611	-2.3397955858	-4.5	-4.5	ENC_34260	BN373_42491	ERS227112_00999	ROD_46311	SL1344_3279	SL3261_3279	STMMW_33061	STM_MW33061	SEN3140	t3224	EC958_3589	NCTC13441_00503	BW25113_3189	b3189	2	2	2	2	2	1	2	2	2	2	2	2	2	2	eco01100	Metabolic pathways 
murB	UDP-N-acetylmuramate dehydrogenase	-4.5	-1.7473768324	-4.5	-1.2898534642	-2.722677401	-4.5	-1.9202085019	-4.5	-1.3260358865	-2.2189137637	-4.5	-4.5	-4.5	-4.5	ENC_27380	BN373_49701	ERS227112_01820	ROD_37771	SL1344_4081	SL3261_4081	STMMW_40961	STM_MW40961	SEN3926	t3489	EC958_5088	NCTC13441_04523	BW25113_3972	b3972	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
murC	UDP-N-acetylmuramate--L-alanine ligase	-2.441684286	-4.5	-4.5	-1.4761140315	-2.7267278596	-4.5	-1.8632167986	-1.694033252	-1.6272159687	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_46030	BN373_05841	ERS227112_02432	ROD_00971	SL1344_0129	SL3261_0129	STMMW_01351	STM_MW01351	SEN0130	t0133	EC958_0231	NCTC13441_03894	BW25113_0091	b0091	2	2	2	2	2	2	2	2	2	2	2	2	2	2	eco01100	Metabolic pathways 
murD	UDP-N-acetylmuramoylalanine--D-glutamate ligase	-4.5	-1.6433913581	-4.5	-2.0608378829	-4.5	-4.5	-2.4460244759	-4.5	-2.208728297	-4.5	-4.5	-4.5	-0.0398833824	-4.5	ENC_46000	BN373_05811	ERS227112_02429	ROD_00941	SL1344_0126	SL3261_0126	STMMW_01321	STM_MW01321	SEN0127	t0130	EC958_0228	NCTC13441_03897	BW25113_0088	b0088	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
murF	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	-4.5	-4.5	-4.5	-4.5	-2.6507480934	-4.5	-4.5	-4.5	-1.5488162667	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_45980	BN373_05791	ERS227112_02427	ROD_00921	SL1344_0124	SL3261_0124	STMMW_01301	STM_MW01301	SEN0125	t0128	EC958_0226	NCTC13441_03899	BW25113_0086	b0086	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
murG	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentape ptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	-4.5	-4.5	-2.014559933	-4.5	-2.4046687653	-4.5	-1.1355923884	-4.5	-2.6909150498	-2.1594755222	-4.5	-2.0716291591	-4.5	-4.5	ENC_46020	BN373_05831	ERS227112_02431	ROD_00961	SL1344_0128	SL3261_0128	STMMW_01341	STM_MW01341	SEN0129	t0132	EC958_0230	NCTC13441_03895	BW25113_0090	b0090	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
murI	Glutamate racemase	-1.5133882625	-1.5740196373	-2.3304677895	-1.104096039	-0.9248237366	-1.4702536154	-4.5	-0.7415903711	-0.8097798105	-0.5683576376	-1.4272734702	-2.0771609574	-1.7066702323	-4.5	ENC_11added	BN373_48901	ERS227112_00325	ROD_37781	SL1344_4080	SL3261_4080	STMMW_40951	STM_MW40951	SEN3925	t3494	EC958_4455	NCTC13441_04528	BW25113_3967	b3967	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
nadD	nicotinate-nucleotide adenylyltransferase	-4.5	-4.5	-4.5	-1.2005581406	-1.7744715862	-4.5	-4.5	-4.5	-1.2452730784	-4.5	-1.6246798221	-1.1381009476	-4.5	-4.5	ENC_20710	BN373_12511	ERS227112_03113	ROD_06591	SL1344_0633	SL3261_0633	STMMW_07101	STM_MW07101	SEN0614	t2222	EC958_0758	NCTC13441_03356	BW25113_0639	b0639	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
nadE	NAD+ synthetase	X	-4.5	-1.8662365524	-4.5	-4.5	-4.5	-1.1355071124	-4.5	-1.0301171407	-4.5	-1.6659190319	-4.5	-4.5	-4.5	X	BN373_18511	ERS227112_05505	ROD_13161	SL1344_1245	SL3261_1245	STMMW_13171	STM_MW13171	SEN1733	t1189	EC958_1961	NCTC13441_02140	BW25113_1740	b1740	0	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
nrdA	ribonucleoside-diphosphate reductase, alpha subunit	X	-4.5	-4.5	0.7365977971	-2.0024039279	2.0052488654	-1.1873406088	-4.5	-0.8286871655	-4.5	-2.0942277574	-2.2731822889	-1.9582371159	-4.5	X	BN373_32531	ERS227112_03937	ROD_23551	SL1344_2246	SL3261_2246	STMMW_23011	STM_MW23011	SEN2259	t0587	EC958_2571	NCTC13441_01474	BW25113_2234	b2234	0	2	2	2	2	2	2	2	2	2	2	2	2	2	eco01100	Metabolic pathways 
nrdB	ribonucleoside-diphosphate reductase class Ia beta subunit	-0.1422047201	-1.0771965997	-4.5	0.9279737496	-1.7043488671	1.5457798636	-4.5	-4.5	-0.0286595777	-1.7692809017	-4.5	-1.569564965	-1.258363257	-4.5	ENC_39600	BN373_32541	ERS227112_03936	ROD_23561	SL1344_2247	SL3261_2247	STMMW_23021	STM_MW23021	SEN2260	t0586	EC958_2572	NCTC13441_01473	BW25113_2235	b2235	2	2	2	2	2	2	2	2	2	2	2	2	2	2	eco01100	Metabolic pathways 
pdxH	Pyridoxamine 5'-phosphate oxidase	1.1410551515	1.3739942866	0.7231165822	1.6454511401	2.1891726131	2.0372727656	1.6609161289	0.6524119867	1.110098441	-0.6810363211	1.6023526745	0.4795233295	1.1745303158	4.5	ENC_13090	BN373_25571	ERS227112_04698	ROD_14291	SL1344_1380	SL3261_1380	STMMW_14511	STM_MW14511	SEN1599	t1316	EC958_1861	NCTC13441_02243	BW25113_1638	b1638	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
pgk	phosphoglycerate kinase	-4.5	-4.5	-4.5	-4.5	-4.5	-2.5420557197	-1.7182595208	-1.6369693047	-0.8531566855	-2.3941554669	-0.2984816609	-4.5	-4.5	-4.5	ENC_31600	BN373_40191	ERS227112_01310	ROD_50671	SL1344_3045	SL3261_3045	STMMW_30301	STM_MW30301	SEN2912	t2988	EC958_3205	NCTC13441_00830	BW25113_2926	b2926	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
pgm	phosphoglucomutase, alpha-D-glucose phosphate-specific	2.2690768917	2.162081247	-2.0004477678	1.6717566386	1.9419050631	2.1633165308	1.6555595603	0.696654017	1.3928028389	-0.8805513848	2.0109983207	1.0469525082	1.85910321	4.5	ENC_20380	BN373_12821	ERS227112_03152	ROD_06961	SL1344_0680	SL3261_0680	STMMW_07561	STM_MW07561	SEN0662	t2177	EC958_0806	NCTC13441_03303	BW25113_0688	b0688	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
pgsA	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-1.7958928977	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_47added	BN373_29931	ERS227112_04251	ROD_19671	SL1344_1875	SL3261_1875	STMMW_19241	STM_MW19241	SEN1061	t0931	EC958_2179	NCTC13441_01912	BW25113_1912	b1912	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
plsB	glycerol-3-phosphate acyltransferase	-4.5	-2.5452832921	-4.5	-1.0175750203	-4.5	-2.7910010912	-1.729910775	-4.5	-1.585636447	-4.5	-2.3910380931	-3.1449142218	-4.5	-4.5	ENC_04720	BN373_00361	ERS227112_01901	ROD_37051	SL1344_4172	SL3261_4172	STMMW_41851	STM_MW41851	SEN4004	t4141	EC958_4497	NCTC13441_04445	BW25113_4041	b4041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
plsC	1-acyl-sn-glycerol-3-phosphate acyltransferase	-2.0266961426	-4.5	-4.5	-0.5220678164	-2.0904898322	-4.5	-1.9702226765	-4.5	-1.1329970912	-4.5	-4.5	-1.7021634909	-4.5	-4.5	ENC_32530	BN373_40881	ERS227112_01172	ROD_35641	SL1344_3147	SL3261_3147	STMMW_31331	STM_MW31331	SEN3016	t3094	EC958_3416	NCTC13441_00683	BW25113_3018	b3018	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
polA	DNA polymerase I	-1.9714971959	1.5166048373	-4.5	1.4818580185	0.1911740947	1.0835943715	-1.2622244056	-0.8398417362	-1.4205652563	-2.4851800505	1.0619313131	0.4679792727	-0.3795897634	-4.5	ENC_1added	BN373_48041	ERS227112_00414	ROD_38971	SL1344_3947	SL3261_3947	STMMW_39641	STM_MW39641	SEN3788	t3621	EC958_4341	NCTC13441_04638	BW25113_3863	b3863	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
ppnK	Predicted sugar kinase	-4.5	-0.3188756324	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-0.8660673552	-4.5	-2.0873614934	-4.5	-4.5	-4.5	ENC_28130	BN373_35911	ERS227112_01706	ROD_25641	SL1344_2655	SL3261_2655	STMMW_26971	STM_MW26971	SEN2603	t2637	EC958_2917	NCTC13441_01127	BW25113_2615	b2615	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
prs	ribose-phosphate pyrophosphokinase	-4.5	-0.7890031956	-4.5	-1.6230858323	-1.9107734895	-1.2895045012	-1.2711571467	-4.5	-1.5737769852	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_07550	BN373_28321	ERS227112_04430	ROD_18061	SL1344_1708	SL3261_1708	STMMW_17721	STM_MW17721	SEN1259	t1096	EC958_1475	NCTC13441_02635	BW25113_1207	b1207	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
psd	phosphatidylserine decarboxylase precursor	-4.5	-4.5	-4.5	-4.5	-2.4015062393	-4.5	-0.6343225504	-1.4223621706	-2.0309135649	-4.5	-1.3360742698	-4.5	-4.5	-4.5	ENC_42620	BN373_01701	ERS227112_02035	ROD_32221	SL1344_4285	SL3261_4285	STMMW_42961	STM_MW42961	SEN4118	t4400	EC958_4650	NCTC13441_04293	BW25113_4160	b4160	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
pssA	CDP-diacylglycerol--serine O-phosphatidyltransferase	-4.5	-0.6950379579	-4.5	-4.5	-1.3988918013	-4.5	-0.9020569698	-4.5	-1.2070198516	-4.5	-2.4589267873	-1.9156161786	-1.7219397756	-4.5	ENC_435added	BN373_35661	ERS227112_00005	ROD_25301	SL1344_2616	SL3261_2616	STMMW_26721	STM_MW26721	SEN2579	t0258	EC958_2891	NCTC13441_01154	BW25113_2585	b2585	1	1	1	2	2	2	2	2	2	2	2	2	2	2	eco01100	Metabolic pathways 
purB	Adenylosuccinate lyase	-0.3997295056	0.6734803412	-0.3914253176	0.5473927831	0.4655118386	0.3297383417	0.821875512	0.5458981323	0.7256497596	-0.6786715774	-0.1592854202	1.0466354666	-4.5	-4.5	ENC_15040	BN373_17561	ERS227112_03609	ROD_12211	SL1344_1170	SL3261_1170	STMMW_12421	STM_MW12421	SEN1817	t1688	EC958_1328	NCTC13441_02781	BW25113_1131	b1131	3	4	4	2	3	3	3	3	3	2	2	2	2	2	eco01100	Metabolic pathways 
pyrG	CTP synthase	-2.9656060887	-1.0508697873	-2.1446719804	-2.3924736223	-2.8456731593	-2.7752885472	-2.6478373839	-1.7832199038	-1.1642330553	-1.9654578066	-4.5	-4.5	-4.5	-4.5	ENC_30230	BN373_37681	ERS227112_01536	ROD_30341	SL1344_2932	SL3261_2932	STMMW_29161	STM_MW29161	SEN2792	t2854	EC958_3049	NCTC13441_00994	BW25113_2780	b2780	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
pyrH	uridylate kinase	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-1.7857056797	-4.5	-1.2854584687	-4.5	-4.5	-1.6175060872	-4.5	-4.5	ENC_46940	BN373_06761	ERS227112_02526	ROD_01741	SL1344_0219	SL3261_0219	STMMW_02241	STM_MW02241	SEN0225	t0219	EC958_0317	NCTC13441_03806	BW25113_0171	b0171	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
rfaC	lipopolysaccharide heptosyltransferase I	1.0705490015	-0.5966646074	-2.4529785986	0.3295553619	0.5701529185	0.5980887357	0.7760185977	-0.7471485515	1.4428488062	-2.1804641916	-1.1131647552	0.2233077463	1.910781112	4.5	ENC_02400	BN373_46061	ERS227112_00614	ROD_41961	SL1344_3678	SL3261_3678	STMMW_37011	STM_MW37011	SEN3534	t3807	EC958_4028	NCTC13441_00063	BW25113_3621	b3621	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
rfaD	ADP-L-glycero-D-manno-heptose-6-epimerase	0.5135894088	-0.5663101797	-2.4152362888	0.2125238343	1.1986504251	0.3684972891	1.1689885372	-0.0319306892	1.2936935917	-2.1587609748	-0.7491264801	0.5570603949	1.9122055845	4.5	ENC_02380	BN373_46041	ERS227112_00616	ROD_41981	SL1344_3676	SL3261_3676	STMMW_36991	STM_MW36991	SEN3532	t3809	EC958_4026	NCTC13441_00065	BW25113_3619	b3619	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
rfaF	lipopolysaccharide heptosyltransferase II	1.4048232259	0	-4.5	0.9343649997	1.4109820388	1.652572449	1.0545241139	0.1415317806	1.0089306239	-1.5796181259	0.5223279862	0.5694108886	1.9269248026	4.5	ENC_02390	BN373_46051	ERS227112_00615	ROD_41971	SL1344_3677	SL3261_3677	STMMW_37001	STM_MW37001	SEN3533	t3808	EC958_4027	NCTC13441_00064	BW25113_3620	b3620	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
rfaG	Glycosyltransferase	1.9024192434	-1.8516416952	-1.8990115379	2.2959362814	2.3052799423	2.806557136	2.5589585952	2.4827768922	2.6883272585	3.051168224	2.5741934874	2.4705815219	3.5176657487	4.5	ENC_02480	BN373_46121	ERS227112_00608	ROD_41861	SL1344_3688	SL3261_3688	STMMW_37111	STM_MW37111	SEN3544	t3796	EC958_4038	NCTC13441_00053	BW25113_3631	b3631	3	3	3	3	1	1	3	1	3	3	1	1	1	1	eco01100	Metabolic pathways 
rfbA	Glucose-1-phosphate thymidylyltransferase	-1.7440505401	2.4480387805	2.6256323999	2.3943146862	X	X	X	X	X	2.1395183595	2.4890654419	2.2581824709	2.2242657844	4.5	ENC_41270	BN373_49171	ERS227112_01759	ROD_39581	X	X	X	X	X	t3374	EC958_4251	NCTC13441_04734	BW25113_3789	b3789	1	1	1	2	1	1	1	1	1	2	2	2	2	2	eco01100	Metabolic pathways 
rfbB	dTDP-glucose 4,6-dehydratase	-0.56752629	2.4723482977	2.3582867668	2.2139681582	2.5204643149	2.4879675764	2.395520475	2.2304415617	2.2121217214	2.0477355524	2.4870357297	2.4706234783	2.409682191	4.5	ENC_503added	BN373_49161	ERS227112_01758	ROD_39591	SL1344_3881	SL3261_3881	STMMW_38971	STM_MW38971	SEN3727	t3375	EC958_4250	NCTC13441_04735	BW25113_3788	b3788	2	2	2	2	2	2	2	2	3	4	2	2	2	2	eco01100	Metabolic pathways 
ribA	GTP cyclohydrolase II	-4.5	-4.5	-4.5	-4.5	-1.4493375436	-0.8058768234	-4.5	-4.5	-0.7136723874	-4.5	-1.3417683432	-4.5	-4.5	-4.5	ENC_08380	BN373_18991	ERS227112_05455	ROD_17231	SL1344_1643	SL3261_1643	STMMW_17061	STM_MW17061	SEN1322	t1624	EC958_1609	NCTC13441_02486	BW25113_1277	b1277	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
ribB	3,4-dihydroxy-2-butanone 4-phosphate synthase	-4.5	-4.5	-4.5	-0.8055780542	-4.5	-4.5	-1.8373214199	-1.1107410874	-0.9978148991	-4.5	-2.2153064272	-4.5	-4.5	-4.5	ENC_32880	BN373_41061	ERS227112_01154	ROD_35901	SL1344_3168	SL3261_3168	STMMW_31561	STM_MW31561	SEN3037	t3115	EC958_3451	NCTC13441_00647	BW25113_3041	b3041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
ribD	diaminohydroxyphosphoribosylaminopyrimidine deaminase /5-amino-6-(5-phosphoribosylamino)uracil reductase	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-2.5206357105	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_23450	BN373_08551	ERS227112_02717	ROD_04631	SL1344_0410	SL3261_0410	STMMW_04861	STM_MW04861	SEN0398	t2447	EC958_0552	NCTC13441_03565	BW25113_0414	b0414	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
ribE	riboflavin synthase alpha chain	-4.5	-0.3682298024	-4.5	-4.5	-4.5	-4.5	-0.7925928442	-4.5	-0.5149655254	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_13370	BN373_25831	ERS227112_04672	ROD_14071	SL1344_1358	SL3261_1358	STMMW_14291	STM_MW14291	SEN1621	t1294	EC958_1884	NCTC13441_02219	BW25113_1662	b1662	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
ribF	FMN adenylyltransferase /riboflavin kinase	-4.5	-4.5	-4.5	-1.8018323397	-1.236499352	-4.5	-4.5	-4.5	-0.9019796899	-4.5	-0.8541640661	-1.2513357892	-4.5	-4.5	ENC_45420	BN373_05011	ERS227112_02355	ROD_00221	SL1344_0046	SL3261_0046	STMMW_00461	STM_MW00461	SEN0045	t0047	EC958_0157	NCTC13441_03967	BW25113_0025	b0025	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
ribH	6,7-dimethyl-8-ribityllumazine synthase	-4.5	-4.5	-4.5	-4.5	-4.5	-1.3059341692	-4.5	-4.5	-4.5	-4.5	-0.2322435606	-4.5	-4.5	-4.5	ENC_23440	BN373_08561	ERS227112_02718	ROD_04641	SL1344_0411	SL3261_0411	STMMW_04871	STM_MW04871	SEN0399	t2446	EC958_0553	NCTC13441_03564	BW25113_0415	b0415	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
rpiA	ribose 5-phosphate isomerase	1.9518005784	1.6165362	-1.5057629549	1.4229880801	-0.8963198796	-1.2767550432	0.8688065354	-0.3677491859	0.1302107411	-1.8022173381	0.4974311091	1.9714897883	1.3255999939	4.5	ENC_31530	BN373_40131	ERS227112_01316	ROD_49161	SL1344_3039	SL3261_3039	STMMW_30231	STM_MW30231	SEN2906	t2981	EC958_3194	NCTC13441_00841	BW25113_2914	b2914	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
rpoA	DNA-directed RNA polymerase subunit alpha	-4.5	-1.5902574909	-4.5	-1.9123133572	-1.788002195	-2.5437985083	-1.2732620988	-4.5	-0.280778131	-4.5	-1.7848410138	-4.5	-4.5	-4.5	ENC_25100	BN373_43321	ERS227112_00890	ROD_45261	SL1344_3382	SL3261_3382	STMMW_34081	STM_MW34081	SEN3243	t4090	EC958_3689	NCTC13441_00400	BW25113_3295	b3295	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
rpoB	DNA-directed RNA polymerase subunit beta	-3.0770198041	-2.414300654	-2.6451459847	-0.9445784961	-1.7802930393	-2.725534889	-1.5730362336	-2.4407286057	-1.2914087061	-3.5649515551	-3.3755052701	-3.6419907372	-4.5	-4.5	ENC_01390	BN373_49801	ERS227112_01835	ROD_37651	SL1344_4092	SL3261_4092	STMMW_41061	STM_MW41061	SEN3937	t3474	EC958_5098	NCTC13441_04508	BW25113_3987	b3987	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
rpoC	DNA-directed RNA polymerase subunit beta'	-2.4293153238	-1.3611592875	-4.5	-0.8234316042	-4.1271256803	-2.3639847966	-1.9354370502	-4.5	-1.2373148567	-1.5262214368	-1.7071371533	-3.6916336035	-3.2490438134	-4.5	ENC_13added	BN373_49811	ERS227112_01836	ROD_37641	SL1344_4093	SL3261_4093	STMMW_41071	STM_MW41071	SEN3938	t3473	EC958_5099	NCTC13441_04507	BW25113_3988	b3988	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
sucA	2-oxoglutarate dehydrogenase E1 component	0.0405202214	1.3347492219	0.8800014659	1.3339850689	1.9094557589	1.3778558487	1.0270709132	0.6538368577	1.347248963	-1.3619047841	0.9881780534	0.8212862788	0.7278105644	4.5	ENC_20130	BN373_13051	ERS227112_03175	ROD_07231	SL1344_0718	SL3261_0718	STMMW_07931	STM_MW07931	SEN0686	t2140	EC958_0840	NCTC13441_03270	BW25113_0726	b0726	1	1	1	1	1	1	1	1	1	1	2	2	1	1	eco01100	Metabolic pathways 
sucB	2-oxoglutarate dehydrogenase E2 component	-2.3489032612	0.5829721443	0.9100561076	0.8034404187	1.466121871	1.2590553488	0.4583945079	-0.3014833051	1.039070445	-4.5	0.905361541	1.1770911777	0.5683076613	4.5	ENC_20120	BN373_13061	ERS227112_03176	ROD_07241	SL1344_0719	SL3261_0719	STMMW_07941	STM_MW07941	SEN0687	t2139	EC958_0841	NCTC13441_03269	BW25113_0727	b0727	1	3	1	1	1	1	1	1	1	1	2	2	1	1	eco01100	Metabolic pathways 
suhB	Archaeal fructose-1,6-bisphosphatase and related enzymes of inositol monophosphatase family	-4.5	-4.5	-4.5	0.4741162796	-1.3079745147	-1.7855564053	-1.5449425557	-4.5	-2.1731481865	-4.5	-1.8358292571	-4.5	-4.5	-4.5	ENC_37210	BN373_35221	ERS227112_00050	ROD_24771	SL1344_2508	SL3261_2508	STMMW_25631	STM_MW25631	SEN2526	t0310	EC958_2844	NCTC13441_01202	BW25113_2533	b2533	2	4	4	2	2	2	2	2	2	2	2	2	2	2	eco01100	Metabolic pathways 
thiL	thiamine-phosphate kinase	-0.0862690779	1.2879004725	-1.6639980408	1.8524754442	0.8766842348	-1.3422093735	-0.3937670075	-0.0830526799	-1.299546805	-1.0455505212	1.9816858264	-1.0789654543	-1.3720252495	-4.5	ENC_23420	BN373_08581	ERS227112_02720	ROD_04661	SL1344_0413	SL3261_0413	STMMW_04891	STM_MW04891	SEN0401	t2444	EC958_0555	NCTC13441_03562	BW25113_0417	b0417	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
thyA	thymidylate synthase	-4.5	-4.5	-4.5	-4.5	-2.1583252743	-2.1105158026	-1.2824761016	-4.5	-0.4936152014	-1.1840668498	-2.0697777651	-4.5	-4.5	4.5	ENC_30630	BN373_38661	ERS227112_01432	ROD_28691	SL1344_2979	SL3261_2979	STMMW_29621	STM_MW29621	SEN2843	t2910	EC958_5050	NCTC13441_00913	BW25113_2827	b2827	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
tktA	transketolase	1.0618405801	1.9858802308	1.64530687	2.0041488423	2.0606476469	1.6503095755	1.8017013499	1.1872829884	1.4627508166	-1.8516259556	1.5751694551	0.9303221118	1.9140807742	4.5	ENC_31720	BN373_40211	ERS227112_01308	ROD_50511	SL1344_3052	SL3261_3052	STMMW_30371	STM_MW30371	SEN2919	t2996	EC958_3220	NCTC13441_00816	BW25113_2935	b2935	2	3	2	3	2	2	2	2	2	2	3	3	2	2	eco01100	Metabolic pathways 
tmk	thymidylate kinase	-4.5	-4.5	-4.5	-4.5	-4.5	-1.1765114043	-1.075232208	-4.5	-1.2259089259	-4.5	-1.5050362919	-4.5	-4.5	-4.5	ENC_15400	BN373_17101	ERS227112_03574	ROD_11601	SL1344_1137	SL3261_1137	STMMW_12091	STM_MW12091	SEN1849	t1720	EC958_1294	NCTC13441_02814	BW25113_1098	b1098	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
ubiA	4-hydroxybenzoate octaprenyltransferase	-2.434410371	-0.1321227054	-1.1418200133	-0.4053071332	-2.4145073458	-4.5	-2.3223354848	-4.5	-1.2613434212	-4.5	-0.8374917354	-2.1252718421	-1.5421660472	-4.5	ENC_04710	BN373_00351	ERS227112_01900	ROD_37061	SL1344_4171	SL3261_4171	STMMW_41841	STM_MW41841	SEN4003	t4140	EC958_4496	NCTC13441_04446	BW25113_4040	b4040	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
ubiD	3-octaprenyl-4hydroxybenzoate decarboxylase	-2.1102269812	-0.5053616705	-2.3195288805	-0.4573480666	-0.648058883	-0.6512447852	-0.7266222135	-0.6745180632	-0.6423739104	-4.5	-0.9658117666	-0.9479863638	-4.5	-4.5	ENC_01700	BN373_49621	ERS227112_01809	ROD_39131	SL1344_3932	SL3261_3932	STMMW_39491	STM_MW39491	SEN3773	t3319	EC958_4323	NCTC13441_04658	BW25113_3843	b3843	3	3	3	2	2	2	2	2	2	2	1	1	1	1	eco01100	Metabolic pathways 
ubiE	ubiquinone/menaquinone biosynthesis methyltransferases	-1.4346343999	-0.7558370213	-4.5	-0.0691261911	-0.9880702525	-1.7692784392	-0.5665499216	-1.6112563182	-0.6600107594	-4.5	0	0.0648746363	-0.0976178377	4.5	ENC_01780	BN373_49541	ERS227112_01801	ROD_39211	SL1344_3924	SL3261_3924	STMMW_39411	STM_MW39411	SEN3765	t3327	EC958_4315	NCTC13441_04666	BW25113_3833	b3833	4	4	4	5	4	4	4	4	4	6	3	3	3	3	eco01100	Metabolic pathways 
