Gene	Product	log(ii/essentiality+AF8-threshold)													Locus tag													Number of copies of gene in the genome													path+AF8-id	path+AF8-name
		Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655	Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655	Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655		
lpdA	dihydrolipoamide dehydrogenase	0.8016237362	+AC0-4.5	+AC0-0.6975769459	+AC0-0.7138162473	+AC0-2.5784884794	+AC0-0.2967405039	+AC0-1.6306134324	0.1672680032	+AC0-2.3528419954	+AC0-2.086324611	+AC0-4.5	0.6791219417	4.5	BN373+AF8-06101	ERS227112+AF8-02458	ROD+AF8-01221	SL1344+AF8-0154	SL3261+AF8-0154	STMMW+AF8-01601	STM+AF8-MW01601	SEN0158	t0160	EC958+AF8-0258	NCTC13441+AF8-03865	BW25113+AF8-0116	b0116	4	5	3	4	4	4	4	4	4	5	5	4	4	eco01100	Metabolic pathways 
lpxA	acyl+AC0AWw-acyl+AC0-carrier+AC0-protein+AF0ALQ-UDP+AC0-N+AC0-acetylglucosa mine O+AC0-acyltransferase	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-0.7697660145	+AC0-4.5	+AC0-1.096570311	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-06861	ERS227112+AF8-02536	ROD+AF8-01841	SL1344+AF8-0229	SL3261+AF8-0229	STMMW+AF8-02341	STM+AF8-MW02341	SEN0235	t0229	EC958+AF8-0327	NCTC13441+AF8-03795	BW25113+AF8-0181	b0181	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
lpxB	lipid+AC0-A+AC0-disaccharide synthase	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-1.6945201949	+AC0-4.5	+AC0-1.5502975677	+AC0-4.5	+AC0-1.4725140964	+AC0-4.5	+AC0-1.7436595715	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-06871	ERS227112+AF8-02537	ROD+AF8-01851	SL1344+AF8-0230	SL3261+AF8-0230	STMMW+AF8-02351	STM+AF8-MW02351	SEN0236	t0230	EC958+AF8-0328	NCTC13441+AF8-03794	BW25113+AF8-0182	b0182	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
lpxC	UDP+AC0-3+AC0-O+AC0AWw-3+AC0-hydroxymyristoyl+AF0- N+AC0-acetylglucosamine deacetylase	+AC0-1.27344135	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-0.9789788225	+AC0-4.5	+AC0-1.1508947278	+AC0-4.5	+AC0-2.3488915659	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-05891	ERS227112+AF8-02437	ROD+AF8-01021	SL1344+AF8-0134	SL3261+AF8-0134	STMMW+AF8-01401	STM+AF8-MW01401	SEN0135	t0138	EC958+AF8-0236	NCTC13441+AF8-03889	BW25113+AF8-0096	b0096	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
lpxD	UDP+AC0-3+AC0-O+AC0AWw-3+AC0-hydroxymyristoyl+AF0- glucosamine N+AC0-acyltransferase	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-2.274861984	+AC0-4.5	+AC0-1.031258637	+AC0-0.7010679044	+AC0-0.9506863503	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-06841	ERS227112+AF8-02534	ROD+AF8-01821	SL1344+AF8-0227	SL3261+AF8-0227	STMMW+AF8-02321	STM+AF8-MW02321	SEN0233	t0227	EC958+AF8-0325	NCTC13441+AF8-03797	BW25113+AF8-0179	b0179	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
lpxH	UDP+AC0-2,3+AC0-diacylglucosamine hydrolase	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-1.2103112397	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-0.4872611106	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-09691	ERS227112+AF8-02831	ROD+AF8-05561	SL1344+AF8-0528	SL3261+AF8-0528	STMMW+AF8-06031	STM+AF8-MW06031	SEN0516	t2326	EC958+AF8-0663	NCTC13441+AF8-03451	BW25113+AF8-0524	b0524	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
lpxK	tetraacyldisaccharide 4'+AC0-kinase	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-1.5758584226	+AC0-1.8733635822	+AC0-4.5	+AC0-4.5	+AC0-2.4066969758	+AC0-4.5	+AC0-2.0387987595	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-15581	ERS227112+AF8-03430	ROD+AF8-09831	SL1344+AF8-0922	SL3261+AF8-0922	STMMW+AF8-09961	STM+AF8-MW09961	SEN0889	t1949	EC958+AF8-1125	NCTC13441+AF8-02974	BW25113+AF8-0915	b0915	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
lpxL	lauryl+AC0-acyl carrier protein (ACP)+AC0-dependent acyltransferase	2.0973908481	2.1764357279	1.3809884872	+AC0-2.1216869407	+AC0-4.5	+AC0-0.8541287064	+AC0-4.5	+AC0-0.518979431	0.4046054545	+AC0-4.5	+AC0-1.5167355737	+AC0-0.3798303066	4.5	BN373+AF8-16821	ERS227112+AF8-03545	ROD+AF8-11131	SL1344+AF8-1092	SL3261+AF8-1092	STMMW+AF8-11631	STM+AF8-MW11631	SEN1893	t1765	EC958+AF8-1248	NCTC13441+AF8-02858	BW25113+AF8-1054	b1054	4	4	3	3	3	3	3	3	3	3	3	3	3	eco01100	Metabolic pathways 
manZ	mannose permease IID component	2.5721317619	1.8255880272	2.0915269559	2.1674051201	2.3826157268	2.0160228103	+AC0-0.0248623618	1.5507514476	1.4578199438	2.0463373807	1.8464101119	1.1079146089	4.5	BN373+AF8-29181	ERS227112+AF8-04331	ROD+AF8-18571	SL1344+AF8-1761	SL3261+AF8-1761	STMMW+AF8-18241	STM+AF8-MW18241	SEN1205	t1046	EC958+AF8-2037	NCTC13441+AF8-02067	BW25113+AF8-1819	b1819	4	4	4	4	4	4	4	3	2	4	4	2	2	eco01100	Metabolic pathways 
metK	S+AC0-adenosylmethionine synthetase	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-2.4170879356	+AC0-4.5	+AC0-1.5732397931	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-40281	ERS227112+AF8-01288	ROD+AF8-50471	SL1344+AF8-3065	SL3261+AF8-3065	STMMW+AF8-30511	STM+AF8-MW30511	SEN2933	t3002	EC958+AF8-5057	NCTC13441+AF8-00810	BW25113+AF8-2942	b2942	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
miaA	tRNA delta(2)+AC0-isopentenylpyrophosphate transferase	1.891634347	2.0825742074	1.7521886991	2.3504975889	2.3358187129	2.2634398224	1.4297242744	1.6777027991	+AC0-0.2583922943	2.2563092074	1.5054579636	1.7123466278	4.5	BN373+AF8-01791	ERS227112+AF8-02047	ROD+AF8-32311	SL1344+AF8-4294	SL3261+AF8-4294	STMMW+AF8-43051	STM+AF8-MW43051	SEN4127	t4411	EC958+AF8-4658	NCTC13441+AF8-04282	BW25113+AF8-4171	b4171	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
moaD	molybdopterin converting factor, subunit 1	2.5707042257	1.8180354686	1.0051377504	1.8078068915	0.8740620064	0.7350626124	+AC0-4.5	1.4259447152	1.3191384538	1.8415512071	2.2358604473	1.6793807235	4.5	BN373+AF8-13761	ERS227112+AF8-03248	ROD+AF8-07851	SL1344+AF8-0781	SL3261+AF8-0781	STMMW+AF8-08571	STM+AF8-MW08571	SEN0751	t2082	EC958+AF8-0896	NCTC13441+AF8-03210	BW25113+AF8-0784	b0784	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
mraY	phospho+AC0-N+AC0-acetylmuramoyl+AC0-pentapeptide+AC0-transfera se	+AC0-1.4484972458	+AC0-4.5	+AC0-4.5	+AC0-2.4217110839	+AC0-2.3481235761	+AC0-1.5578543136	+AC0-4.5	+AC0-0.9147625411	+AC0-4.5	+AC0-1.8347544033	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-05801	ERS227112+AF8-02428	ROD+AF8-00931	SL1344+AF8-0125	SL3261+AF8-0125	STMMW+AF8-01311	STM+AF8-MW01311	SEN0126	t0129	EC958+AF8-0227	NCTC13441+AF8-03898	BW25113+AF8-0087	b0087	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
msbB	lipid A biosynthesis (KDO)2+AC0-(lauroyl)+AC0-lipid IVA acyltransferase	1.6703771613	+AC0-0.8127259412	1.8868150575	+AC0-0.8811428776	+AC0-4.5	+AC0-0.3677045398	+AC0-4.5	+AC0-4.5	1.5509167118	+AC0-1.132268286	0.4853260732	2.226277548	4.5	BN373+AF8-29561	ERS227112+AF8-04291	ROD+AF8-18961	SL1344+AF8-1823	SL3261+AF8-1823	STMMW+AF8-18701	STM+AF8-MW18701	SEN1114	t0988	EC958+AF8-2076	NCTC13441+AF8-02028	BW25113+AF8-1855	b1855	4	4	3	3	3	3	3	3	3	3	3	3	3	eco01100	Metabolic pathways 
murA	UDP+AC0-N+AC0-acetylglucosamine 1+AC0-carboxyvinyltransferase	+AC0-1.1312707208	+AC0-4.5	+AC0-2.1862765594	+AC0-1.9599897947	+AC0-2.6989978767	+AC0-1.7919157449	+AC0-4.5	+AC0-2.295670782	+AC0-4.5	+AC0-2.7366159611	+AC0-2.3397955858	+AC0-4.5	+AC0-4.5	BN373+AF8-42491	ERS227112+AF8-00999	ROD+AF8-46311	SL1344+AF8-3279	SL3261+AF8-3279	STMMW+AF8-33061	STM+AF8-MW33061	SEN3140	t3224	EC958+AF8-3589	NCTC13441+AF8-00503	BW25113+AF8-3189	b3189	2	2	2	2	1	2	2	2	2	2	2	2	2	eco01100	Metabolic pathways 
murB	UDP+AC0-N+AC0-acetylenolpyruvoylglucosamine reductase	+AC0-1.7473768324	+AC0-4.5	+AC0-1.2898534642	+AC0-2.722677401	+AC0-4.5	+AC0-1.9202085019	+AC0-4.5	+AC0-1.3260358865	+AC0-2.2189137637	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-49701	ERS227112+AF8-01820	ROD+AF8-37771	SL1344+AF8-4081	SL3261+AF8-4081	STMMW+AF8-40961	STM+AF8-MW40961	SEN3926	t3489	EC958+AF8-5088	NCTC13441+AF8-04523	BW25113+AF8-3972	b3972	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
murC	UDP+AC0-N+AC0-acetylmuramate+AC0ALQ-alanine ligase	+AC0-4.5	+AC0-4.5	+AC0-1.4761140315	+AC0-2.7267278596	+AC0-4.5	+AC0-1.8632167986	+AC0-1.694033252	+AC0-1.6272159687	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-05841	ERS227112+AF8-02432	ROD+AF8-00971	SL1344+AF8-0129	SL3261+AF8-0129	STMMW+AF8-01351	STM+AF8-MW01351	SEN0130	t0133	EC958+AF8-0231	NCTC13441+AF8-03894	BW25113+AF8-0091	b0091	2	2	2	2	2	2	2	2	2	2	2	2	2	eco01100	Metabolic pathways 
murD	UDP+AC0-N+AC0-acetylmuramoylalanine+AC0ALQ-D+AC0-glutamate ligase	+AC0-1.6433913581	+AC0-4.5	+AC0-2.0608378829	+AC0-4.5	+AC0-4.5	+AC0-2.4460244759	+AC0-4.5	+AC0-2.208728297	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-0.0398833824	+AC0-4.5	BN373+AF8-05811	ERS227112+AF8-02429	ROD+AF8-00941	SL1344+AF8-0126	SL3261+AF8-0126	STMMW+AF8-01321	STM+AF8-MW01321	SEN0127	t0130	EC958+AF8-0228	NCTC13441+AF8-03897	BW25113+AF8-0088	b0088	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
murF	UDP+AC0-N+AC0-acetylmuramoyl+AC0-tripeptide+AC0ALQ-D+AC0-alanyl+AC0-D+AC0-ala nine ligase	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-2.6507480934	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-1.5488162667	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-05791	ERS227112+AF8-02427	ROD+AF8-00921	SL1344+AF8-0124	SL3261+AF8-0124	STMMW+AF8-01301	STM+AF8-MW01301	SEN0125	t0128	EC958+AF8-0226	NCTC13441+AF8-03899	BW25113+AF8-0086	b0086	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
murG	undecaprenyldiphospho+AC0-muramoylpentapeptide beta+AC0-N+AC0-acetylglucosaminyltransferase	+AC0-4.5	+AC0-2.014559933	+AC0-4.5	+AC0-2.4046687653	+AC0-4.5	+AC0-1.1355923884	+AC0-4.5	+AC0-2.6909150498	+AC0-2.1594755222	+AC0-4.5	+AC0-2.0716291591	+AC0-4.5	+AC0-4.5	BN373+AF8-05831	ERS227112+AF8-02431	ROD+AF8-00961	SL1344+AF8-0128	SL3261+AF8-0128	STMMW+AF8-01341	STM+AF8-MW01341	SEN0129	t0132	EC958+AF8-0230	NCTC13441+AF8-03895	BW25113+AF8-0090	b0090	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
murI	glutamate racemase	+AC0-1.5740196373	+AC0-2.3304677895	+AC0-1.104096039	+AC0-0.9248237366	+AC0-1.4702536154	+AC0-4.5	+AC0-0.7415903711	+AC0-0.8097798105	+AC0-0.5683576376	+AC0-1.4272734702	+AC0-2.0771609574	+AC0-1.7066702323	+AC0-4.5	BN373+AF8-48901	ERS227112+AF8-00325	ROD+AF8-37781	SL1344+AF8-4080	SL3261+AF8-4080	STMMW+AF8-40951	STM+AF8-MW40951	SEN3925	t3494	EC958+AF8-4455	NCTC13441+AF8-04528	BW25113+AF8-3967	b3967	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
nadD	nicotinate (nicotinamide) nucleotide adenylyltransferase	+AC0-4.5	+AC0-4.5	+AC0-1.2005581406	+AC0-1.7744715862	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-1.2452730784	+AC0-4.5	+AC0-1.6246798221	+AC0-1.1381009476	+AC0-4.5	+AC0-4.5	BN373+AF8-12511	ERS227112+AF8-03113	ROD+AF8-06591	SL1344+AF8-0633	SL3261+AF8-0633	STMMW+AF8-07101	STM+AF8-MW07101	SEN0614	t2222	EC958+AF8-0758	NCTC13441+AF8-03356	BW25113+AF8-0639	b0639	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
nadE	NAD synthetase	+AC0-4.5	+AC0-1.8662365524	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-1.1355071124	+AC0-4.5	+AC0-1.0301171407	+AC0-4.5	+AC0-1.6659190319	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-18511	ERS227112+AF8-05505	ROD+AF8-13161	SL1344+AF8-1245	SL3261+AF8-1245	STMMW+AF8-13171	STM+AF8-MW13171	SEN1733	t1189	EC958+AF8-1961	NCTC13441+AF8-02140	BW25113+AF8-1740	b1740	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
nrdA	ribonucleoside+AC0-diphosphate reductase, alpha subunit	+AC0-4.5	+AC0-4.5	0.7365977971	+AC0-2.0024039279	2.0052488654	+AC0-1.1873406088	+AC0-4.5	+AC0-0.8286871655	+AC0-4.5	+AC0-2.0942277574	+AC0-2.2731822889	+AC0-1.9582371159	+AC0-4.5	BN373+AF8-32531	ERS227112+AF8-03937	ROD+AF8-23551	SL1344+AF8-2246	SL3261+AF8-2246	STMMW+AF8-23011	STM+AF8-MW23011	SEN2259	t0587	EC958+AF8-2571	NCTC13441+AF8-01474	BW25113+AF8-2234	b2234	2	2	2	2	2	2	2	2	2	2	2	2	2	eco01100	Metabolic pathways 
nrdB	ribonucleoside+AC0-diphosphate reductase, beta subunit	+AC0-1.0771965997	+AC0-4.5	0.9279737496	+AC0-1.7043488671	1.5457798636	+AC0-4.5	+AC0-4.5	+AC0-0.0286595777	+AC0-1.7692809017	+AC0-4.5	+AC0-1.569564965	+AC0-1.258363257	+AC0-4.5	BN373+AF8-32541	ERS227112+AF8-03936	ROD+AF8-23561	SL1344+AF8-2247	SL3261+AF8-2247	STMMW+AF8-23021	STM+AF8-MW23021	SEN2260	t0586	EC958+AF8-2572	NCTC13441+AF8-01473	BW25113+AF8-2235	b2235	2	2	2	2	2	2	2	2	2	2	2	2	2	eco01100	Metabolic pathways 
pdxH	pyridoxamine 5'+AC0-phosphate oxidase	1.3739942866	0.7231165822	1.6454511401	2.1891726131	2.0372727656	1.6609161289	0.6524119867	1.110098441	+AC0-0.6810363211	1.6023526745	0.4795233295	1.1745303158	4.5	BN373+AF8-25571	ERS227112+AF8-04698	ROD+AF8-14291	SL1344+AF8-1380	SL3261+AF8-1380	STMMW+AF8-14511	STM+AF8-MW14511	SEN1599	t1316	EC958+AF8-1861	NCTC13441+AF8-02243	BW25113+AF8-1638	b1638	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
pgk	phosphoglycerate kinase	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-2.5420557197	+AC0-1.7182595208	+AC0-1.6369693047	+AC0-0.8531566855	+AC0-2.3941554669	+AC0-0.2984816609	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-40191	ERS227112+AF8-01310	ROD+AF8-50671	SL1344+AF8-3045	SL3261+AF8-3045	STMMW+AF8-30301	STM+AF8-MW30301	SEN2912	t2988	EC958+AF8-3205	NCTC13441+AF8-00830	BW25113+AF8-2926	b2926	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
pgm	phosphoglucomutase, alpha+AC0-D+AC0-glucose phosphate+AC0-specific	2.162081247	+AC0-2.0004477678	1.6717566386	1.9419050631	2.1633165308	1.6555595603	0.696654017	1.3928028389	+AC0-0.8805513848	2.0109983207	1.0469525082	1.85910321	4.5	BN373+AF8-12821	ERS227112+AF8-03152	ROD+AF8-06961	SL1344+AF8-0680	SL3261+AF8-0680	STMMW+AF8-07561	STM+AF8-MW07561	SEN0662	t2177	EC958+AF8-0806	NCTC13441+AF8-03303	BW25113+AF8-0688	b0688	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
pgsA	CDP+AC0-diacylglycerol+AC0ALQ-glycerol+AC0-3+AC0-phosphate 3+AC0-phosphatidyltransferase	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-1.7958928977	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-29931	ERS227112+AF8-04251	ROD+AF8-19671	SL1344+AF8-1875	SL3261+AF8-1875	STMMW+AF8-19241	STM+AF8-MW19241	SEN1061	t0931	EC958+AF8-2179	NCTC13441+AF8-01912	BW25113+AF8-1912	b1912	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
plsB	glycerol+AC0-3+AC0-phosphate acyltransferase	+AC0-2.5452832921	+AC0-4.5	+AC0-1.0175750203	+AC0-4.5	+AC0-2.7910010912	+AC0-1.729910775	+AC0-4.5	+AC0-1.585636447	+AC0-4.5	+AC0-2.3910380931	+AC0-3.1449142218	+AC0-4.5	+AC0-4.5	BN373+AF8-00361	ERS227112+AF8-01901	ROD+AF8-37051	SL1344+AF8-4172	SL3261+AF8-4172	STMMW+AF8-41851	STM+AF8-MW41851	SEN4004	t4141	EC958+AF8-4497	NCTC13441+AF8-04445	BW25113+AF8-4041	b4041	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
plsC	1+AC0-acyl+AC0-sn+AC0-glycerol+AC0-3+AC0-phosphate acyltransferase	+AC0-4.5	+AC0-4.5	+AC0-0.5220678164	+AC0-2.0904898322	+AC0-4.5	+AC0-1.9702226765	+AC0-4.5	+AC0-1.1329970912	+AC0-4.5	+AC0-4.5	+AC0-1.7021634909	+AC0-4.5	+AC0-4.5	BN373+AF8-40881	ERS227112+AF8-01172	ROD+AF8-35641	SL1344+AF8-3147	SL3261+AF8-3147	STMMW+AF8-31331	STM+AF8-MW31331	SEN3016	t3094	EC958+AF8-3416	NCTC13441+AF8-00683	BW25113+AF8-3018	b3018	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
polA	DNA polymerase I	1.5166048373	+AC0-4.5	1.4818580185	0.1911740947	1.0835943715	+AC0-1.2622244056	+AC0-0.8398417362	+AC0-1.4205652563	+AC0-2.4851800505	1.0619313131	0.4679792727	+AC0-0.3795897634	+AC0-4.5	BN373+AF8-48041	ERS227112+AF8-00414	ROD+AF8-38971	SL1344+AF8-3947	SL3261+AF8-3947	STMMW+AF8-39641	STM+AF8-MW39641	SEN3788	t3621	EC958+AF8-4341	NCTC13441+AF8-04638	BW25113+AF8-3863	b3863	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
ppnK	NAD() kinase	+AC0-0.3188756324	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-0.8660673552	+AC0-4.5	+AC0-2.0873614934	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-35911	ERS227112+AF8-01706	ROD+AF8-25641	SL1344+AF8-2655	SL3261+AF8-2655	STMMW+AF8-26971	STM+AF8-MW26971	SEN2603	t2637	EC958+AF8-2917	NCTC13441+AF8-01127	BW25113+AF8-2615	b2615	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
prs	ribose+AC0-phosphate pyrophosphokinase	+AC0-0.7890031956	+AC0-4.5	+AC0-1.6230858323	+AC0-1.9107734895	+AC0-1.2895045012	+AC0-1.2711571467	+AC0-4.5	+AC0-1.5737769852	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-28321	ERS227112+AF8-04430	ROD+AF8-18061	SL1344+AF8-1708	SL3261+AF8-1708	STMMW+AF8-17721	STM+AF8-MW17721	SEN1259	t1096	EC958+AF8-1475	NCTC13441+AF8-02635	BW25113+AF8-1207	b1207	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
psd	phosphatidylserine decarboxylase	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-2.4015062393	+AC0-4.5	+AC0-0.6343225504	+AC0-1.4223621706	+AC0-2.0309135649	+AC0-4.5	+AC0-1.3360742698	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-01701	ERS227112+AF8-02035	ROD+AF8-32221	SL1344+AF8-4285	SL3261+AF8-4285	STMMW+AF8-42961	STM+AF8-MW42961	SEN4118	t4400	EC958+AF8-4650	NCTC13441+AF8-04293	BW25113+AF8-4160	b4160	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
pssA	CDP+AC0-diacylglycerol+AC0ALQ-serine O+AC0-phosphatidyltransferase	+AC0-0.6950379579	+AC0-4.5	+AC0-4.5	+AC0-1.3988918013	+AC0-4.5	+AC0-0.9020569698	+AC0-4.5	+AC0-1.2070198516	+AC0-4.5	+AC0-2.4589267873	+AC0-1.9156161786	+AC0-1.7219397756	+AC0-4.5	BN373+AF8-35661	ERS227112+AF8-00005	ROD+AF8-25301	SL1344+AF8-2616	SL3261+AF8-2616	STMMW+AF8-26721	STM+AF8-MW26721	SEN2579	t0258	EC958+AF8-2891	NCTC13441+AF8-01154	BW25113+AF8-2585	b2585	1	1	2	2	2	2	2	2	2	2	2	2	2	eco01100	Metabolic pathways 
purB	adenylosuccinate lyase	0.6734803412	+AC0-0.3914253176	0.5473927831	0.4655118386	0.3297383417	0.821875512	0.5458981323	0.7256497596	+AC0-0.6786715774	+AC0-0.1592854202	1.0466354666	+AC0-4.5	+AC0-4.5	BN373+AF8-17561	ERS227112+AF8-03609	ROD+AF8-12211	SL1344+AF8-1170	SL3261+AF8-1170	STMMW+AF8-12421	STM+AF8-MW12421	SEN1817	t1688	EC958+AF8-1328	NCTC13441+AF8-02781	BW25113+AF8-1131	b1131	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
pyrG	CTP synthase	+AC0-1.0508697873	+AC0-2.1446719804	+AC0-2.3924736223	+AC0-2.8456731593	+AC0-2.7752885472	+AC0-2.6478373839	+AC0-1.7832199038	+AC0-1.1642330553	+AC0-1.9654578066	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-37681	ERS227112+AF8-01536	ROD+AF8-30341	SL1344+AF8-2932	SL3261+AF8-2932	STMMW+AF8-29161	STM+AF8-MW29161	SEN2792	t2854	EC958+AF8-3049	NCTC13441+AF8-00994	BW25113+AF8-2780	b2780	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
pyrH	UMP kinase	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-1.7857056797	+AC0-4.5	+AC0-1.2854584687	+AC0-4.5	+AC0-4.5	+AC0-1.6175060872	+AC0-4.5	+AC0-4.5	BN373+AF8-06761	ERS227112+AF8-02526	ROD+AF8-01741	SL1344+AF8-0219	SL3261+AF8-0219	STMMW+AF8-02241	STM+AF8-MW02241	SEN0225	t0219	EC958+AF8-0317	NCTC13441+AF8-03806	BW25113+AF8-0171	b0171	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01100	Metabolic pathways 
