STM_MW00581	citrate carrier protein
SEN2734	Salmonella surface presentation of antigen gene type M protein
SEN2736	Chaperone specialized in the storage of effectors within the bacterial cytoplasm, maintaining them in a secretion-competent state, and allowing their immediate delivery to target cells upon contact of the bacterium with the host cells. Has been shown to chaperone
SEN2737	type iii secretion
SEN2738	Involved in the triggering of intracellular events that lead to microbial internalization. These events include increase in calcium level, redistribution of actin microfilaments, and changes in the normal structure of the microvilli. Encoded within the type III secretion system (SPI-1 TTSS), it is essential for the translocation of protein effectors into host cells. Forms a complex with SipB and SipC in the presence of their chaperone SicA
SEN2739	type iii secretion
SEN2740	type iii secretion
SEN2742	transposase IS3 IS911
SEN2743	Protein of unknown function (DUF1778)
SEN2744	Inherit from proNOG: Gcn5-related n-acetyltransferase
SEN2745	serine threonine protein phosphatase
SEN2762	Inherit from bactNOG: cytoplasmic protein
SEN2768	Involved in the biosynthesis of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP), two major building blocks of isoprenoid compounds. Catalyzes the conversion of 4- diphosphocytidyl-2-C-methyl-D-erythritol 2-phosphate (CDP-ME2P) to 2-C-methyl-D-erythritol 2,4-cyclodiphosphate (ME-CPP) with a corresponding release of cytidine 5-monophosphate (CMP) (By similarity)
SEN2769	Catalyzes the formation of 4-diphosphocytidyl-2-C- methyl-D-erythritol from CTP and 2-C-methyl-D-erythritol 4- phosphate (MEP) (By similarity)
SEN2770	Essential cell division protein. May link together the upstream cell division proteins, which are predominantly cytoplasmic, with the downstream cell division proteins, which are predominantly periplasmic (By similarity)
SEN2775	alkaline phosphatase isozyme conversion
SEN2783	CRISPR-associated helicase, Cas3
SEN2784	Salmonella outer protein D
SEN2788	6-carboxy-5,6,7,8-tetrahydropterin synthase
SEN2791	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)
SEN2792	Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen (By similarity)
SEN2794	fimbrial protein
SEN2799	fimbrial-like protein yfcP
SEN2819	l-fuculose phosphate aldolase
SEN2819A	glucose galactose transporter
SEN2825	membrane
SEN2827	(Lipo)protein
SEN2830	rard protein
SEN2841	prepilin peptidase dependent protein
SEN2843	Provides the sole de novo source of dTMP for DNA biosynthesis (By similarity)
SEN2844	Transfers the N-acyl diglyceride group on what will become the N-terminal cysteine of membrane lipoproteins (By similarity)
SEN2850	lipoprotein YgdR
SEN2860	2-deoxy-d-gluconate 3-dehydrogenase
SEN2861	Catalyzes the isomerization of 5-dehydro-4-deoxy-D- glucuronate to 3-deoxy-D-glycero-2,5-hexodiulosonate (By similarity)
SEN2864	transmembrane pair domain-containing protein
SEN2865	transport protein
SEN2866	Repressor of rcnA expression. Acts by binding specifically to the rcnA promoter in the absence of nickel and cobalt. In the presence of one of these metals, it has a weaker affinity for rcnA promoter
SEN2869	Protein of unknown function (DUF1401)
SEN2870	NA
SEN2873	Fimbrial protein
SEN2874	YfdX protein
SEN2875	membrAne
SEN2877	Toxic component of a toxin-antitoxin (TA) module. A
SEN2883	lysyl-tRNA synthetase
SEN2884	Peptide chain release factor 2 directs the termination of translation in response to the peptide chain termination codons UGA and UAA (By similarity)
SEN2889	Toxic component of a toxin-antitoxin (TA) module. Overexpression leads to growth arrest after 5 hours, with initial elongation of cells, followed by swelling. The toxic effects are abrogated by coexpression with antitoxin CptB. Interacts with cytoskeletal proteins FtsZ and MreB
SEN2891	Folate-binding protein involved in regulating the level of ATP-DnaA and in the modification of some tRNAs. It is probably a key factor in regulatory networks that act via tRNA modification, such as initiation of chromosomal replication (By similarity)
SEN2895	NA
SEN2900	hydroxylase
SEN2906	phosphoriboisomerase A
SEN2910	Mechanosensitive ion channel
SEN2911	fructose-bisphosphate aldolase
SEN2912	phosphoglycerate kinase
SEN2923	toxin-antitoxin biofilm protein
SEN2924	Dehydrogenase
SEN2925	Alcohol dehydrogenase GroES domain protein
SEN2929	(Lipo)protein
SEN2933	Catalyzes the formation of S-adenosylmethionine from methionine and ATP. The overall synthetic reaction is composed of two sequential steps, AdoMet formation and the subsequent tripolyphosphate hydrolysis which occurs prior to release of AdoMet from the enzyme (By similarity)
SEN2940	Could be a nuclease that resolves Holliday junction intermediates in genetic recombination (By similarity)
SEN2960	glyoxalase bleomycin resistance protein dioxygenase
SEN2961	acetyl-CoA hydrolase transferase
SEN2962	Dehydratase
SEN2963	Citrate lyase beta
SEN2965	Arylsulfatase (Ec 3.1.6.1)
SEN2966	Involved in 'Ser-type' sulfatase maturation under anaerobic conditions. Catalyzes the post-translational modification of serine ('Ser-72' in the arylsulfatase AtsA) into 3-oxoalanine (also known as C(alpha)-formylglycine (FGly)), by a free radical chemical mechanism initiated via the reductive cleavage of S-adenosyl-L-methionine (SAM)
SEN2967	Transcriptional regulator
SEN2968	Protein of unknown function (DUF3156)
SEN2969	Amino Acid
SEN2970	Protein of unknown function (DUF861)
SEN2971	Oxidoreductase
SEN2974	Protein of unknown function (DUF796)
SEN2975	Polysaccharide deacetylase
SEN2976	nitrilase cyanide hydratase and apolipoprotein n-acyltransferase
SEN2981	Methyl-accepting chemotaxis
SEN2996	UPF0114 protein
SEN2997	ATP-dependent RNA helicase-like protein
SEN2998	NA
SEN2999	cytoplasmic protein
SEN3003	NA
SEN3010	Histidine triad (HIT) protein
SEN3013	TRAP-type C4-dicarboxylate transport system, small permease
SEN3014	Trap dicarboxylate transporter, dctm subunit
SEN3016	1-acyl-sn-glycerol-3-phosphate acyltransferase
SEN3017	DNA topoisomerase IV, subunit A
SEN3024	DNA topoisomerase IV, subunit B
SEN3034	arylsulfate sulfotransferase
SEN3035	Thiol disulfide Interchange Protein
SEN3036	Required for disulfide bond formation in some proteins. Part of a redox system composed of DsbI and DsbL that mediates formation of an essential disulfide bond in AssT (By similarity)
SEN3037	Catalyzes the conversion of D-ribulose 5-phosphate to formate and 3,4-dihydroxy-2-butanone 4-phosphate (By similarity)
SEN3038	cytoplasmic protein
SEN3042	Catalyzes the ADP transfer to D-glycero-D-manno-heptose 1-phosphate, yielding ADP-D,D-heptose (By similarity)
SEN3046	Catalyzes the addition and repair of the essential 3'- terminal CCA sequence in tRNAs without using a nucleic acid template. Adds these three nucleotides in the order of C, C, and A to the tRNA nucleotide-73, using CTP and ATP as substrates and producing inorganic pyrophosphate. Also shows phosphatase, 2'- nucleotidase and 2',3'-cyclic phosphodiesterase activities. These phosphohydrolase activities are probably involved in the repair of the tRNA 3'-CCA terminus degraded by intracellular RNases (By similarity)
SEN3048	dihydroneopterin aldolase
SEN3051	Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine (By similarity)
SEN3052	30S ribosomal protein S21
SEN3053	DNA primase is the polymerase that synthesizes small RNA primers for the Okazaki fragments on both template strands at replication forks during chromosomal DNA synthesis (By similarity)
SEN3054	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released (By similarity)
SEN3058	methyl-accepting chemotaxis
SEN3068	membrane
SEN3069	Modulates the activity of the EnvZ OmpR two-component regulatory system, probably by directly modulating EnvZ enzymatic activity and increasing stability of phosphorylated OmpR (By similarity)
SEN3071	Inner membrane protein YqjE
SEN3075	Inner membrane protein YhaH
SEN3080	inner membrane transport protein
SEN3083	Catalyzes the formation of acetyl phosphate from acetate and ATP. Can also catalyze the reverse reaction (By similarity)
SEN3084	Involved in the import of threonine and serine into the cell, with the concomitant import of a proton (symport system) (By similarity)
SEN3085	Threonine dehydratase
SEN3086	DNA-binding transcriptional activator
SEN3089	Catalyzes the reversible retro-aldol cleavage of both 5- keto-4-deoxy-D-glucarate and 2-keto-3-deoxy-D-glucarate to pyruvate and tartronic semialdehyde (By similarity)
SEN3094	The phosphoenolpyruvate-dependent sugar phosphotransferase system (PTS), a major carbohydrate active -transport system, catalyzes the phosphorylation of incoming sugar substrates concomitant with their translocation across the cell membrane. This system is involved in galactitol transport
SEN3097	Galactitol utilization operon repressor
SEN3098	Catalyzes the 2'-O-methylation of the ribose of cytidine 1402 (C1402) in 16S rRNA (By similarity)
SEN3102	(Lipo)protein
SEN3108	lipid carrier protein
SEN3112	ErfK YbiS YcfS YnhG family protein
SEN3118	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it helps nucleate assembly of the platform of the 30S subunit by binding and bridging several RNA helices of the 16S rRNA (By similarity)
SEN3120	Associates with free 30S ribosomal subunits (but not with 30S subunits that are part of 70S ribosomes or polysomes). Essential for efficient processing of 16S rRNA. May interact with the 5'-terminal helix region of 16S rRNA (By similarity)
SEN3121	One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex (By similarity)
SEN3122	Transcription elongation factor NusA
SEN3123	Required for maturation of 30S ribosomal subunits (By similarity)
SEN3124	Citrulline--aspartate ligase
SEN3127	Catalyzes the conversion of glucosamine-6-phosphate to glucosamine-1-phosphate (By similarity)
SEN3128	dihydropteroate synthase
SEN3129	Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins (By similarity)
SEN3131	RNA-binding protein
SEN3134	An essential GTPase which binds GTP, GDP and possibly (p)ppGpp with moderate affinity, with high nucleotide exchange rates and a fairly low GTP hydrolysis rate. It may play a role in control of the cell cycle, stress response, ribosome biogenesis and in those bacteria that undergo differentiation, in morphogenesis control (By similarity)
SEN3136	50S ribosomal protein L27
SEN3137	This protein binds to 23S rRNA in the presence of protein L20 (By similarity)
SEN3138	octaprenyl-diphosphate synthase
SEN3140	Cell wall formation. Adds enolpyruvyl to UDP-N- acetylglucosamine (By similarity)
SEN3142	Part of the ABC transporter complex MlaFEDB that actively prevents phospholipid accumulation at the cell surface. Probably maintains lipid asymmetry in the outer membrane by retrograde trafficking of phospholipids from the outer membrane to the inner membrane
SEN3150	Required for the translocation of lipopolysaccharide (LPS) from the inner membrane to the outer membrane (By similarity)
SEN3151	lipopolysaccharide transport periplasmic protein lptA
SEN3152	abc transporter atp-binding protein
SEN3153	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released (By similarity)
SEN3164	Glutamate synthase
SEN3165	Protein of unknown function (DUF1016)
SEN3167	cytosine deaminase
SEN3168	response to DNA damage stimulus
SEN3170	Converts N-acetylmannosamine-6-phosphate (ManNAc-6-P) to N-acetylglucosamine-6-phosphate (GlcNAc-6-P) (By similarity)
SEN3172	Catalyzes the cleavage of N-acetylneuraminic acid (sialic acid) to form pyruvate and N-acetylmannosamine via a Schiff base intermediate (By similarity)
SEN3175	Stringent starvation protein a
SEN3177	30S ribosomal protein S9
SEN3178	This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly (By similarity)
SEN3180	Cytochrome d ubiquinol oxidase subunit III
SEN3182	protease
SEN3183	cytoplasmic protein
SEN3186	Lyase and sodium transporter (By similarity)
SEN3187	L( )-tartrate dehydratase subunit beta
SEN3190	GntR Family Transcriptional Regulator
SEN3193	Regulates arginine biosynthesis genes (By similarity)
SEN3198	p-hydroxybenzoic acid efflux pump subunit AaeA
SEN3205	Rod shape-determining protein MreD
SEN3206	Involved in formation and maintenance of cell shape (By similarity)
SEN3207	Rod shape-determining protein mreb
SEN3213	Acetyl-CoA carboxylase, biotin carboxyl carrier protein
SEN3214	acetyl-CoA carboxylase biotin carboxylase
SEN3215	membrAne
SEN3218	Catalyzes the synthesis of dihydrouridine, a modified base found in the D-loop of most tRNAs (By similarity)
SEN3219	Activates ribosomal RNA transcription. Plays a direct role in upstream activation of rRNA promoters (By similarity)
SEN3223	Transcriptional regulator
SEN3225	Resistance protein
SEN3226	membrane lipoprotein
SEN3227	carbonic anhydrase
SEN3228	Protein of unknown function (DUF1488)
SEN3229	shikimate dehydrogenase
SEN3230	Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine (By similarity)
SEN3231	dNA topoisomerase
SEN3232	Protein smg homolog
SEN3233	DNA protecting protein DprA
SEN3234	Removes the formyl group from the N-terminal Met of newly synthesized proteins. Requires at least a dipeptide for an efficient rate of reaction. N-terminal L-methionine is a prerequisite for activity but the enzyme has broad specificity at other positions (By similarity)
SEN3235	Modifies the free amino group of the aminoacyl moiety of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by (I) promoting its recognition by IF2 and (II) impairing its binding to EFTu-GTP (By similarity)
SEN3236	Specifically methylates the cytosine at position 967 (m5C967) of 16S rRNA (By similarity)
SEN3238	Channel that opens in response to stretch forces in the membrane lipid bilayer. May participate in the regulation of osmotic pressure changes within the cell (By similarity)
SEN3239	Rescues the ribosomes stalled at the 3' end of non-stop mRNAs. May induce hydrolysis of the ribosome-bound peptidyl-tRNA. This activity is crucial when the stalled ribosome can not be rescued by the SsrA(tmRNA)-SmpB quality control system
SEN3240	Transcriptional regulator
SEN3241	cytoplasmic protein
SEN3242	50S ribosomal protein L17
SEN3243	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)
SEN3244	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit (By similarity)
SEN3245	Located on the platform of the 30S subunit, it bridges several disparate RNA helices of the 16S rRNA. Forms part of the Shine-Dalgarno cleft in the 70S ribosome (By similarity)
SEN3246	Located at the top of the head of the 30S subunit, it contacts several helices of the 16S rRNA. In the 70S ribosome it contacts the 23S rRNA (bridge B1a) and protein L5 of the 50S subunit (bridge B1b), connecting the 2 subunits
SEN3248	The central subunit of the protein translocation channel SecYEG. Consists of two halves formed by TMs 1-5 and 6-10. These two domains form a lateral gate at the front which open onto the bilayer between TMs 2 and 7, and are clamped together by SecE at the back. The channel is closed by both a pore ring composed of hydrophobic SecY resides and a short helix (helix 2A) on the extracellular side of the membrane which forms a plug. The plug probably moves laterally to allow the channel to open. The ring and the pore may move independently (By similarity)
SEN3249	Binds to the 23S rRNA (By similarity)
SEN3250	50S ribosomal protein L30
SEN3251	Located at the back of the 30S subunit body where it stabilizes the conformation of the head with respect to the body (By similarity)
SEN3252	This is one of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance (By similarity)
SEN3253	This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7 L12 stalk, and near the tRNA binding site of the peptidyltransferase center (By similarity)
SEN3254	One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit (By similarity)
SEN3255	Binds 16S rRNA, required for the assembly of 30S particles and may also be responsible for determining the conformation of the 16S rRNA at the A site (By similarity)
SEN3256	This is 1 of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance. In the 70S ribosome it contacts protein S13 of the 30S subunit (bridge B1b), connecting the 2 subunits
SEN3257	One of the proteins that surrounds the polypeptide exit tunnel on the outside of the subunit (By similarity)
SEN3258	Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome (By similarity)
SEN3259	One of the primary rRNA binding proteins, it binds specifically to the 5'-end of 16S ribosomal
SEN3260	50S ribosomal protein L29
SEN3261	Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs (By similarity)
SEN3262	Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation (By similarity)
SEN3263	The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome (By similarity)
SEN3264	Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA (By similarity)
SEN3265	One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity
SEN3266	One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome (By similarity)
SEN3267	One of the primary rRNA binding proteins, this protein initially binds near the 5'-end of the 23S rRNA. It is important during the early stages of 50S assembly. It makes multiple contacts with different domains of the 23S rRNA in the assembled 50S subunit and ribosome (By similarity)
SEN3268	One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit (By similarity)
SEN3269	Involved in the binding of tRNA to the ribosomes (By similarity)
SEN3270	Cleaves type-4 fimbrial leader sequence and methylates the N-terminal (generally Phe) residue (By similarity)
SEN3271	Iron-storage protein
SEN3273	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)
SEN3274	Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome (By similarity)
SEN3275	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the head domain of the 30S subunit. Is located at the subunit interface close to the decoding center, probably blocks exit of the E-site tRNA (By similarity)
SEN3276	Interacts with and stabilizes bases of the 16S rRNA that are involved in tRNA selection in the A site and with the mRNA backbone. Located at the interface of the 30S and 50S subunits, it traverses the body of the 30S subunit contacting proteins on the other side and probably holding the rRNA structure together. The combined cluster of proteins S8, S12 and S17 appears to hold together the shoulder and platform of the 30S subunit (By similarity)
SEN3278	Part of a sulfur-relay system required for 2-thiolation of 5-methylaminomethyl-2-thiouridine (mnm(5)s(2)U) at tRNA wobble positions (By similarity)
SEN3280	YheO domain protein
SEN3281	Peptidyl-prolyl cis-trans isomerase
SEN3282	Protein SlyX homolog
SEN3283	Peptidyl-prolyl cis-trans isomerase
SEN3284	nucleic-acid-binding protein
SEN3285	glutathione-regulated potassium-efflux system protein
SEN3286	glutathione-regulated potassium-efflux system ancillary protein kefg
SEN3287	abc transporter atp-binding protein
SEN3289	Alpha beta hydrolase
SEN3290	UPF0270 protein
SEN3291	Phosphoribulokinase
SEN3292	OsmC family
SEN3294	integral membrane protein, YccS YhfK family
SEN3295	Acetylornithine aminotransferase
SEN3296	synthase component II
SEN3297	cell filamentation protein
SEN3298	uncharacterized protein yhfG
SEN3299	PPIases accelerate the folding of proteins (By similarity)
SEN3300	Protein TsgA homolog
SEN3302	nitrite reductase NADPH (small subunit)
SEN3303	nitrite transporter
SEN3305	surface-exposed virulence protein
SEN3306	NA
SEN3307	Tryptophanyl-tRNA synthetase
SEN3310	DNA adenine methylase
SEN3321	Intracellular growth attenuator
SEN3322	HAD-superfamily hydrolase subfamily IA variant 3
SEN3323	heat shock protein 15
SEN3326	phosphoenolpyruvate carboxylase
SEN3327	Histidine kinase
SEN3328	response regulator
SEN3329	Transcription elongation factor GreB
SEN3331	Ferrous iron transport protein A
SEN3332	Ferrous iron transport protein b
SEN3333	May function as a transcriptional regulator that controls feoABC expression (By similarity)
SEN3334	Transposase
SEN3342	Toxic component of a toxin-antitoxin (TA) module. A sequence-specific mRNA endoribonuclease that inhibits translation elongation and induces bacterial stasis. Cleavage occurs between the second and third residue of the Lys codon followed by a G or A (5'AAA(G A)3'), is reading-frame dependent and occurs within the 5' end of most mRNAs. Ribosome-binding confers the sequence specificity and reading frame-dependence. When overexpressed in liquid media YafQ partially inhibits protein synthesis, with a reduction in growth rate and colony growth rate. This effect is counteracted by coexpression with DinJ, the YafQ antitoxin. YafQ and DinJ together bind their own promoter, and by analogy to other TA modules probably repress its expression
SEN3343	Antitoxin component of a toxin-antitoxin (TA) module. A labile antitoxin that counteracts the effect of the YafQ toxin. YafQ and DinJ together bind their own promoter, and by analogy to other TA modules probably repress its expression
SEN3356	synthase
SEN3357	Transcriptional regulator (IclR family)
SEN3358	Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties (By similarity)
SEN3360	Catalyzes the synthesis of ADP-glucose, a sugar donor used in elongation reactions on alpha-glucans (By similarity)
SEN3363	Catalyzes the NADPH-dependent formation of L-aspartate- semialdehyde (L-ASA) by the reductive dephosphorylation of L- aspartyl-4-phosphate (By similarity)
SEN3370	Ribokinase
SEN3371	cytoplasmic protein
SEN3372	membrAne
SEN3391	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released (By similarity)
SEN3392	Part of the ABC transporter FtsEX involved in cellular division (By similarity)
SEN3394	Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Acts as a receptor for the complex formed by the signal recognition particle (SRP) and the ribosome-nascent chain (RNC). Interaction with SRP-RNC leads to the transfer of the RNC complex to the Sec translocase for insertion into the membrane, the hydrolysis of GTP by both Ffh and FtsY, and the dissociation of the SRP-FtsY complex into the individual components (By similarity)
SEN3401	Part of a sulfur-relay system required for 2-thiolation of 5-methylaminomethyl-2-thiouridine (mnm(5)s(2)U) at tRNA wobble positions. Interacts with IscS and stimulates its activity. Then, accepts a sulfur from IscS and transfers it in turn to TusD (By similarity)
SEN3405	transport protein
SEN3413	universal stress protein B
SEN3421	L-asparaginase
SEN3422	Anaerobic c4-dicarboxylate transporter
SEN3423	Phosphorylates fructoselysine to yield fructoselysine 6- phosphate
SEN3424	SIS domain
SEN3428	Inherit from COG: lysozyme
SEN3429	Transcriptional regulator
SEN3444	cytoplasmic protein
SEN3445	cellulose biosynthesis protein BcsE
SEN3449	inner membrane transport protein
SEN3460	Fimbrial protein
SEN3462	chaperone
SEN3463	Fimbrial protein
SEN3474	Gcn5-related n-acetyltransferase
SEN3475	Protein of unknown function (DUF1778)
SEN3476	acetyltransferase
SEN3476A	Transposase
SEN3476B	Transposase
SEN3477	Glycyl-tRNA synthetase beta subunit
SEN3478	glycyl-tRNA synthetase, alpha subunit
SEN3479	lipoprotein ysaB
SEN3480	Inner membrane protein yiaH
SEN3481	Inner membrane protein yiaB
SEN3484	Transcriptional Regulator AraC Family
SEN3491	Domain of unknown function (DUF386)
SEN3492	NA
SEN3493	transporter
SEN3494	transporter
SEN3498	L-xylulose 5-phosphate 3-epimerase
SEN3511	Protein of unknown function (DUF2810)
SEN3512	inner membrane lipoprotein
SEN3520	transporter
SEN3521	serine acetyltransferase
SEN3522	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
SEN3529	Glycosyl Transferase
SEN3533	heptosyltransferase II
SEN3535	O-antigen ligase
SEN3536	Lipopolysaccharide 1,2-N-acetylglucosaminetransferase
SEN3537	lipopolysaccharide core biosynthesis protein
SEN3539	lipopolysaccharide 1,2-glucosyltransferase
SEN3540	lipopolysaccharide
SEN3541	UDP-D-galactose (glucosyl)lipopolysaccharide-1, 6-D-galactosyltransferase
SEN3543	lipopolysaccharide
SEN3544	glycosyl transferase group 1
SEN3546	3-Deoxy-D-manno-octulosonic-acid transferase
SEN3547	Reversibly transfers an adenylyl group from ATP to 4'- phosphopantetheine, yielding dephospho-CoA (dPCoA) and pyrophosphate (By similarity)
SEN3549	50S ribosomal protein L33
SEN3550	50S ribosomal protein L28
SEN3552	Phosphopantothenoylcysteine decarboxylase
SEN3553	This enzyme is involved in nucleotide metabolism it produces dUMP, the immediate precursor of thymidine nucleotides and it decreases the intracellular concentration of dUTP so that uracil cannot be incorporated into DNA (By similarity)
SEN3560	membrane
SEN3562	Essential for recycling GMP and indirectly, cGMP (By similarity)
SEN3564	In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance (By similarity)
SEN3572	NA
SEN3577A	Transposase
SEN3579	protein with bipartite regulator domain
SEN3581	NA
SEN3582	Transcriptional regulator
SEN3583	Isochorismatase
SEN3584	NA
SEN3586	mgtC SapB transporter
SEN3587	inner membrane transporter YicL
SEN3596	Uncharacterized protein YicS
SEN3608	permease
SEN3609	ribokinase (EC 2.7.1.15)
SEN3625	Heat shock protein
SEN3632	heme exporter protein
SEN3634	Required for the export of heme to the periplasm for the biogenesis of c-type cytochromes (By similarity)
SEN3636	peroxidase
SEN3637	Involved in the biogenesis of TorA. Acts on TorA before the insertion of the molybdenum cofactor and, as a result, probably favors a conformation of the apoenzyme that is competent for acquiring the cofactor (By similarity)
SEN3648	hydrolase
SEN3649	Major facilitator superfamily
SEN3652	DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity)
SEN3654	DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. This DNA polymerase also exhibits 3' to 5' exonuclease activity. The beta chain is required for initiation of replication once it is clamped onto DNA, it slides freely (bidirectional and ATP- independent) along duplex DNA (By similarity)
SEN3655	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids (By similarity)
SEN3656	50s ribosomal protein l34
SEN3657	RNaseP catalyzes the removal of the 5'-leader sequence from pre-tRNA to produce the mature 5'-terminus. It can also cleave other RNA substrates such as 4.5S RNA. The protein component plays an auxiliary but essential role in vivo by binding to the 5'-leader sequence and broadening the substrate specificity of the ribozyme (By similarity)
SEN3658	Could be involved in insertion of integral membrane proteins into the membrane (By similarity)
SEN3659	Required for the insertion and or proper folding and or complex formation of integral membrane proteins into the membrane. Involved in integration of membrane proteins that insert both dependently and independently of the Sec translocase complex, as well as at least some lipoproteins. Aids folding of multispanning membrane proteins (By similarity)
SEN3661	Multidrug resistance protein MdtL
SEN3662	transcriptional regulator yidZ
SEN3663	phosphopantetheinyl transferase
SEN3664	NAD(P)H-dependent FMN reductase
SEN3665	Xanthine uracil
SEN3666	HAD-superfamily hydrolase subfamily IA, variant 3
SEN3668	Part of the ABC transporter complex PstSACB involved in phosphate import. Responsible for energy coupling to the transport system (By similarity)
SEN3670	Binding-protein-dependent transport system inner membrane component
SEN3671	Part of the ABC transporter complex PstSACB involved in phosphate import (By similarity)
SEN3672	Pts system fructose-specific
SEN3673	shikimate 5-dehydrogenase
SEN3674	Bacterial extracellular solute-binding proteins, family 5 Middle
SEN3675	Catalyzes the first step in hexosamine metabolism, converting fructose-6P into glucosamine-6P using glutamine as a nitrogen source (By similarity)
SEN3676	Catalyzes the last two sequential reactions in the de novo biosynthetic pathway for UDP-N-acetylglucosamine (UDP- GlcNAc). The C-terminal domain catalyzes the transfer of acetyl group from acetyl coenzyme A to glucosamine-1-phosphate (GlcN-1-P) to produce N-acetylglucosamine-1-phosphate (GlcNAc-1-P), which is converted into UDP-GlcNAc by the transfer of uridine 5- monophosphate (from uridine 5-triphosphate), a reaction catalyzed by the N-terminal domain (By similarity)
SEN3677	Pfam:UPF0005
SEN3684	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (By similarity)
SEN3694	transport of potassium into the cell
SEN3695	Catalyzes the interconversion of beta-pyran and beta- furan forms of D-ribose (By similarity)
SEN3701	multidrug resistance protein mdtD
SEN3708	Acetolactate synthase 2 regulatory subunit
SEN3709	Branched-chain amino acid aminotransferase
SEN3710	dihydroxy-acid dehydratase
SEN3711	Threonine dehydratase
SEN3712	Phage derived protein Gp49-like (DUF891)
