STM_MW00581	citrate carrier protein
SEN0986A	proline dehydrogenase, pyrroline-5-carboxylate dehydrogenase
SEN0987	Sodium proline symporter
SEN0987B	phosphate starvation-inducible protein
SEN0988	Transcriptional regulator
SEN0989	sodium solute
SEN0990	Converts N-acetylmannosamine-6-phosphate (ManNAc-6-P) to N-acetylglucosamine-6-phosphate (GlcNAc-6-P) (By similarity)
SEN0991	Converts alpha-N-acetylneuranimic acid (Neu5Ac) to the beta-anomer, accelerating the equilibrium between the alpha- and beta-anomers. Probably facilitates sialidase-negative bacteria to compete sucessfully for limited amounts of extracellular Neu5Ac, which is likely taken up in the beta-anomer. In addition, the rapid removal of sialic acid from solution might be advantageous to the bacterium to damp down host responses (By similarity)
SEN0992	oligogalacturonate-specific porin
SEN0993	transporter
SEN0994	Oxidoreductase
SEN0995	YCII-related
SEN1002	Protein of unknown function (DUF796)
SEN1003	ImpA domain protein
SEN1004	Type VI secretion protein IcmF
SEN1008	Sel1 domain protein repeat-containing protein
SEN1009	Sel1 domain protein repeat-containing protein
SEN1010	transposase IS3 IS911
SEN1011	Transposase
SEN1013	lipoprotein YafT
SEN1013A	NA
SEN1013B	NA
SEN1014	Cold shock protein
SEN1015	membrAne
SEN1016	Inner membrane protein YedR
SEN1017	Phosphohydrolase
SEN1018	cytosine-specific methyltransferase
SEN1019	DNA mismatch endonuclease
SEN1020	transporter
SEN1021	Inner membrane protein yedI
SEN1022	cytoplasmic protein
SEN1023	Diguanylate cyclase
SEN1024	Mannosyl-3-phosphoglycerate phosphatase
SEN1025	Protein of unknown function (DUF2525)
SEN1026	DsrB protein
SEN1027	colanic acid capsular biosynthesis activation protein A
SEN1028	Role in flagellar biosynthesis (By similarity)
SEN1029	Flagellar biosynthetic protein fliq
SEN1030	Flagellar biosynthetic protein FliP
SEN1031	flagellar biosynthesis protein, FliO
SEN1032	Flagellar motor switch protein
SEN1033	FliM is one of three proteins (FliG, FliN, FliM) that forms the rotor-mounted switch complex (C ring), located at the base of the basal body. This complex interacts with the CheY and CheZ chemotaxis proteins, in addition to contacting components of the motor that determine the direction of flagellar rotation (By similarity)
SEN1034	Flagellar basal body-associated protein FliL
SEN1035	Flagellar hook-length control protein
SEN1036	flagellar
SEN1037	Flagellum-specific ATP synthase
SEN1038	Flagellar assembly protein
SEN1039	FliG is one of three proteins (FliG, FliN, FliM) that forms the rotor-mounted switch complex (C ring), located at the base of the basal body. This complex interacts with the CheY and CheZ chemotaxis proteins, in addition to contacting components of the motor that determine the direction of flagellar rotation (By similarity)
SEN1040	The M ring may be actively involved in energy transduction (By similarity)
SEN1041	flagellar hook-basal body complex protein fliE
SEN1042	Redox protein
SEN1043	membrAne
SEN1044	(LipO)protein
SEN1045	Cytoplasmic alpha-amylase
SEN1046	it directly binds FlhC, thus inhibiting the binding of the FlhC FlhD complex to class 2 promoters, resulting in decreased expression of class 2 flagellar operons. As a chaperone, effects FliD transition to the membrane by preventing its premature polymerization, and by directing it to the export apparatus (By similarity)
SEN1047	Flagellar biosynthesis repressor of class 3a and 3b operons (RflA activity)
SEN1048	flagellar hook-associated
SEN1049	Flagellin
SEN1050	flagellar biosynthesis protein
SEN1051	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released (By similarity)
SEN1052	flagella biosynthesis protein FliZ
SEN1053	Cystine transporter subunit
SEN1054	Pyridoxal-phosphate dependent enzyme
SEN1055	(ABC) transporter
SEN1056	abc transporter atp-binding protein
SEN1057	Transcriptional
SEN1058	cytoplasmic protein
SEN1059	response regulator
SEN1060	The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrC both incises the 5' and 3' sides of the lesion. The N-terminal half is responsible for the 3' incision and the C-terminal half is responsible for the 5' incision (By similarity)
SEN1065	NLP P60 protein
SEN1067	metal-binding protein
SEN1068	tyrosine-specific transport protein
SEN1069	Protein of unknown function (DUF2492)
SEN1070	ferritin
SEN1071	(Lipo)protein
SEN1072	isomerase
SEN1073	ferritin-like protein
SEN1074	ThiJ PfpI domain-containing protein
SEN1075	Trehalose-6-phosphate phosphatase
SEN1076	Catalyzes the transfer of glucose from UDP-glucose to glucose-6-phosphate to form alpha,alpha-1,1 trehalose-6-phosphate. Acts with retention of the anomeric configuration of the UDP-sugar donor
SEN1077	Universal stress protein
SEN1078	Functions in complex with FlhC as a master transcriptional regulator that regulates transcription of several flagellar and non-flagellar operons by binding to their promoter region. Activates expression of class 2 flagellar genes, including fliA, which is a flagellum-specific sigma factor that turns on the class 3 genes. Also regulates genes whose products function in a variety of physiological pathways (By similarity)
SEN1079	Functions in complex with FlhD as a master transcriptional regulator that regulates transcription of several flagellar and non-flagellar operons by binding to their promoter region (By similarity)
SEN1080	flagellar motor protein MotA
SEN1081	flagellar motor protein
SEN1082	CheA Signal Transduction Histidine Kinase
SEN1083	Chemotaxis protein cheW
SEN1084	methyl-accepting chemotaxis
SEN1085	Methylation of the membrane-bound methyl-accepting chemotaxis proteins (MCP) to form gamma-glutamyl methyl ester residues in MCP (By similarity)
SEN1086	catalyzes the demethylation of specific methylglutamate residues introduced into the chemoreceptors (methyl-accepting chemotaxis proteins) by CheR (By similarity)
SEN1087	Chemotaxis protein chey
SEN1088	Plays an important role in bacterial chemotaxis signal transduction pathway by accelerating the dephosphorylation of phosphorylated CheY (CheY-P) (By similarity)
SEN1089	flagellar biosynthetic protein flhB
SEN1090	Flagellar biosynthesis protein flha
SEN1091	Flagellar protein flhE
SEN1092	Glycosyl Hydrolase Family 88
SEN1093	penicillin-binding protein 2
SEN1095	YecM protein
SEN1096	Involved in copper homeostasis (By similarity)
SEN1097	Catalyzes the conversion of 5-hydroxyuridine (ho5U) to 5-methoxyuridine (mo5U) at position 34 in tRNA (By similarity)
SEN1098	Catalyzes the conversion of 5-methoxyuridine (mo5U) to uridine-5-oxyacetic acid (cmo5U) at position 34 in tRNA. May also participate in the methylation of uridine-5-oxyacetic acid (cmo5U) to uridine-5-oxyacetic acid methyl ester (mcmo5U) (By similarity)
SEN1099	Inner membrane protein yecN
SEN1100	Conserved protein
SEN1101	Isochorismatase
SEN1103	dATP pyrophosphohydrolase
SEN1104	transcriptional regulatory protein
SEN1105	Nuclease that resolves Holliday junction intermediates in genetic recombination. Cleaves the cruciform structure in supercoiled DNA by nicking to strands with the same polarity at sites symmetrically opposed at the junction in the homologous arms and leaves a 5'-terminal phosphate and a 3'-terminal hydroxyl group (By similarity)
SEN1106	Repressor protein MetJ
SEN1107	NA
SEN1108	The RuvA-RuvB complex in the presence of ATP renatures cruciform structure in supercoiled DNA with palindromic sequence, indicating that it may promote strand exchange reactions in homologous recombination. RuvAB is a helicase that mediates the Holliday junction migration by localized denaturation and reannealing. RuvA stimulates, in the presence of DNA, the weak ATPase activity of RuvB (By similarity)
SEN1109	The RuvA-RuvB complex in the presence of ATP renatures cruciform structure in supercoiled DNA with palindromic sequence, indicating that it may promote strand exchange reactions in homologous recombination. RuvAB is a helicase that mediates the Holliday junction migration by localized denaturation and reannealing (By similarity)
SEN1110	High-affinity zinc uptake system membrane protein
SEN1111	Part of the ABC transporter complex ZnuABC involved in zinc import. Responsible for energy coupling to the transport system (By similarity)
SEN1112	Pfam:SBP_bac_9
SEN1113	peptidase
SEN1115	Pyruvate kinase
SEN1116	DNA-binding transcriptional regulator HexR
SEN1117	glucose-6-phosphate 1-dehydrogenase
SEN1118	Phosphogluconate dehydratase
SEN1119	Aldolase
SEN1120	Catalyzes two reactions the first one is the production of beta-formyl glycinamide ribonucleotide (GAR) from formate, ATP and beta GAR
SEN1121	DNA damage-inducible protein
SEN1122	secreted protein
SEN1123	Inner membrane protein YebE
SEN1124	Oligopeptidase b
SEN1125	exodeoxyribonuclease X
SEN1126	nitrilase cyanide hydratase and apolipoprotein n-acyltransferase
SEN1127	DNA polymerase III subunit theta
SEN1128	resistance protein
SEN1129	resistance protein
SEN1130	exported protein
SEN1131	Integrase
SEN1132	Excisionase
SEN1133	alkyl sulfatase
SEN1137	bacteriophage protein
SEN1138	Bacteriophage Lambda NinG protein
SEN1139	Antitermination protein
SEN1142	NA
SEN1143	PipA protein
SEN1144	phage holin
SEN1145	lysozyme
SEN1146	Rz endopeptidase from lambdoid prophage DLP12
SEN1147	Protein of unknown function (DUF1441)
SEN1148	Attachment invasion
SEN1149	Destroys radicals which are normally produced within the cells and which are toxic to biological systems (By similarity)
SEN1150	minor tail protein
SEN1151	Tail assembly protein
SEN1152	host specificity protein
SEN1154	Tail fiber assembly protein
SEN1156	Resolvase domain-containing protein
SEN1158	Integrase
SEN1160	The RecE (also known as exonuclease VIII) pathway is an alternative pathway for the initiation of homologous recombination in Escherichia coli. The RecE pathway is activated in recB, recC sbcA (suppressors of recB and recC) mutants. Activation of the RecE pathway results in the production of at least two phage proteins relevant for recombinational repair. RecE is a duplex DNA-specific exonuclease which produces 3' overhangs in duplex DNA by preferentially degrading the 5'-ending strands. Recombinational repair of E.coli chromosomal DNA involves as well other proteins RecA, RecF, RecJ, RecO, RecR, and RuvC
SEN1161	Lytic enzyme
SEN1162	Protein of unknown function (DUF2514)
SEN1164	Protein of unknown function (DUF1441)
SEN1165	Phage terminase large subunit (GpA)
SEN1167	side tail fiber protein homolog from lambdoid prophage
SEN1171B	Resolvase domain-containing protein
SEN1172	membrane
SEN1173	NA
SEN1174	membrAne
SEN1174A	Integrase
SEN1176	Transposase
SEN1179	acetyltransferase
SEN1180	NA
SEN1181	Uncharacterized protein YcgX
SEN1184	Serine threonine protein phosphatase 1
SEN1185	uncharacterized protein yebW
SEN1186	Protein of unknown function (DUF1480)
SEN1187	Specifically methylates the cytosine at position 1407 (m5C1407) of 16S rRNA (By similarity)
SEN1188	Mammalian cell entry related domain protein
SEN1189	paraquat-inducible protein A
SEN1190	GAF domain-containing protein
SEN1191	may be a structural element that influences the osmotic activation of ProP at a post-translational level (By similarity)
SEN1192	protease
SEN1193	Heat shock protein HtpX
SEN1194	Major Facilitator
SEN1195	transcriptional regulator
SEN1196	NA
SEN1197	Protein MgrB homolog
SEN1198	exported protein
SEN1199	Protein of unknown function (DUF2627)
SEN1200	Cold shock protein
SEN1201	peptidoglycan synthetase ftsI
SEN1202	methyltransferase
SEN1203	Probably functions as a manganese efflux pump (By similarity)
SEN1204	UPF0266 membrane protein
SEN1205	PTS system mannose-specific transporter subunit IID
SEN1206	PTS system mannose fructose sorbose family IIC subunit
SEN1207	pts system
SEN1209	Integral membrane protein TerC family
SEN1210	(EAL) domain protein
SEN1211	L-serine dehydratase
SEN1212	Nudix hydrolase
SEN1213	synthase component I
SEN1214	UPF0181 protein
SEN1215	endoribonuclease L-PSP
SEN1216	Helicase
SEN1218	Outer membrane lipoprotein
SEN1219	Long-chain-fatty-acid-CoA ligase
SEN1220	Exonuclease involved in the 3' processing of various precursor tRNAs. Initiates hydrolysis at the 3'-terminus of an RNA molecule and releases 5'-mononucleotides (By similarity)
SEN1221	Prevents the cell division inhibition by proteins MinC and MinD at internal division sites while permitting inhibition at polar sites. This ensures cell division at the proper site by restricting the formation of a division septum at the midpoint of the long axis of the cell (By similarity)
SEN1222	site-determining protein
SEN1223	Cell division inhibitor that blocks the formation of polar Z ring septums. Rapidly oscillates between the poles of the cell to destabilize FtsZ filaments that have formed before they mature into polar Z rings. Prevents FtsZ polymerization (By similarity)
SEN1224	YcgL domain-containing protein
SEN1225	hydrolase
SEN1226	UPF0260 protein
SEN1228	Overexpression increases levels of unsaturated fatty acids and suppresses both the temperature-sensitive fabA6 mutation and cold-sensitive secG null mutation
SEN1229	Domain of unknown function (DUF1971)
SEN1230	Required for disulfide bond formation in some periplasmic proteins. Acts by oxidizing the DsbA protein (By similarity)
SEN1231	Na( ) H( ) antiporter that extrudes sodium in exchange for external protons (By similarity)
SEN1232	Multifunctional regulator of fatty acid metabolism (By similarity)
SEN1233	SpoVR family
SEN1234	Oxidative deamination of D-amino acids (By similarity)
SEN1235	Catalyzes the interconversion of L-alanine and D- alanine. May also act on other amino acids (By similarity)
SEN1236	Participates in control of cell volume in low-osmolarity conditions (By similarity)
SEN1237	LD-carboxypeptidase A
SEN1238	Transglycosylase SLT domain
SEN1239	Acts as a flagellar brake, regulating swimming and swarming in a bis-(3'-5') cyclic diguanylic acid (c-di-GMP)- dependent manner. Increasing levels of c-di-GMP lead to decreased motility (By similarity)
SEN1240	Transglycosylase associated protein
SEN1241	Provides the cells with the ability to utilize trehalose at high osmolarity by splitting it into glucose molecules that can subsequently be taken up by the phosphotransferase-mediated uptake system (By similarity)
SEN1242	Glutamate dehydrogenase
SEN1244	oxidase, subunit II
SEN1245	(Ubiquinol oxidase) subunit I
SEN1246	hydrogenase-1 operon protein HyaF
SEN1247	Hydrogenase-1 operon protein HyaE
SEN1248	Hydrogenase 1 maturation protease
SEN1249	b-type cytochrome subunit
SEN1250	large subunit
SEN1251	small subunit
SEN1255	GTP-dependent nucleic acid-binding protein engD
SEN1257	transcription activated by CRP (cyclic AMP receptor protein), a global transcription factor involved in regulation of metabolism in enteric bacteria
SEN1258	Sulfate transporter
SEN1264	Methylates the class 1 translation termination release factors RF1 PrfA and RF2 PrfB on the glutamine residue of the universally conserved GGQ motif (By similarity)
SEN1265	transcriptional regulator
SEN1266	Transcriptional regulator
SEN1268	Calcium sodium proton antiporter
SEN1269	Cation transport regulator
SEN1270	DsrE family
SEN1271	Putative invasin
SEN1272	regulatoR
SEN1273	Nitrate nitrite sensor protein
SEN1274	Nitrite extrusion protein
SEN1275	Nitrate reductase 2 alpha
SEN1276	nitrate reductase
SEN1277	nitrate reductase
SEN1278	Nitrate reductase 2, gamma subunit
SEN1279	Sel1 domain protein repeat-containing protein
SEN1280	Formyltetrahydrofolate deformylase
SEN1281	SEC-C motif
SEN1282	K07001 NTE family protein
SEN1283	response regulator
SEN1284	Nucleotidyl transferase
SEN1285	DNA-binding protein H-ns
SEN1286	thymidine kinase
SEN1287	alcohol dehydrogenase
SEN1288	Multiple antibiotic resistance (MarC)-related protein
SEN1289	Periplasmic oligopeptide-binding protein
SEN1290	Oligopeptide transporter permease
SEN1291	Permease protein
SEN1292	(ABC) transporter
SEN1293	(ABC) transporter
SEN1294	Ion transport protein
SEN1295	Catalyzes the reversible phosphatidyl group transfer from one phosphatidylglycerol molecule to another to form cardiolipin (CL) (diphosphatidylglycerol) and glycerol (By similarity)
SEN1296	YciI-like protein
SEN1297	transport protein TonB
SEN1298	acyl-CoA thioester hydrolase
SEN1299	probably involved in intracellular septation (By similarity)
SEN1300	UPF0259 membrane protein
SEN1301	Ferredoxin
SEN1302	outer membrane protein W
SEN1303	catalase
SEN1304	transition metal ion binding
SEN1305	response to DNA damage stimulus
SEN1306	Stress-induced bacterial acidophilic repeat motif
SEN1307	The alpha subunit is responsible for the aldol cleavage of indoleglycerol phosphate to indole and glyceraldehyde 3- phosphate (By similarity)
SEN1308	The beta subunit is responsible for the synthesis of L- tryptophan from indole and L-serine (By similarity)
SEN1309	Indole-3-glycerol phosphate synthase
SEN1310	Anthranilate synthase component II
SEN1311	anthranilate synthase component I
SEN1312	PHP domain protein
SEN1313	SUA5 YciO YrdC YwlC family protein
SEN1314	Pseudouridine synthase
SEN1315	cob(I)yrinic acid a,c-diamide adenosyltransferase
SEN1316	Short chain dehydrogenase
SEN1317	peptidase
SEN1318	Protein of unknown function (DUF2498)
SEN1320	Transcriptional regulator
SEN1321	aconitate hydratase
SEN1323	Phosphatidylglycerophosphatase B
SEN1324	inner membrane protein yciS
SEN1326	Catalyzes the decarboxylation of orotidine 5'- monophosphate (OMP) to uridine 5'-monophosphate (UMP) (By similarity)
SEN1327	translation initiation factor, Sui1
SEN1328	Transcriptional regulator
SEN1329	Diguanylate cyclase phosphodiesterase
SEN1330	Involved in mRNA degradation. Hydrolyzes single-stranded polyribonucleotides processively in the 3' to 5' direction (By similarity)
SEN1331	oxidoreductase
SEN1335	NA
SEN1336	EAL domain
SEN1337	peptide transport system atp-binding protein
SEN1338	Peptide ABC transporter ATP-binding protein
SEN1339	peptide transport system, permease
SEN1340	peptide transport system permease protein
SEN1341	peptide transport periplasmic protein
SEN1342	psp operon transcriptional activator
SEN1343	Phage shock protein A
SEN1344	phage shock protein B
SEN1345	phage shock protein C
SEN1346	Peripheral inner membrane phage-shock protein
SEN1347	phage shock protein E
SEN1348	ATP-binding protein
SEN1349	UPF0283 membrane protein
SEN1350	transcriptional regulator TyrR
SEN1351	Has antioxidant activity. Could remove peroxides or H(2)O(2) (By similarity)
SEN1352	mandelate racemase muconate lactonizing
SEN1353	murein peptide amidase A
SEN1354	Periplasmic oligopeptide-binding protein
SEN1355	NmrA-like family
SEN1356	lysr family transcriptional regulator
SEN1357	reductase
SEN1358	short-chain dehydrogenase reductase
SEN1359	Transcriptional regulator
SEN1360	Bacterial protein of unknown function (DUF903)
SEN1361	AraC_E_bind
SEN1362	NA
SEN1363	Protein of unknown function (DUF3442)
SEN1365	Thiol peroxidase
SEN1365A	NA
SEN1366	B3 4 domain protein
SEN1367	Transcriptional regulator
SEN1368	Mechanosensitive ion channel
SEN1369	membrAne
SEN1370	Universal stress protein
SEN1371	Fumarate nitrate reduction transcriptional regulator
SEN1372	Involved in the cellular defense against the biological effects of O6-methylguanine (O6-MeG) in DNA. Repairs alkylated guanine in DNA by stoichiometrically transferring the alkyl group at the O-6 position to a cysteine residue in the enzyme. This is a suicide reaction the enzyme is irreversibly inactivated (By similarity)
SEN1373	Smr protein MutS2
SEN1374	methyl-accepting chemotaxis
SEN1375	transporter
SEN1376	ATP-dependent RNA helicase DbpA
SEN1377	Required for the thiolation of cytidine in position 32 of tRNA, to form 2-thiocytidine (s(2)C32) (By similarity)
SEN1378	Phage integrase family
SEN1379	The RecE (also known as exonuclease VIII) pathway is an alternative pathway for the initiation of homologous recombination in Escherichia coli. The RecE pathway is activated in recB, recC sbcA (suppressors of recB and recC) mutants. Activation of the RecE pathway results in the production of at least two phage proteins relevant for recombinational repair. RecE is a duplex DNA-specific exonuclease which produces 3' overhangs in duplex DNA by preferentially degrading the 5'-ending strands. Recombinational repair of E.coli chromosomal DNA involves as well other proteins RecA, RecF, RecJ, RecO, RecR, and RuvC
SEN1381	cell division inhibitor protein
SEN1384	Bacterial protein of unknown function (DUF977)
SEN1385	NA
SEN1386	NA
SEN1387	cell killing protein encoded within cryptic prophage
SEN1389	bacteriophage protein
SEN1390	bacteriophage protein
SEN1391	Protein of unknown function (DUF1133)
SEN1394	Prophage membrane protein
SEN1395	Pfam:DUF847
SEN1398	Phage integrase family
SEN1399	multidrug resistance protein
SEN1400	Universal stress protein F
SEN1401	Oxidoreductase required for the transfer of electrons from pyruvate to flavodoxin (By similarity)
SEN1403	cytoplasmic protein
SEN1404	Heat shock protein HslJ
SEN1405	d-lactate dehydrogenase
SEN1406	Dicarboxylate transport
SEN1407	(Lipo)protein
SEN1408	Conserved protein
SEN1409	Glutathione-dependent formaldehyde-activating GFA
SEN1410	Catalyzes the reductive cleavage of azo bond in aromatic azo compounds to the corresponding amines. Requires NADH, but not NADPH, as an electron donor for its activity (By similarity)
SEN1411	ATP-dependent helicase hrpA
SEN1412	DUF218 domain
SEN1413	cytochrome b561
SEN1414	sam-dependent methyltransferase
SEN1415	membrAne
SEN1417	amino acid ABC transporter
SEN1418	(ABC) transporter
SEN1419	Amino acid ABC transporter, permease
SEN1420	PBPb
SEN1421	cold-shock DNA-binding domain protein
SEN1422	hydrolase activity, acting on ester bonds
SEN1423	NA
SEN1424	Regulator protein
SEN1425	alcohol dehydrogenase
SEN1426	methyl-accepting chemotaxis
SEN1427	transcriptional regulator
SEN1428	cytoplasmic protein
SEN1429	Carboxylesterase
SEN1430	Involved in the biosynthesis of osmoregulated periplasmic glucans (OPGs) (By similarity)
SEN1431	YceI
SEN1432	GntR Family Transcriptional Regulator
SEN1433	L-idonate 5-dehydrogenase
SEN1434	transporter
SEN1435	gluconate 5-dehydrogenase
SEN1436	Mandelate racemase muconate lactonizing protein
SEN1437	Catalyzes the transfer of an acetyl group from acetyl- CoA to the 6'-amino group of aminoglycoside molecules conferring resistance to antibiotics containing the purpurosamine ring (By similarity)
SEN1438	sgc region transcriptional regulator
SEN1439	3-epimerase
SEN1440	The phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS), a major carbohydrate active -transport system, catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane (By similarity)
SEN1441	sgc region protein sgcQ
SEN1442	The phosphoenolpyruvate-dependent sugar phosphotransferase system (PTS), a major carbohydrate active -transport system, catalyzes the phosphorylation of incoming sugar substrates concomitant with their translocation across the cell membrane (By similarity)
SEN1443	The phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS), a major carbohydrate active -transport system, catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane (By similarity)
SEN1444	KpLE2 phage-like element
SEN1445	ribosomal-protein-L7 L12-serine acetyltransferase
SEN1446	acetyltransferase YdcK
SEN1447	Potassium-tellurite ethidium and proflavin transporter
SEN1448	tellurite resistance protein tehB
SEN1449	Lipoprotein
SEN1450	benzoate
SEN1451	Transcriptional regulator
SEN1452	Peptidase U32
SEN1453	Protein of unknown function (DUF2554)
SEN1456	D-alanyl-D-alanine dipeptidase
SEN1457	Transcriptional regulator
SEN1458	dehydrogenase
SEN1459	membrane
SEN1460	virulence
SEN1461	virulence protein SrfB
SEN1462	Virulence effector protein
SEN1463	Protein of unknown function (DUF2526)
SEN1464	Inner membrane protein ydcZ
SEN1465	N-acetyltransferase
SEN1466	alcohol dehydrogenase
SEN1467	Transcriptional regulator
SEN1468	TonB-dependent receptor
SEN1469	receptor
SEN1470	(Lipo)protein
SEN1471	L-asparagine permease
SEN1472	NA
SEN1473	N-hydroxyarylamine O-acetyltransferase
SEN1474	phenazine biosynthesis protein, PhzF family
SEN1475	Nitrate reductase 2, gamma subunit
SEN1476	Respiratory nitrate reductase 2 delta chain
SEN1477	nitrate reductase
SEN1478	Nitrate reductase 2 alpha
SEN1479	Nitrite extrusion protein
SEN1480	transcriptional regulator
SEN1481	methyl viologen resistance protein
SEN1482	Glutathione-dependent formaldehyde-activating GFA
SEN1483	membrAne
SEN1484	Inner membrane protein YddG
SEN1485	formate dehydrogenase, alpha subunit
SEN1486	formate dehydrogenase, beta subunit
SEN1487	formate dehydrogenase
SEN1488	alcohol dehydrogenase
SEN1489	NAD-dependent malic enzyme
SEN1490	Although this protein associates with the 30S subunit of the ribosome it is not considered to be a bona fide ribosomal protein
SEN1491	biofilm-dependent modulation protein
SEN1492	Osmotically inducible protein
SEN1493	Acid-resistance protein
SEN1494	Protein of unknown function (DUF1264)
SEN1495	maltooligosyl trehalose trehalohydrolase
SEN1496	Maltooligosyl trehalose synthase
SEN1497	Hydrolyzes the alpha-1,6-glucosidic linkages in glycogen which has first been partially depolymerized by phosphorylase. Shows only very little activity with native glycogen (By similarity)
SEN1498	aminotransferase class I and II
SEN1499	Na H antiporter
SEN1500	Transcriptional regulator
SEN1501	Protein of unknown function (DUF1493)
SEN1502	addiction module toxin, RelE StbE family
SEN1503	endoribonuclease L-PSP
SEN1504	Transfers and isomerizes the ribose moiety from AdoMet to the 7-aminomethyl group of 7-deazaguanine (preQ1-tRNA) to give epoxyqueuosine (oQ-tRNA) (By similarity)
SEN1505	transcriptional regulator
SEN1506	monooxygenase, FAD-binding
SEN1507	Major Facilitator Superfamily
SEN1508	PhoPQ-activated pathogenicity-related protein
SEN1509	Major Facilitator
SEN1510	Dehydrogenase
SEN1511	GntR Family Transcriptional Regulator
SEN1512	Choloylglycine hydrolase
SEN1513	small subunit
SEN1514	large subunit
SEN1515	b-type cytochrome subunit
SEN1516	Hydrogenase 1 maturation protease
SEN1517	Hydrogenase assembly chaperone hypC hupF
SEN1518	hydrogenase expression formation protein
SEN1519	Hydrogenase expression
SEN1521	Probably plays a role in a hydrogenase nickel cofactor insertion step (By similarity)
SEN1522	membrAne
SEN1523	Calcium/calmodulin dependent protein kinase II Association
SEN1524	UPF0187 protein YneE
SEN1525	cytoplasmic protein
SEN1526	glutaminase EC 3.5.1.2
SEN1527	dehydrogenase
SEN1528	Transcriptional regulator
SEN1529	Involved in the efflux of sugars. The physiological role may be the reduction of the intracellular concentration of toxic sugars or sugar metabolites (By similarity)
SEN1530	multiple drug resistance protein MarC
SEN1531	Repressor of the marRAB operon which is involved in the activation of both antibiotic resistance and oxidative stress genes
SEN1532	May be a transcriptional activator of genes involved in the multiple antibiotic resistance (Mar) phenotype. It can also activate genes such as sodA, zwf and micF
SEN1533	multiple antibiotic resistance protein
SEN1534	O-acetylserine cysteine export protein
SEN1535	Major Facilitator
SEN1536	single-species biofilm formation on inanimate substrate
SEN1537	Competence damage-inducible protein A
SEN1538	Stress-induced bacterial acidophilic repeat motif
SEN1539	peptidyl-dipeptidase Dcp
SEN1540	Dehydrogenase
SEN1541	transcriptional regulator
SEN1542	selenium carrying protein
SEN1543	Mannitol dehydrogenase
SEN1543A	Major Facilitator
SEN1544	Alcohol dehydrogenase GroES domain protein
SEN1545	Mandelate racemase muconate lactonizing protein
SEN1546	UPF0060 membrane protein
SEN1547	UPF0482 protein
SEN1548	spermidine N(1)-acetyltransferase
SEN1549	UPF0257 lipoprotein ynfC
SEN1550	Protein of unknown function (DUF1161)
SEN1551	Dimethyl sulfoxide reductase
SEN1552	Dimethyl sulfoxide reductase
SEN1553	anaerobic dimethyl sulfoxide reductase
SEN1554	dmso reductase anchor subunit
SEN1555	leader-binding protein dmsD
SEN1556	binding-protein-dependent transport systems inner membrane component
SEN1557	substrate-binding region of ABC-type glycine betaine transport system
SEN1558	(ABC) transporter
SEN1559	(ABC) transporter
SEN1560	Probably acts as an electrical shunt for an outwardly- directed proton pump that is linked to amino acid decarboxylation, as part of the extreme acid resistance (XAR) response (By similarity)
SEN1561	Catalyzes a mechanistically unusual reaction, the ATP- dependent insertion of CO2 between the N7 and N8 nitrogen atoms of 7,8-diaminopelargonic acid (DAPA) to form an ureido ring (By similarity)
SEN1562	Transcriptional
SEN1563	LysR family transcriptional regulator
SEN1564	Major Facilitator
SEN1565	peptidase S1 and S6, chymotrypsin Hap
SEN1566	Catalyzes the excretion of spermidine (By similarity)
SEN1567	Catalyzes the excretion of spermidine (By similarity)
SEN1568	transport protein
SEN1569	The transhydrogenation between NADH and NADP is coupled to respiration and ATP hydrolysis and functions as a proton pump across the membrane (By similarity)
SEN1570	The transhydrogenation between NADH and NADP is coupled to respiration and ATP hydrolysis and functions as a proton pump across the membrane (By similarity)
SEN1571	exported protein
SEN1572	Arginine ornithine antiporter
SEN1573	membrAne
SEN1574	regulatoR
SEN1575	membrAne
SEN1576	Amidohydrolase family
SEN1577	Histidine kinase
SEN1578	Trans-acting protein required for termination of DNA replication. Binds to DNA replication terminator sequences (terA to terF) to prevent the passage of replication forks. The termination efficiency will be affected by the affinity of this protein for the terminator sequence (By similarity)
SEN1579	fumarate hydratase Class II
SEN1581	Fumarate hydratase (Fumerase)
SEN1582	mannose-6-phosphate isomerase
SEN1583	exported protein
SEN1583A	PTS system maltose- and glucose-specific
SEN1583B	aminotransferase class I and II
SEN1584	Catalyzes the hydrolytic deamination of adenine to hypoxanthine. Plays an important role in the purine salvage pathway and in nitrogen catabolism (By similarity)
SEN1585	Oxidoreductase
SEN1586	OriC-binding nucleoid-associated protein
SEN1587	inner membrane protein ydgK
SEN1588	Required for nitrogen fixation. May be part of a membrane complex functioning as an intermediate in the electron transport to nitrogenase (By similarity)
SEN1589	Required for nitrogen fixation. May be part of a membrane complex functioning as an intermediate in the electron transport to nitrogenase (By similarity)
SEN1590	Required for nitrogen fixation. May be part of a membrane complex functioning as an intermediate in the electron transport to nitrogenase (By similarity)
