Gene_EGGNOG	Gene_Keio	Pathway	DEG: Synechococcus elongatus PCC 7942	DEG: Mycobacterium tuberculosis H37Rv	DEG: Porphyromonas gingivalis ATCC 33277	DEG: Bacteroides thetaiotaomicron VPI-5482	DEG: Bacteroides fragilis 638R	DEG: Francisella novicida U112	DEG: Acinetobacter baumannii ATCC 17978	DEG: Pseudomonas aeruginosa PAO1	DEG: Shewanella oneidensis MR-1	TraDIS: Klebsiella pneumoniae Ecl8	TraDIS: Klebsiella pneumoniae RH201207	TraDIS: Escherichia coli ST131 EC958	TraDIS: Escherichia coli UPEC ST131 NCTC13441	Keio: Escherichia coli BW25113	TraDIS: Escherichia coli BW25113	TraDIS: Citrobacter rodentium ICC168	TraDIS: Salmonella Typhi Ty2	DEG: Salmonella enterica serovar Typhi	TraDIS: Salmonella Typhimurium A130	TraDIS: Salmonella Typhimurium D23580	TraDIS: Salmonella Typhimurium SL3261	TraDIS: Salmonella Typhimurium SL1344	TraDIS: Salmonella Enteritidis P125109	Symbiont: Secondary endosymbiont of Ctenarytaina eucalypti	Symbiont: Candidatus Moranella endobia PCIT	Symbiont: Secondary endosymbiont of Heteropsylla cubana	Symbiont: Candidatus Baumannia cicadellinicola strain BGSS	Symbiont: Candidatus Baumannia cicadellinicola strain B-GSS	Symbiont: Baumannia cicadellinicola str. Hc (Homalodisca coagulata)	Symbiont: Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus strain 757	Symbiont: Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri strain 675	Symbiont: Candidatus Blochmannia vafer str. BVAF	Symbiont: Candidatus Blochmannia floridanus	Symbiont: Candidatus Blochmannia pennsylvanicus str. BPEN	Symbiont: Candidatus Blochmannia chromaiodes str. 640	Symbiont: Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis	Symbiont: Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans	Symbiont: Buchnera aphidicola str. Sg (Schizaphis graminum)	Symbiont: Buchnera aphidicola str. G002 (Myzus persicae)	Symbiont: Buchnera aphidicola str. USDA (Myzus persicae)	Symbiont: Buchnera aphidicola str. F009 (Myzus persicae)	Symbiont: Buchnera aphidicola str. W106 (Myzus persicae)	Symbiont: Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)	Symbiont: Buchnera aphidicola str. APS (Acyrthosiphon pisum)	Symbiont: Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum)	Symbiont: Buchnera aphidicola str. LL01 (Acyrthosiphon pisum)	Symbiont: Buchnera aphidicola str. TLW03 (Acyrthosiphon pisum)	Symbiont: Buchnera aphidicola str. JF98 (Acyrthosiphon pisum)	Symbiont: Buchnera aphidicola str. JF99 (Acyrthosiphon pisum)	Symbiont: Buchnera aphidicola str. 5A (Acyrthosiphon pisum)	Symbiont: Buchnera aphidicola str. Ua (Uroleucon ambrosiae)	Symbiont: Buchnera aphidicola str. Bp (Baizongia pistaciae)	Symbiont: Buchnera aphidicola BCc	Symbiont: Buchnera aphidicola (Cinara tujafilina)	Symbiont: Sodalis glossinidius str. morsitans	Symbiont: Sodalis praecaptivus strain HS1	Symbiont: Candidatus Sodalis pierantonius str. SOPE	DEG: Haemophilus influenzae Rd KW20	DEG: Vibrio cholerae N16961	DEG: Burkholderia pseudomallei K96243	DEG: Burkholderia thailandensis E264	DEG: Rhodopseudomonas palustris CGA009	DEG: Agrobacterium fabrum str. C58	DEG: Caulobacter crescentus	DEG: Brevundimonas subvibrioides ATCC 15264	DEG: Helicobacter pylori 26695	DEG: Mycoplasma genitalium G37	DEG: Mycoplasma pulmonis UAB CTIP	DEG: Streptococcus agalactiae A909	DEG: Streptococcus pyogenes NZ131	DEG: Streptococcus pyogenes MGAS5448	DEG: Staphylococcus aureus NCTC 8325	DEG: Staphylococcus aureus N315	DEG: Bacillus subtilis 168	Locus: Klebsiella pneumoniae Ecl8	Locus: Klebsiella pneumoniae RH201207	Locus: Escherichia coli ST131 EC958	Locus: Escherichia coli UPEC ST131 NCTC13441	Locus: Escherichia coli BW25113 (Keio)	Locus: Escherichia coli BW25113	Locus: Citrobacter rodentium ICC168	Locus: Salmonella Typhi Ty2	Locus: Salmonella Typhimurium A130	Locus: Salmonella Typhimurium D23580	Locus: Salmonella Typhimurium SL3261	Locus: Salmonella Typhimurium SL1344	Locus: Salmonella Enteritidis P125109	Enterobacteriaceae %essential	Endosymbiont %conserved	Gammaproteobacteria %essential	Gammaproteobacteria (excluding symbionts) %essential	Proteobacteria %essential	Proteobacteria (excluding symbionts) %essential	Bacteria %essential	Bacteria (excluding symbionts) %essential	Enterobacteriaceae: Ancestral essentiality	E. coli + Salmonella + Citrobacter: Ancestral essentiality	Salmonella + Citrobacter: Ancestral essentiality	Klebsiella: Ancestral essentiality	E. coli: Ancestral essentiality	Salmonella: Ancestral essentiality
hemN1	-	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A	A	A	A	A	A	A	A	A/N	3.52626139274286	2.65999941705376	2.59792248733644	2.8303945177626	2.88718427547475	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	-	-	-	-	-	-	-	-	STM_MW39761	STMMW_39761	SL3261_3958	SL1344_3958	SEN3799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
rnd	-	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A	A	A	A	A	A	A	A	A/N	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	E	A/N	E	E	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	0.0	0.0	0.0	4.9	11.1	4.1	7.5	0	0	0	0	0	0
yfgG	yfgG	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.97699415196905	3.14776035042531	2.22432473023564	2.92426851178082	N	2.98912195560608	2.78399316186135	A	A/N	2.23632862351242	A	2.97918375134304	2.1945168355024	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	P	P	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_34881	ERS227112_03750	EC958_2811	NCTC13441_01235	b2504	BW25113_2504	ROD_24471	-	STM_MW25231	-	SL3261_2468	SL1344_2468	-	0.0	5.9	3.7	0.0	3.3	0.0	2.7	0.0	0	0	0	0	0	0
cyoE	cyoE	Oxidative phosphorylation / Porphyrin and chlorophyll metabolism / Metabolic pathways / Biosynthesis of secondary metabolites	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.58020148847886	2.33506680617075	2.03720296189879	2.10746463352712	N	2.24671996179195	2.44281522882276	1.72612995574715	A/N	1.92443825973571	1.95035124303131	2.05319429907156	1.88515558713763	1.79209279925937	A	A	A	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_08791	ERS227112_02741	EC958_0566	NCTC13441_03551	b0428	BW25113_0428	ROD_04841	t2421	STM_MW05101	STMMW_05101	SL3261_0433	SL1344_0433	SEN0421	0.0	91.2	57.4	0.0	50.8	0.0	41.9	0.0	0	0	0	0	0	0
upp	upp	Pyrimidine metabolism / Metabolic pathways	E	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.80771613917107	2.5518209120494	2.29177760326388	2.21348525974754	N	1.42255259851668	2.67774890443795	1.94533506004892	A/N	1.25676309138852	2.03779157953524	2.1512054154696	2.21639801142285	1.92755941906215	A	A	A	A	A	A	P	P	P	P	P	P	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	P	P	P	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	E	E	A/N	A/N	A/N	A/N	E	A/N	BN373_34801	ERS227112_03758	EC958_2803	NCTC13441_01242	b2498	BW25113_2498	ROD_24411	t0359	STM_MW25151	STMMW_25151	SL3261_2461	SL1344_2461	SEN2479	0.0	26.5	16.7	0.0	14.8	0.0	17.6	10.0	0	0	0	0	0	0
pmbA	pmbA	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.3705752664176	2.51983267692892	2.16392195769941	2.10347337631853	N	2.42638033752854	2.21865504243104	1.57429897897771	A/N	1.93527493769322	2.20062563865292	2.27633034526273	2.2881316125502	1.73984846616027	A	P	A	A	A	A	P	P	P	P	P	P	A	A	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	A	P	A	P	P	E	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_02421	ERS227112_02107	EC958_4728	NCTC13441_04212	b4235	BW25113_4235	ROD_32961	t4472	STM_MW43801	STMMW_43801	SL3261_4368	SL1344_4368	SEN4187	0.0	73.5	48.1	5.0	42.6	3.7	35.1	2.5	0	0	0	0	0	0
lepA	lepA	-	A/N	A/N	E	A/N	A/N	A/N	E	A/N	A/N	2.01296873866205	1.33817885043203	1.75886734575163	1.49581776949329	N	1.86840688921936	2.60609243135123	1.61497039405633	A/N	1.55220192143351	2.18690512741153	2.17362387792023	2.00424583281326	1.94793255199953	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	E	A/N	BN373_35521	ERS227112_00019	EC958_2875	NCTC13441_01170	b2569	BW25113_2569	ROD_25151	t0274	STM_MW25991	STMMW_25991	SL3261_2545	SL1344_2545	SEN2563	0.0	100.0	64.8	5.0	57.4	3.7	50.0	7.5	0	0	0	0	0	0
bcp	bcp	-	A/N	A/N	E	A/N	A/N	A/N	A/N	A/N	A/N	2.30099338028219	2.00433668953588	2.57909290249242	2.25917984109622	N	2.15489275170033	2.50305659975593	2.25201211240615	A/N	2.11457685690801	2.27789140273915	2.51849843895905	2.11668104196018	2.07626243369061	A	A	A	A	A	A	A	A	A	P	P	P	A	A	P	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	P	P	P	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_34731	ERS227112_03765	EC958_2797	NCTC13441_01248	b2480	BW25113_2480	ROD_24291	t0368	STM_MW25091	STMMW_25091	SL3261_2454	SL1344_2454	SEN2470	0.0	20.6	13.0	0.0	11.5	0.0	10.8	2.5	0	0	0	0	0	0
sgcQ	sgcQ	-	E	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.56904248086078	2.70611548270444	2.11136801742691	2.13676395038594	N	1.9090487416888	A	1.50711945732794	A/N	1.54965413580852	1.4212407571502	1.84684681210752	2.06690818952228	1.76649488394983	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	P	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_23031	ERS227112_04940	EC958_0027	NCTC13441_04098	b4303	BW25113_4303	-	t1524	STM_MW16101	STMMW_16101	SL3261_1545	SL1344_1545	SEN1441	0.0	2.9	1.9	0.0	1.6	0.0	2.7	2.5	0	0	0	0	0	0
rfaL	-	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A	A	A	A	A	A	2.90996487174487	3.58590134902206	A/N	3.1920553080197	2.85173090483696	2.88516794387988	1.87902925162931	2.77561916332999	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	E	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	-	-	-	-	-	-	ROD_41951	t3806	STM_MW37021	STMMW_37021	SL3261_3679	SL1344_3679	SEN3535	0.0	0.0	1.9	5.0	1.6	3.7	1.4	2.5	0	0	0	0	0	0
recB	recB	Homologous recombination	A/N	E	A/N	A/N	A/N	A/N	E	A/N	A/N	1.94448281770305	0.809898387546156	1.5698342487333	0.840368450724948	N	1.13700523775729	1.50079792416642	1.21601333606965	A/N	0.945450266858238	1.83417702570416	1.66915128290751	1.78285678110262	1.37787148300711	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	A	A	A	P	P	P	P	P	P	P	P	P	E	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_38591	ERS227112_01439	EC958_3120	NCTC13441_00920	b2820	BW25113_2820	ROD_28621	t2902	STM_MW29551	STMMW_29551	SL3261_2972	SL1344_2972	SEN2836	0.0	91.2	61.1	10.0	54.1	7.4	45.9	7.5	0	0	0	0	0	0
moeA	moeA	-	E	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.07620341309385	1.64621783293827	2.15852943426103	2.21997689571985	N	1.4531838182003	1.98582727913451	1.51067662556773	A/N	2.22589500002201	1.98824628525622	2.46543113121477	2.59751023368947	1.54977227634002	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	P	P	A	E	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_14261	ERS227112_03297	EC958_0939	NCTC13441_03168	b0827	BW25113_0827	ROD_08321	t2043	STM_MW08971	STMMW_08971	SL3261_0822	SL1344_0822	SEN0792	0.0	5.9	5.6	5.0	4.9	3.7	5.4	5.0	0	0	0	0	0	0
dinI	-	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A	A	A	A	A	A	A	A	A/N	3.94918491735973	3.03599643239883	3.24541182777736	3.24587756625385	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	-	-	-	-	-	-	-	-	STM_MW10301	STMMW_10301	SL3261_0957	SL1344_0957	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
trmB	trmI	-	A/N	E	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.09088490065136	2.08732347115396	2.2528308217113	2.12000484243638	N	2.46691191367916	2.12292537139646	1.44024675653202	A/N	2.06522711061582	2.0899779606818	2.23864163224838	2.30283440918511	1.60218685312157	A	P	P	A	A	A	A	A	A	A	A	A	A	A	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	A	P	P	P	P	A/N	E	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_40481	ERS227112_01271	EC958_3250	NCTC13441_00788	b2960	BW25113_2960	ROD_50271	t3022	STM_MW30701	STMMW_30701	SL3261_3084	SL1344_3084	SEN2952	0.0	61.8	40.7	5.0	36.1	3.7	31.1	5.0	0	0	0	0	0	0
mdcB	-	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A	A	A	A	A	A	A	A	A/N	1.8252283797983	1.87008673157048	2.0584757365621	2.44545235347672	1.70334385682263	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	-	-	-	-	-	-	-	-	STM_MW08211	STMMW_08211	SL3261_0746	SL1344_0746	SEN0714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
rpmI	-	-	A/N	A/N	E	A/N	E	A/N	A/N	A/N	A/N	A	A	A	A	A	A	A	A	A/N	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	E	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	0.0	0.0	0.0	1.6	3.7	4.1	7.5	0	0	0	0	0	0
cioB	-	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.18563985195639	1.6148329919199	A	A	A	A	2.08761355433958	2.14504204747132	A/N	1.55408278657896	2.02290139859491	2.39776176331105	2.38608974767904	1.83540497555823	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_25101	ERS227112_04744	-	-	-	-	ROD_03911	t2503	STM_MW04311	STMMW_04311	SL3261_0356	SL1344_0356	SEN0344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
leuS	leuS	Aminoacyl-tRNA biosynthesis	E	E	E	E	E	E	E	E	E	-4.5	-4.5	-2.37581787725147	-4.5	E	-2.38960880634056	-1.89659860974919	-2.76190189712147	E	-1.79204791848132	-2.05623404415373	-4.5	-2.47294992411472	-1.02472254996054	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	E	A/N	E	E	E	A/N	E	E	A/N	E	E	E	E	E	E	E	E	BN373_12541	ERS227112_03116	EC958_0761	NCTC13441_03353	b0642	BW25113_0642	ROD_06621	t2219	STM_MW07131	STMMW_07131	SL3261_0636	SL1344_0636	SEN0617	100.0	100.0	98.1	95.0	95.1	88.9	95.9	92.5	1	1	1	1	1	1
rpiA	rpiA	Pentose phosphate pathway / Metabolic pathways / Biosynthesis of secondary metabolites / Microbial metabolism in diverse environments / Biosynthesis of antibiotics / Carbon metabolism / Biosynthesis of amino acids	E	A/N	A/N	A/N	A/N	A/N	E	E	A/N	1.61653620002141	-1.50576295494562	0.497431109146058	1.97148978828791	N	1.32559999386667	1.4229880801475	-1.80221733807786	E	-0.367749185887417	0.868806535381557	-1.27675504323632	-0.896319879571789	0.130210741143981	P	A	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	E	E	A/N	E	E	E	E	A/N	A/N	A/N	A/N	A/N	A/N	A/N	E	A/N	A/N	BN373_40131	ERS227112_01316	EC958_3194	NCTC13441_00841	b2914	BW25113_2914	ROD_49161	t2981	STM_MW30231	STMMW_30231	SL3261_3039	SL1344_3039	SEN2906	42.9	97.1	79.6	50.0	77.0	51.9	66.2	40.0	0	0	0	0	0	1
ycgV	ycgV	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A	A	A	A	N	2.58057280788814	2.24922763209579	A	A/N	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	-	-	-	-	b1202	BW25113_1202	ROD_16841	-	-	-	-	-	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
radC	yfjY	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A	A	2.79520193223218	2.94474742407924	N	1.99976899242433	A	A	A/N	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	-	-	EC958_2342	NCTC13441_01713	b2644	BW25113_2644	-	-	-	-	-	-	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
dsdA	dsdA	Glycine, serine and threonine metabolism	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.12123631361256	2.3100784855956	2.42663485602415	2.46910849300755	N	1.87532343800306	1.89355964445849	1.86746975798719	A/N	2.45917049084901	2.15169069705661	2.29148750576005	2.23956490885518	1.90832281853705	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_47251	ERS227112_00494	EC958_2695	NCTC13441_01350	b2366	BW25113_2366	ROD_40531	t3715	STM_MW37931	STMMW_37931	SL3261_3770	SL1344_3770	SEN3619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
agmK	-	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A	A	A	A	A	A	2.02909155742599	1.79707731521269	A/N	1.78546295398227	1.80057339652388	2.00162196469935	1.94698420721954	1.49352537795852	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	P	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	-	-	-	-	-	-	ROD_11981	t3883	STM_MW36231	STMMW_36231	SL3261_3598	SL1344_3598	SEN3456	0.0	2.9	1.9	0.0	1.6	0.0	1.4	0.0	0	0	0	0	0	0
yfiB	yfiB	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	1.99311914778065	2.17648175200588	1.95992765304012	2.14314269932313	N	2.08018048448435	2.05023486296981	A	A/N	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_35801	ERS227112_01717	EC958_2907	NCTC13441_01136	b2605	BW25113_2605	ROD_25551	-	-	-	-	-	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
arcR	-	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A	A	A	A	A	A	A	3.34993779944575	A/N	3.66915856009492	3.05504879067857	2.94402079402123	1.9321724434342	2.91302975229524	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	-	-	-	-	-	-	-	t4635	STM_MW45401	STMMW_45401	SL3261_4523	SL1344_4523	SEN4352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ligA	ligA	DNA replication / Base excision repair / Nucleotide excision repair / Mismatch repair	E	A/N	E	E	E	E	E	E	E	-1.89788124349018	-4.5	-4.5	-2.25104256430899	E	-2.25275920492787	-1.6655786483894	-4.5	E	-1.56675573619204	-1.81874122833722	-4.5	-2.91931364659783	-1.74601262634474	P	P	P	P	P	P	P	P	P	P	P	P	P	P	A	P	P	P	P	P	P	P	P	P	A	P	P	P	P	P	P	P	P	P	E	E	E	E	E	E	E	E	A/N	E	E	E	E	E	E	E	E	BN373_34161	ERS227112_03821	EC958_5024	NCTC13441_01307	b2411	BW25113_2411	ROD_23701	t0431	STM_MW24461	STMMW_24461	SL3261_2390	SL1344_2390	SEN2408	100.0	94.1	96.3	100.0	95.1	96.3	94.6	95.0	1	1	1	1	1	1
perM	yfgO	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.30810915768617	1.90712307761113	2.42974316144195	2.24814360632567	N	1.81975774565964	2.34887220192043	1.7728672162687	A/N	1.79027694801207	1.8835405530651	2.12931041542526	2.07182386277444	1.94824616586129	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_34741	ERS227112_03764	EC958_2798	NCTC13441_01247	b2493	BW25113_2493	ROD_24331	t0364	STM_MW25101	STMMW_25101	SL3261_2456	SL1344_2456	SEN2474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
astD	astD	Arginine and proline metabolism / Metabolic pathways	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	1.94069702992905	0.801894505205302	2.37225062069608	1.91729878982501	N	2.18176093949793	1.51521233931129	0.587603267035095	A/N	2.25068133089386	1.71270308736823	1.5948741367233	2.53842607142386	1.07605400043957	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_18461	ERS227112_05510	EC958_1966	NCTC13441_02134	b1746	BW25113_1746	ROD_13111	t1184	STM_MW13121	STMMW_13121	SL3261_1240	SL1344_1240	SEN1738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
yecM	yecM	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.31464890507356	1.50720396930612	2.0304432160157	1.8480994800848	N	2.55885778205957	1.80874557506216	1.61168595918929	A/N	2.72974756368495	1.91314805375078	2.03693400304265	2.3407681040886	1.77657742532296	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	P	P	P	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_29731	ERS227112_04274	EC958_2098	NCTC13441_02006	b1875	BW25113_1875	ROD_19191	t0969	STM_MW18911	STMMW_18911	SL3261_1843	SL1344_1843	SEN1095	0.0	8.8	5.6	0.0	4.9	0.0	4.1	0.0	0	0	0	0	0	0
sseG	-	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A	A	A	A	A	A	A	3.0379801482684	A/N	3.44616825990465	2.6630259212819	2.70700213624229	2.91092894139428	2.8770512116496	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	-	-	-	-	-	-	-	t1273	STM_MW14101	STMMW_14101	SL3261_1339	SL1344_1339	SEN1640	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
