HI# (TIGR)	result	SWISS-Prot name	accno	length	gene name	synonyms
HI0952	nd	RADC_HAEIN	P44952	234	radC	 
HI0953	nd	DFP_HAEIN	P44953	400	dfp	 
HI0954	nd	DUT_HAEIN	P43792	151	dut	 
HI0955	nd	TTK_HAEIN	P29280	218	ttk	 
HI0956	nd	YHEU_HAEIN	P44954	56	 	 
HI0957	nd	CRP_HAEIN	P29281	224	crp;	cap
HI0958	nd	YBJF_HAEIN	P44083	392	 	 
HI0959	nd	NAGZ_HAEIN	P44955	351	nagZ	 
HI0960	nd	Y960_HAEIN	P44084	116	 	 
HI0961	nd	YCFF_HAEIN	P44956	116	 	 
HI0962	nd	SYI_HAEIN	P43824	941	ileS	 
HI0963	nd	RIBF_HAEIN	P44957	308	ribF	 
HI0964	nd	MVIN_HAEIN	P44958	510	mviN	 
HI0965	nd	RS20_HAEIN	P44959	87	rpsT	 
HI0966	nd	Y966_HAEIN	P44085	188	 	 
HI0967	nd	Y967_HAEIN	P44086	34	 	 
HI0968	e1	MENB_HAEIN	P44960	285	menB	 
HI0969	nd	MENC_HAEIN	P44961	347	menC	 
HI0970	se	AROQ_HAEIN	P43878	149	aroQ	 
HI0971	nd	BCCP_HAEIN	P43874	155	accB;	fabE
HI0972	e1	ACCC_HAEIN	P43873	448	accC	 
HI0973	non	Y973_HAEIN	Q57133	289	 	 
HI0974	e1	Y974_HAEIN	P44087	368	 	 
HI0974.1	nd	YHDT_HAEIN	P46455	85	 	 
HI0975	e1	PANF_HAEIN	P44963	484	panF	 
HI0976	e	Y976_HAEIN	Q57147	128	 	 
HI0977	e1	Y977_HAEIN	P44088	191	 	 
HI0978	e1	PRMA_HAEIN	P44402	296	prmA	 
HI0979	non	YHDG_HAEIN	P44965	330	 	 
HI0980	non	FIS_HAEIN	P44966	99	fis	 
HI0981	e	SSRP_HAEIN	P44967	161	smpB	 
HI0982	e1	K6PF_HAEIN	P43863	321	pfkA	 
HI0983	e2	Y983_HAEIN	P43907	193	 	 
HI0984	e1	YAAA_HAEIN	P43908	272	 	 
HI0985	e2	SMF_HAEIN	P43862	373	smf;	dprA
HI0986	e1	LEU1_HAEIN	P43861	515	leuA	 
HI0987	e1	LEU3_HAEIN	P43860	358	leuB	 
HI0988	e	LEU2_HAEIN	P44968	469	leuC	 
HI0989	e	LEUD_HAEIN	P44438	200	leuD	 
HI0990	non	IGA0_HAEIN	P44969	1694	iga;	iga1
HI0991	nd	RECF_HAEIN	P43767	359	recF	 
HI0992	e	DP3B_HAEIN	P43744	366	dnaN	 
HI0993	e	DNAA_HAEIN	P43742	454	dnaA	 
HI0994	e	TBP1_HAEIN	P44970	912	tbpA;	tbp1
HI0995	e2	TBP2_HAEIN	P44971	625	tbpB;	tbp2
HI0996	e	Y996_HAEIN	P44089	146	 	 
HI0997	e1	Y997_HAEIN	P44090	229	 	 
HI0998	e	RL34_HAEIN	P44370	44	rpmH;	rpl34
HI0999	e1	RNPA_HAEIN	P44306	119	rnpA	 
HI1000	nd	YIDD_HAEIN	P44972	86	 	 
HI1001	e	60IM_HAEIN	P44973	541	 	 
HI1002	e	TRME_HAEIN	P43730	461	trmE;	thdF
HI1003	nd	Deleted	 	 	 	 
HI1004	non	PPID_HAEIN	P44092	622	ppiD	 
HI1005	*non	YA05_HAEIN	P44974	519	 	 
HI1006	e	LSPA_HAEIN	P44975	171	lspA	 
HI1007	e	LYTB_HAEIN	P44976	314	lytB	 
HI1008	e	YBAV_HAEIN	Q57134	112	 	 
HI1009	nd	YGBI_HAEIN	P44978	256	 	 
HI1010	e1	YGBJ_HAEIN	P44979	301	 	 
HI1011	e	YGBK_HAEIN	P44093	413	 	 
HI1012	non	YGBL_HAEIN	Q57199	210	 	 
HI1013	e	YGBM_HAEIN	Q57151	258	 	 
HI1014	nd	YA14_HAEIN	P44094	315	 	 
HI1015	e1	YA15_HAEIN	P71364	488	 	 
HI1016	e	YA16_HAEIN	P44095	142	 	 
HI1017	e	YA17_HAEIN	O86231	213	 	 
HI1018	nd	Pseudogene	 	 	 	 
HI1019	non	TBPA_HAEIN	P44984	332	tbpA	 
HI1020	e	THIP_HAEIN	P44985	538	thiP	 
HI1021	e	THIQ_HAEIN	P44986	229	thiQ	 
HI1022	e1	BIOB_HAEIN	P44987	333	bioB	 
HI1023	e	TKT_HAEIN	P43757	665	tktA	 
HI1024	non	SGBH_HAEIN	P44988	225	sgbH	 
HI1025	non	SGBE_HAEIN	P44989	231	sgbE	 
HI1026	non	SGBU_HAEIN	P44990	286	sgbU	 
HI1027	e	LYXK_HAEIN	P44991	485	lyx;	lyxK;
HI1028	e	YIAO_HAEIN	P44992	328	 	 
HI1029	e	YIAN_HAEIN	P44993	425	 	 
HI1030	e	YIAM_HAEIN	P44994	161	 	 
HI1031	e	YIAK_HAEIN	P44995	332	 	 
HI1032	non	YIAJ_HAEIN	P44996	268	 	 
HI1033	nd	SERB_HAEIN	P44997	314	serB	 
HI1034	non	YAJQ_HAEIN	P44096	163	 	 
HI1035	*non	CORA_HAEIN	P44998	315	corA	 
HI1036	*non	YGGT_HAEIN	P44097	181	 	 
HI1037	e1	YAFJ_HAEIN	P44098	294	 	 
HI1038	nd	YA38_HAEIN	P44099	400	 	 
HI1039	nd	Deleted	 	 	 	 
HI1040	non	T2D5_HAEIN	P44999	334	HinDVRP	 
HI1041	e1	MTD5_HAEIN	P45000	304	HinDVM	 
HI1042	nd	YA42_HAEIN	Q57195	617	 	 
HI1043	e	YA43_HAEIN	P44101	166	 	 
HI1044	e	YNFI_HAEIN	P44102	203	 	 
HI1045	e	DMSC_HAEIN	P45002	279	dmsC	 
HI1046	e	DMSB_HAEIN	P45003	205	dmsB	 
HI1047	e	DMSA_HAEIN	P45004	806	dmsA	 
HI1048	e2	YA48_HAEIN	P44103	369	 	 
HI1049	e	YA49_HAEIN	Q57347	97	 	 
HI1050	nd	YA50_HAEIN	P71365	92	 	 
HI1051	non	YA51_HAEIN	Q57180	614	 	 
HI1052	nd	YA52_HAEIN	P45008	298	 	 
HI1053	e1	YA53_HAEIN	Q57498	113	 	 
HI1054	e	YA54_HAEIN	P44104	460	 	 
HI1055	e1	T3RH_HAEIN	P44105	514	 	 
HI1056	*non	T3MH_HAEIN	P71366	629	 	 
HI1058	*non	YA58_HAEIN	P44106	194	 	 
HI1059	e1	RNH2_HAEIN	P43808	197	rnhB	 
HI1060	*non	LPXB_HAEIN	P45011	390	lpxB	 
HI1061	*non	LPXA_HAEIN	P43887	262	lpxA	 
HI1062	e1	FABZ_HAEIN	P45012	148	fabZ	 
HI1063	se	YA63_HAEIN	P44107	70	 	 
HI1064	*non	YA64_HAEIN	P71367	485	 	 
HI1065	e	PYRH_HAEIN	P43890	237	pyrH;	smbA
HI1066	*non	NRFD_HAEIN	P45014	321	nrfD	 
HI1067	*non	NRFC_HAEIN	P45015	225	nrfC	 
HI1068	e	NRFB_HAEIN	P45016	226	nrfB	 
HI1069	e1	NRFA_HAEIN	P45017	538	nrfA	 
HI1070	non	HRPA_HAEIN	P45018	1304	hrpA	 
HI1073	nd	YGDD_HAEIN	P45019	124	 	 
HI1074	nd	YEAL_HAEIN	P44110	150	 	 
HI1075	e1	CYOB_HAEIN	P45020	378	 	 
HI1076	e	CYOA_HAEIN	P45021	521	 	 
HI1077	e1	PYRG_HAEIN	P44341	545	pyrG	 
HI1077.1	e	YA7B_HAEIN	Q57425	134	 	 
HI1078	*non	YA78_HAEIN	P45022	257	 	 
HI1079	*non	YA79_HAEIN	P45023	210	 	 
HI1080	non	YA80_HAEIN	P45024	257	 	 
HI1081	nd	MURA_HAEIN	P45025	424	murA;	murZ
HI1082	nd	YRBA_HAEIN	P45026	85	 	 
HI1083	nd	YA83_HAEIN	Q57407	105	 	 
HI1084	non	YRBC_HAEIN	P45028	214	 	 
HI1085	non	YRBD_HAEIN	P45029	167	 	 
HI1086	e	YRBE_HAEIN	P45030	261	 	 
HI1087	e1	YRBF_HAEIN	P45031	264	 	 
HI1088	nd	SODM_HAEIN	P43725	215	sodA	 
HI1089	e2	CCMA_HAEIN	P45032	212	ccmA	 
HI1090	non	CCMB_HAEIN	P45033	221	ccmB	 
HI1091	*non	CCMC_HAEIN	P45034	246	ccmC	 
HI1092	nd	CCMD_HAEIN	P45035	67	ccmD	 
HI1093	e	CCME_HAEIN	P45036	173	ccmE	 
HI1094	e1	CCMF_HAEIN	P45037	648	ccmF	 
HI1095	nd	DSE1_HAEIN	P45038	181	dsbE-1	 
HI1096	e1	CCMH_HAEIN	P46458	459	ccmH	 
HI1098	nd	YA98_HAEIN	P44111	44	 	 
HI1099	nd	YA99_HAEIN	P44112	102	 	 
HI1100	e	DNLJ_HAEIN	P43813	679	ligN;	lig
HI1101	e	ZIPA_HAEIN	P44113	328	zipA	 
HI1102	e	CYSZ_HAEIN	P45039	272	cysZ	 
HI1103	non	CYSK_HAEIN	P45040	316	cysK	 
HI1104	nd	YB04_HAEIN	P71369	407	 	 
HI1105	e	RFAF_HAEIN	P45042	346	rfaF	 
HI1106	non	XYLR_HAEIN	P45043	387	xylR	 
HI1107	e	YB07_HAEIN	Q57007	468	 	 
HI1108	e2	Pseudogene	 	 	 	 
HI1109	non	XYLH_HAEIN	P45045	375	xylH	 
HI1110	non	XYLG_HAEIN	P45046	503	xylG	 
HI1111	non	XYLF_HAEIN	P45047	332	xylF	 
HI1112	non	XYLA_HAEIN	P44398	439	xylA	 
HI1113	non	XYLB_HAEIN	P44401	493	xylB	 
HI1114	non	RFAD_HAEIN	P45048	308	rfaD	 
HI1115	nd	THIX_HAEIN	P43787	167	 	 
HI1116	nd	DEOC_HAEIN	P44430	223	deoC	 
HI1117	e1	COMM_HAEIN	P45049	509	comM	 
HI1118	e	ENGB_HAEIN	P46453	205	engB	 
HI1119	e	YB19_HAEIN	Q57273	292	 	 
HI1120	e2	OPPF_HAEIN	P45051	332	oppF	 
HI1121	nd	OPPD_HAEIN	P45052	323	oppD	 
HI1122	nd	OPPC_HAEIN	P45053	311	oppC	 
HI1123	non	OPPB_HAEIN	P45054	306	oppB	 
HI1124	non	OPPA_HAEIN	P71370	541	oppA	 
HI1125	non	TAL_HAEIN	P45055	317	tal;	talB
HI1126	nd	YB26_HAEIN	P44114	76	 	 
HI1127	e	YB27_HAEIN	O86234	138	 	 
HI1128	nd	YB28_HAEIN	P44115	58	 	 
HI1129	non	YABB_HAEIN	P45056	151	 	 
HI1130	non	YABC_HAEIN	P45057	321	 	 
HI1131	e	FTSL_HAEIN	P45058	107	ftsL	 
HI1132	e2	FTSI_HAEIN	P45059	610	ftsI	 
HI1133	e2	MURE_HAEIN	P45060	488	murE	 
HI1134	e2	MURF_HAEIN	P45061	457	murF	 
HI1135	nd	MRAY_HAEIN	P45062	360	mraY	 
HI1136	e1	MURD_HAEIN	P45063	437	murD	 
HI1137	*non	FTSW_HAEIN	P45064	394	ftsW	 
HI1138	e1	MURG_HAEIN	P45065	351	murG	 
HI1139	e	MURC_HAEIN	P45066	475	murC	 
HI1140	e1	DDL_HAEIN	P44405	306	ddl;	ddlB
HI1141	e1	FTSQ_HAEIN	P45067	254	ftsQ	 
HI1142	e	FTSA_HAEIN	P45068	425	ftsA	 
HI1143	e1	FTSZ_HAEIN	P45069	421	ftsZ	 
HI1144	nd	LPXC_HAEIN	P45070	305	lpxC;	envA
HI1145	e1	PHEA_HAEIN	P43900	385	pheA	 
HI1146	e1	YHBJ_HAEIN	P45071	285	 	 
HI1147	e	PTSN_HAEIN	P45072	164	ptsN	 
HI1148	*non	YHBG_HAEIN	P45073	241	 	 
HI1149	nd	YHBN_HAEIN	P45074	172	 	 
HI1150	nd	YRBK_HAEIN	P45075	209	 	 
HI1151	e	YJGA_HAEIN	P45076	178	 	 
HI1152	e	PMBA_HAEIN	P45077	451	pmbA	 
HI1153	non	HPRT_HAEIN	P45078	179	hpt	 
HI1154	non	YDJN_HAEIN	P45079	440	 	 
HI1155	nd	NRDG_HAEIN	P45080	155	nrdG	 
HI1156	*non	CYDC_HAEIN	P45081	576	cydC	 
HI1157	e2	CYDD_HAEIN	P45082	586	cydD	 
HI1158	non	TRXB_HAEIN	P43788	318	trxB	 
HI1159	non	YBBN_HAEIN	P43786	217	 	 
HI1160	e	HEMZ_HAEIN	P43868	323	hemH;	visA
HI1161	e	YB61_HAEIN	P45083	138	 	 
HI1162	non	YCJD_HAEIN	P44116	157	 	 
HI1163	non	YDIJ_HAEIN	Q57252	1027	 	 
HI1164	non	OM51_HAEIN	P43840	353	ompA;	ompP5
HI1165	*non	YDHD_HAEIN	P45085	120	 	 
HI1166	*non	YB66_HAEIN	Q57004	366	 	 
HI1167	*non	SERC_HAEIN	P44336	362	serC	 
HI1168	non	YEEX_HAEIN	P44117	114	 	 
HI1169	e	YB69_HAEIN	P44118	188	 	 
HI1170	e1	 	 	 	pabB	 
HI1171	e1	YB71_HAEIN	P44339	193	 	 
HI1172	non	METK_HAEIN	P43762	384	metK	 
HI1173	e	SPRT_HAEIN	P44119	156	sprT	 
HI1174	nd	OPA_HAEIN	P45088	121	opa	 
HI1175	nd	Deleted	 	 	 	 
HI1176	e	YB76_HAEIN	P44120	73	 	 
HI1177	*non	ARTM_HAEIN	P45089	227	artM	 
HI1178	*non	ARTQ_HAEIN	P45090	221	artQ	 
HI1179	e	ARTI_HAEIN	P45091	239	artI	 
HI1180	e	ARTP_HAEIN	P45092	243	artP	 
HI1181	nd	LPCA_HAEIN	P45093	194	lpcA;	gmhA;
HI1182/HI1183	e1	DNLI_HAEIN	P44121	268	ligA	 
HI1184	e	DPPF_HAEIN	P45094	327	dppF	 
HI1185	e	DPPD_HAEIN	P45095	330	dppD	 
HI1186	*non	DPPC_HAEIN	P51000	295	dppC	 
HI1187	nd	DPPB_HAEIN	P45096	333	dppB	 
HI1188	e1	UVRD_HAEIN	Q02322	727	uvrD;	mutB
HI1189	e	YGCF_HAEIN	P45097	211	 	 
HI1190	*non	YB90_HAEIN	P44123	141	 	 
HI1191	nd	YBAX_HAEIN	P44124	196	 	 
HI1192	nd	YB92_HAEIN	P44125	47	 	 
HI1193	*non	ILVE_HAEIN	P54689	343	ilvE	 
HI1194	e	GCVA_HAEIN	P45099	301	gcvA	 
HI1195	*non	YGDE_HAEIN	P45100	363	 	 
HI1196	e2	SUCC_HAEIN	P45101	389	sucC	 
HI1197	nd	SUCD_HAEIN	P45102	293	sucD	 
HI1198	nd	YCIO_HAEIN	P45103	207	 	 
HI1199	nd	YCIL_HAEIN	P45104	357	 	 
HI1200	*non	CYSB_HAEIN	P45105	323	cysB	 
HI1201	e1	YFCB_HAEIN	P45106	314	 	 
HI1202	e	YFCN_HAEIN	P44126	167	 	 
HI1203	*non	PTA_HAEIN	P45107	711	pta	 
HI1204	non	ACKA_HAEIN	P44406	401	ackA	 
HI1205	e	YC05_HAEIN	P44127	147	 	 
HI1206	nd	CVPA_HAEIN	P45108	163	cvpA	 
HI1207	non	PUR1_HAEIN	P43854	505	purF	 
HI1208	*non	YFCH_HAEIN	P71373	296	 	 
HI1209	nd	ARGR_HAEIN	P45110	151	argR	 
HI1210	e1	MDH_HAEIN	P44427	311	mdh	 
HI1211	nd	SYK_HAEIN	P43825	502	lysS;	lysU
HI1212	e1	RF2_HAEIN	P43918	365	prfB	 
HI1213	e1	DSBC_HAEIN	P45111	229	dsbC;	xprA
HI1214	nd	RECJ_HAEIN	P45112	575	recJ	 
HI1215	nd	YC15_HAEIN	P44128	235	 	 
HI1216	nd	MTN_HAEIN	P45113	229	mtn;	pfs
HI1217	non	YC17_HAEIN	P45114	913	 	 
HI1218	nd	YC18_HAEIN	Q57251	532	 	 
HI1219	e	KCY1_HAEIN	P43892	231	cmkA	 
HI1220	e	RS1_HAEIN	Q48082	549	rpsA	 
HI1221	nd	IHFB_HAEIN	P43724	94	ihfB;	himD
HI1222	e	YCIS_HAEIN	P44129	97	 	 
HI1223	e	YCIM_HAEIN	P44130	396	 	 
HI1224	*non	DCOP_HAEIN	P43812	230	pyrF	 
HI1225	non	YCIH_HAEIN	P45116	106	 	 
HI1227	*non	URAA_HAEIN	P45117	414	uraA	 
HI1228	non	UPP_HAEIN	P43857	208	upp	 
HI1229	nd	DP3X_HAEIN	P43746	688	dnaX	 
HI1230	e1	APT_HAEIN	P43856	180	apt	 
HI1231	e1	DLDH_HAEIN	P43784	478	lpdA	 
HI1232	e1	ODP2_HAEIN	P45118	567	aceF	 
HI1233	*non	ODP1_HAEIN	P45119	886	aceE	 
HI1234	e	MGSA_HAEIN	P45120	152	mgsA	 
HI1235	nd	YC35_HAEIN	P44131	155	 	 
HI1236	nd	YC36_HAEIN	P44132	367	 	 
HI1237	*non	DNAK_HAEIN	P43736	635	dnaK	 
HI1238	*non	DNAJ_HAEIN	P43735	382	dnaJ	 
HI1239		PROA_HAEIN	P45121	417	proA	 
HI1240	*non	YICG_HAEIN	P45122	220	 	 
HI1241	non	YC41_HAEIN	P44133	266	 	 
HI1242	e	BCR_HAEIN	P45123	398	bcr	 
HI1243	e	RSUA_HAEIN	P45124	232	rsuA	 
HI1244	e	YC44_HAEIN	P44134	206	 	 
HI1245	e	MAO2_HAEIN	P43837	756	maeB	 
HI1246	e1	YC46_HAEIN	P44135	647	 	 
HI1247	e	UVRB_HAEIN	P45125	679	uvrB	 
HI1248	e	YC48_HAEIN	P44136	322	 	 
HI1249	e	YC49_HAEIN	P44137	206	 	 
HI1250	nd	YC50_HAEIN	P44138	101	 	 
HI1251	non	YBAQ_HAEIN	Q57089	107	 	 
HI1252	non	YJJK_HAEIN	P45127	556	 	 
HI1253	*non	YC53_HAEIN	P44139	127	 	 
HI1254	*non	YC54_HAEIN	P44140	353	 	 
HI1255	nd	YC55_HAEIN	P44141	74	 	 
HI1256	e	YC56_HAEIN	P44142	154	 	 
HI1257	*non	YC57_HAEIN	P44143	57	 	 
HI1258	e	MFD_HAEIN	P45128	1146	mfd	 
HI1259	non	HTOA_HAEIN	P45129	466	 	 
HI1260	e	ACCD_HAEIN	P43778	296	accD	 
HI1261	nd	FOLC_HAEIN	P43775	437	folC	 
HI1262	nd	SANA_HAEIN	P45130	244	sanA	 
HI1263	nd	METX_HAEIN	P45131	358	metX;	met2
HI1264	nd	GYRA_HAEIN	P43700	880	gyrA	 
HI1265	nd	YCAO_HAEIN	P44144	587	 	 
HI1266	nd	YC66_HAEIN	P44145	128	 	 
HI1267	nd	Deleted	 	 	 	 
HI1268	nd	YC68_HAEIN	P44147	59	 	 
HI1269	nd	YC69_HAEIN	P44148	38	 	 
HI1270	nd	Deleted	 	 	 	 
HI1272	nd	YC72_HAEIN	Q57243	263	 	 
HI1273	*non	YC73_HAEIN	P44150	268	 	 
HI1274	*non	GLO2_HAEIN	P71374	238	gloB	 
HI1275	e1	TEHB_HAEIN	P45134	286	tehB	 
HI1276	e	SYM_HAEIN	P43828	682	metG	 
HI1277	nd	MRP_HAEIN	P45135	370	mrp	 
HI1278	e	YC78_HAEIN	Q57431	220	 	 
HI1279	*non	NEUA_HAEIN	Q57140	228	neuA	 
HI1280	nd	YC80_HAEIN	P44151	91	 	 
HI1281	e1	Pseudogene	 	 	 	 
HI1282	e	YHBC_HAEIN	P45138	141	 	 
HI1283	nd	NUSA_HAEIN	P43915	495	nusA	 
HI1284	non	IF2_HAEIN	P44323	829	infB	 
HI1285	e1	T1RH_HAEIN	O05052	1055	 	 
HI1286	nd	T1SH_HAEIN	P44152	459	 	 
HI1287	e	T1MH_HAEIN	Q57168	443	 	 
HI1288	non	RBFA_HAEIN	P45141	128	rbfA	 
HI1289	e	TRUB_HAEIN	P45142	312	truB	 
HI1290	nd	TYRA_HAEIN	P43902	377	tyrA	 
HI1291	e1	YQCD_HAEIN	P44153	279	 	 
HI1292	nd	YC92_HAEIN	P44154	261	 	 
HI1293	nd	YC93_HAEIN	P44156	126	 	 
HI1294	non	Deleted	 	 	 	 
HI1295	e	CSD_HAEIN	Q57476	437	csd	 
HI1296	non	YC96_HAEIN	Q57519	178	 	 
HI1297	non	YOHJ_HAEIN	P45145	140	 	 
HI1298	e1	YOHK_HAEIN	P45146	231	 	 
HI1299	*non	Pseudogene	 	 	 	 
HI1300	e	UUP1_HAEIN	Q57242	647	uup-A	 
HI1301	nd	YADF_HAEIN	P45148	229	 	 
HI1302	non	SYN_HAEIN	P43829	477	asnS	 
HI1303	e2	RISB_HAEIN	P45149	157	ribH	 
HI1304	e2	NUSB_HAEIN	P45150	144	nusB	 
HI1305	*non	THIL_HAEIN	Q57190	328	thiL	 
HI1306	e	PGPA_HAEIN	P44157	163	pgpA	 
HI1307	e1	YD07_HAEIN	Q57320	210	 	 
HI1308	e	DAPB_HAEIN	P45153	270	dapB	 
HI1309	nd	YFAE_HAEIN	P45154	82	 	 
HI1310	nd	YD10_HAEIN	P44158	253	 	 
HI1311	e1	SYFA_HAEIN	P43819	329	pheS	 
HI1312	e1	SYFB_HAEIN	P43820	795	pheT	 
HI1313	e1	IHFA_HAEIN	P43723	96	ihfA;	himA
HI1314	e	YD14_HAEIN	Q57223	161	 	 
HI1315	nd	YD15_HAEIN	P71375	105	 	 
HI1316	nd	YD16_HAEIN	P44159	194	 	 
HI1317	e	YD17_HAEIN	P44160	271	 	 
HI1318	e1	IF3_HAEIN	P43814	172	infC	 
HI1319	e	RL35_HAEIN	P45519	65	rpmI;	rpl35
HI1320	e1	RL20_HAEIN	P44358	117	rplT;	rpl20
HI1321	e	EX5B_HAEIN	P45157	1211	recB	 
HI1322	non	EX5A_HAEIN	P45158	640	recD	 
HI1323	e1	YCBG_HAEIN	P44161	148	 	 
HI1324	e1	LONH_HAEIN	P43865	601	lon-B	 
HI1325	e1	FABA_HAEIN	P45159	177	fabA	 
HI1326	*non	YD26_HAEIN	P44162	242	 	 
HI1327	nd	YD27_HAEIN	P44163	45	 	 
HI1328	nd	RS15_HAEIN	P44389	89	rpsO-A;	rps15-A
HI1329	e	YD29_HAEIN	Q57255	103	 	 
HI1330	e	PBP4_HAEIN	P45161	479	dacB	 
HI1331	*non	GREA_HAEIN	P43881	158	greA	 
HI1333	*non	YHBY_HAEIN	P71376	99	 	 
HI1334	e	RRMJ_HAEIN	P45162	209	rrmJ;	ftsJ
HI1335	non	FTH1_HAEIN	P71377	635	ftsH-A	 
HI1336	nd	DHPS_HAEIN	P43776	275	folP-A	 
HI1337	*non	MRSA_HAEIN	P45164	445	mrsA-A	 
HI1338	*non	SIXA_HAEIN	P44164	164	sixA-A	 
HI1339	non	YD39_HAEIN	P71378	129	 	 
HI1340	e	YD40_HAEIN	P44165	441	 	 
HI1341	nd	YD41_HAEIN	P44166	203	 	 
HI1342	e	UUP2_HAEIN	P45167	459	uup-B	 
HI1343	nd	YD43_HAEIN	P71379	238	 	 
HI1344	non	POT1_HAEIN	P45168	360	potD-B	 
HI1345	non	POTC_HAEIN	P45169	257	potC	 
HI1346	non	POTB_HAEIN	P45170	286	potB	 
HI1347	non	POTA_HAEIN	P45171	381	potA	 
HI1348	e1	PEPT_HAEIN	P45172	412	pepT	 
HI1349	e	YD49_HAEIN	P45173	160	 	 
HI1350	e	CDD_HAEIN	P44325	292	cdd;	cda
HI1351	nd	YECP_HAEIN	P44167	321	 	 
HI1352	*non	PUTP_HAEIN	P45174	504	putP	 
HI1353	e2	RNG_HAEIN	P45175	491	cafA;	rng
HI1354	e	SYQ_HAEIN	P43831	557	glnS	 
HI1355	*non	YCGN_HAEIN	P44168	154	 	 
HI1356	e1	MALQ_HAEIN	P45176	699	malQ	 
HI1357	e1	GLGB_HAEIN	P45177	730	glgB	 
HI1358	nd	GLGX_HAEIN	P45178	659	glgX	 
HI1359	nd	GLGC_HAEIN	P43796	444	glgC	 
HI1360	nd	GLGA_HAEIN	P45179	476	glgA	 
HI1361	non	PHSG_HAEIN	P45180	821	glgP	 
HI1362	non	PNTA_HAEIN	P43842	512	pntA	 
HI1363	non	PNTB_HAEIN	P43010	474	pntB	 
HI1364	e	YHCS_HAEIN	P43011	288	 	 
HI1365	e1	TOP1_HAEIN	P43012	868	topA	 
HI1366	e	ACPD_HAEIN	P43013	194	acpD	 
HI1367	e	SYT_HAEIN	P43014	643	thrS	 
HI1368	e	PQQL_HAEIN	P45181	926	pqqL	 
HI1369	non	YDDB_HAEIN	P45182	839	 	 
HI1370	nd	MOP_HAEIN	P45183	69	 	 
HI1371	e	YCCK_HAEIN	P45184	109	 	 
HI1371.1	nd	YDAO_HAEIN	Q57184	313	 	 
HI1372	e2	MUKF_HAEIN	P45185	475	mukF;	kicB
HI1373	e	MUKE_HAEIN	P45186	243	mukE;	kicA
HI1374	e	MUKB_HAEIN	P45187	1510	mukB	 
HI1375	e	YD75_HAEIN	P44169	302	 	 
HI1376	*non	YD76_HAEIN	P44170	291	 	 
HI1377	nd	EX1_HAEIN	P45188	473	sbcB	 
HI1378	*non	PHOR_HAEIN	P71380	425	phoR	 
HI1379	*non	PHOB_HAEIN	P45189	231	phoB	 
HI1380	nd	Pseudogene	 	 	 	 
HI1381	e2	PSTA_HAEIN	P45190	282	pstA	 
HI1382	nd	PSTC_HAEIN	P45191	315	pstC	 
HI1383	e2	PSTS_HAEIN	P45192	334	pstS	 
HI1384	nd	FTN1_HAEIN	P43707	162	ftnA;	rsgA-A
HI1385	nd	FTN2_HAEIN	P43708	165	ftnB;	rsgA-B
HI1386	e	YD86_HAEIN	P44171	148	 	 
HI1387	nd	TRPE_HAEIN	P43761	518	trpE	 
HI1388	e	TRPG_HAEIN	P71381	193	trpG	 
HI1389	e	TRPD_HAEIN	P43858	333	trpD	 
HI1389.1	e2	TRPC_HAEIN	P46451	477	trpC	 
HI1390	nd	YD90_HAEIN	P45194	21	 	 
HI1391	e1	SYV_HAEIN	P43834	954	valS	 
HI1392	*non	MTD3_HAEIN	P43871	309	hinDIIIM	 
HI1393	non	T2D3_HAEIN	P43870	300	hinDIIIR	 
HI1394	e	YQFB_HAEIN	P44172	123	 	 
HI1395	nd	YD95_HAEIN	P44173	140	 	 
HI1396	nd	YD96_HAEIN	P44174	56	 	 
HI1397	e1	HOLC_HAEIN	P43749	144	holC	 
HI1398	e	FUMC_HAEIN	P71384	464	fumC	 
HI1399	e	YD99_HAEIN	P44175	202	 	 
HI1400	e	TRPH_HAEIN	P44176	274	trpH	 
HI1401	nd	PYRD_HAEIN	P45477	339	pyrD	 
HI1402	nd	YE02_HAEIN	P44177	68	 	 
HI1403	e	YE03_HAEIN	P44178	182	 	 
HI1404	nd	YE04_HAEIN	P44179	39	 	 
HI1405	*non	YE05_HAEIN	P44180	366	 	 
HI1406	*non	YE06_HAEIN	P44181	118	 	 
HI1407	nd	YE07_HAEIN	P71385	447	 	 
HI1408	e1	Deleted	 	 	 	 
HI1409	e1	YE09_HAEIN	P44183	436	 	 
HI1410	e1	YE10_HAEIN	P44184	394	 	 
HI1411	non	YE11_HAEIN	Q57374	171	 	 
HI1412	e2	YE12_HAEIN	P45197	173	 	 
HI1413	e	YE13_HAEIN	P44185	93	 	 
HI1414	e	YE14_HAEIN	P44186	91	 	 
HI1415	e	YE15_HAEIN	P44187	200	 	 
HI1416	nd	YE16_HAEIN	P44188	118	 	 
HI1418	e	YE18_HAEIN	P44189	201	 	 
HI1419	e1	YE19_HAEIN	P44190	99	 	 
HI1420	nd	YE20_HAEIN	P44191	97	 	 
HI1421	nd	YE21_HAEIN	P44192	92	 	 
HI1422	e	YE22_HAEIN	P44193	191	 	 
HI1423	nd	YE23_HAEIN	P44194	94	 	 
HI1424	nd	YE24_HAEIN	P45198	304	 	 
HI1425	non	FNR_HAEIN	P45199	257	fnr	 
HI1426	non	YDAA_HAEIN	P44195	309	 	 
HI1427	e	YE27_HAEIN	P44196	278	 	 
HI1428	e	PUR3_HAEIN	P43846	212	purN	 
